column_ordinal,column_name,arrow_type,nullable
0,collector_received_utc,large_string,True
1,collector_received_utc_ms,int64,True
2,collector_received_monotonic_ns,int64,True
3,exchange_timestamp,large_string,True
4,last_trade_time,large_string,True
5,trade_date,large_string,True
6,exchange,large_string,True
7,tradingsymbol,large_string,True
8,requested_symbol,large_string,True
9,instrument_token,int64,True
10,last_price,double,True
11,last_traded_quantity,int64,True
12,volume_traded,int64,True
13,average_traded_price,double,True
14,total_buy_quantity,int64,True
15,total_sell_quantity,int64,True
16,oi,int64,True
17,oi_day_high,int64,True
18,oi_day_low,int64,True
19,ohlc_open,double,True
20,ohlc_high,double,True
21,ohlc_low,double,True
22,ohlc_close,double,True
23,change,double,True
24,buy_1_price,double,True
25,buy_1_quantity,int64,True
26,buy_1_orders,int64,True
27,buy_2_price,double,True
28,buy_2_quantity,int64,True
29,buy_2_orders,int64,True
30,buy_3_price,double,True
31,buy_3_quantity,int64,True
32,buy_3_orders,int64,True
33,buy_4_price,double,True
34,buy_4_quantity,int64,True
35,buy_4_orders,int64,True
36,buy_5_price,double,True
37,buy_5_quantity,int64,True
38,buy_5_orders,int64,True
39,sell_1_price,double,True
40,sell_1_quantity,int64,True
41,sell_1_orders,int64,True
42,sell_2_price,double,True
43,sell_2_quantity,int64,True
44,sell_2_orders,int64,True
45,sell_3_price,double,True
46,sell_3_quantity,int64,True
47,sell_3_orders,int64,True
48,sell_4_price,double,True
49,sell_4_quantity,int64,True
50,sell_4_orders,int64,True
51,sell_5_price,double,True
52,sell_5_quantity,int64,True
53,sell_5_orders,int64,True
