source_phase,source_strategy_id,feature_family,profiles_evaluated,realistic_profiles_evaluated,control_profiles_evaluated,total_trades,positive_after_cost_profiles,synthetic_candidate_profiles,best_strategy_id,best_execution_profile,best_annual_net_pnl_inr,best_realistic_execution_profile,best_realistic_annual_net_pnl_inr
phase164_full_year_synthetic,S06,absorption_exhaustion_reversal,3,2,1,28437,0,0,P164_S06_ABSORPTION_REVERSAL,zero_latency_spread_only_control,-189512.60575493483,retail_marketable_default,-1382058.524717131
phase164_full_year_synthetic,S05,microprice_with_depth_filter,3,2,1,106002,0,0,P164_S05_MICROPRICE_FILTER,zero_latency_spread_only_control,-320466.0153819514,retail_marketable_default,-4043111.567518021
phase164_full_year_synthetic,S04,trade_flow_depth_confirmation,3,2,1,124546,0,0,P164_S04_TRADE_FLOW_DEPTH,zero_latency_spread_only_control,-809134.0948962015,retail_marketable_default,-6033992.167093816
phase164_full_year_synthetic,S09,queue_imbalance_scalping_guarded,3,2,1,238340,0,0,P164_S09_QUEUE_IMBALANCE_SCALP,zero_latency_spread_only_control,-692233.3569846919,retail_marketable_default,-9051875.661414173
phase167_cross_symbol_s08,S08,cross_symbol_lead_lag,3,2,1,817814,0,0,P167_S08_CROSS_SYMBOL_LEAD_LAG_CONTINUATION,zero_latency_spread_only_control,-4143898.966113758,retail_marketable_default,-28251117.744746957
phase164_full_year_synthetic,S01,momentum_breakout_mlofi,3,2,1,670081,0,0,P164_S01_MLOFI_BREAKOUT,zero_latency_spread_only_control,-4732548.829270101,retail_marketable_default,-33529465.208967146
phase164_full_year_synthetic,S03,liquidity_vacuum_breakout,3,2,1,817583,0,0,P164_S03_LIQUIDITY_VACUUM,zero_latency_spread_only_control,-3326599.4408064736,retail_marketable_default,-33707319.35006407
phase164_full_year_synthetic,S02,multi_level_order_flow_imbalance,3,2,1,2539367,0,0,P164_S02_MULTI_LEVEL_OFI,zero_latency_spread_only_control,-10427623.030726682,retail_marketable_default,-104826412.43330368
phase164_full_year_synthetic,S07,imbalance_mean_reversion,3,2,1,3087594,0,0,P164_S07_IMBALANCE_MEAN_REVERSION,zero_latency_spread_only_control,-11599712.44120236,retail_marketable_default,-124628331.94950308
phase52_dense_partial,DENSE_S01_L1_IMBALANCE,DENSE_S01_L1_IMBALANCE,3,2,1,268269333,0,0,DENSE_S01_L1_IMBALANCE,zero_latency_spread_only_control,-1546766171.0846543,retail_marketable_default,-12394755228.791576
phase52_dense_partial,DENSE_S03_1T_MOMENTUM,DENSE_S03_1T_MOMENTUM,3,2,1,263585104,0,0,DENSE_S03_1T_MOMENTUM,zero_latency_spread_only_control,-2071472217.9809637,retail_marketable_default,-13810649253.642817
phase52_dense_partial,DENSE_S02_MICROPRICE,DENSE_S02_MICROPRICE,3,2,1,265175128,0,0,DENSE_S02_MICROPRICE,zero_latency_spread_only_control,-2203270237.307283,retail_marketable_default,-14251396619.83268
