source_phase,strategy_id,source_strategy_id,feature_family,feature_status,execution_profile,trade_dates,trades,annual_net_pnl_inr,mean_net_return_per_trade,mean_gross_return_per_trade,mean_cost_return_per_trade,worst_daily_net_pnl_inr,max_drawdown_inr,worst_trade_pnl_inr,positive_day_fraction,annualized_sharpe_proxy,positive_after_costs,risk_proxy_pass,synthetic_replay_candidate,is_realistic_profile,is_control_profile,cost_drag_ratio_to_abs_gross,candidate_class,next_diagnostic
phase164_full_year_synthetic,P164_S06_ABSORPTION_REVERSAL,S06,absorption_exhaustion_reversal,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,233,9603,-189512.60575493483,-0.0001973472932988,0.0,0.0001973472932988,-13555.09872732984,-189505.33234528409,-43.11432822389141,0.0,-6.52240785665774,False,True,False,False,True,,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S05_MICROPRICE_FILTER,S05,microprice_with_depth_filter,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,61,35518,-320466.0153819514,-9.022636842782572e-05,3.32689484968919e-07,9.055905791279468e-05,-45908.266088401775,-317920.60846613115,-1793.0465204637185,0.0,-10.9357117604376,False,False,False,False,True,272.2029460031026,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S09_QUEUE_IMBALANCE_SCALP,S09,queue_imbalance_scalping_guarded,replayable_from_local_l1_l5_book_state_guarded_not_phase52_dense_id,zero_latency_spread_only_control,95,79552,-692233.3569846919,-8.701646180921806e-05,1.0315477992062905e-06,8.804800960842436e-05,-34334.59160991336,-687912.166849858,-741.7067405656221,0.0,-21.18195996167405,False,False,False,False,True,85.35523964684101,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S04_TRADE_FLOW_DEPTH,S04,trade_flow_depth_confirmation,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,225,41762,-809134.0948962015,-0.0001937488853254,0.0,0.0001937488853254,-41666.22596128965,-808313.588573531,-51.47101830730537,0.0,-7.803405120034004,False,False,False,False,True,,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S06_ABSORPTION_REVERSAL,S06,absorption_exhaustion_reversal,replayable_from_local_l1_l5_book_state,retail_marketable_default,233,9417,-1382058.524717131,-0.0014676208184316,0.0,0.0014676208184316,-81624.97384562937,-1381949.0232881785,-217.02418467167425,0.0,-7.963649384724547,False,False,False,True,False,,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S06_ABSORPTION_REVERSAL,S06,absorption_exhaustion_reversal,replayable_from_local_l1_l5_book_state,stressed_retail,233,9417,-1894223.3009285512,-0.0020114933640528,0.0,0.0020114933640528,-115444.36387604894,-1894084.2526802963,-318.2528411194571,0.0,-7.720962282501685,False,False,False,True,False,,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S03_LIQUIDITY_VACUUM,S03,liquidity_vacuum_breakout,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,55,274177,-3326599.4408064736,-0.0001213303610735,0.0,0.0001213303610735,-278691.20931704366,-3250443.081371773,-51.5187493121076,0.0,-13.93731381647125,False,False,False,False,True,,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S05_MICROPRICE_FILTER,S05,microprice_with_depth_filter,replayable_from_local_l1_l5_book_state,retail_marketable_default,67,35249,-4043111.567518021,-0.0011470145443893,2.778143598641343e-07,0.0011472923587492,-434670.27464626095,-4007648.6262242096,-1896.156753661216,0.0,-13.050057324972748,False,False,False,True,False,4129.708627409634,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase167_cross_symbol_s08,P167_S08_CROSS_SYMBOL_LEAD_LAG_CONTINUATION,S08,cross_symbol_lead_lag,precommitted_phase167_single_s08_branch,zero_latency_spread_only_control,252,273062,-4143898.966113758,-0.0001517567060269,-1.5611858292054008e-08,0.0001517410941686,0.0,0.0,-314.32501934230726,0.0,0.0,False,False,False,False,True,9719.604888152995,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,240,224845,-4732548.829270101,-0.0002104805012017,-9.959807801820562e-07,0.0002094845204215,-334617.37565766263,-4732024.219526583,-755.754953800147,0.0,-6.688537423683661,False,False,False,False,True,210.32988245336233,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S05_MICROPRICE_FILTER,S05,microprice_with_depth_filter,replayable_from_local_l1_l5_book_state,stressed_retail,67,35235,-5205779.019890202,-0.0014774454434199,2.779247444544025e-07,0.0014777233681644,-573650.3387165075,-5160656.598422641,-1926.5857868587127,0.0,-12.812154487705792,False,False,False,True,False,5316.991011596815,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S04_TRADE_FLOW_DEPTH,S04,trade_flow_depth_confirmation,replayable_from_local_l1_l5_book_state,retail_marketable_default,225,41392,-6033992.167093816,-0.0014577677249453,0.0,0.0014577677249453,-275080.2053373341,-6026094.4137258055,-242.09425492191613,0.0,-8.858365983362171,False,False,False,True,False,,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S04_TRADE_FLOW_DEPTH,S04,trade_flow_depth_confirmation,replayable_from_local_l1_l5_book_state,stressed_retail,225,41392,-8258000.124889695,-0.0019950715415755,0.0,0.0019950715415755,-383595.5371622235,-8247531.358876342,-360.0362915365269,0.0,-8.696160405955252,False,False,False,True,False,,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S09_QUEUE_IMBALANCE_SCALP,S09,queue_imbalance_scalping_guarded,replayable_from_local_l1_l5_book_state_guarded_not_phase52_dense_id,retail_marketable_default,102,79404,-9051875.661414173,-0.0011399772884759,1.0439180541891267e-06,0.0011410212065301,-426718.5474506432,-8982615.488919754,-847.7555428703012,0.0,-21.021270507304543,False,False,False,True,False,1093.0179835010124,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase164_full_year_synthetic,P164_S02_MULTI_LEVEL_OFI,S02,multi_level_order_flow_imbalance,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,211,851193,-10427623.030726682,-0.0001225059772663,-1.175872815130613e-06,0.0001213301044512,-329720.5702431694,-10385801.602671226,-1793.0465204637185,0.0,-12.26603262121976,False,False,False,False,True,103.18301681098305,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S07_IMBALANCE_MEAN_REVERSION,S07,imbalance_mean_reversion,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,205,1034938,-11599712.44120236,-0.0001120812303848,7.010667370202958e-07,0.0001127822971218,-370150.612437896,-11574331.27716435,-3251.4382695068766,0.0,-14.896302771328068,False,False,False,False,True,160.87241223446458,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S09_QUEUE_IMBALANCE_SCALP,S09,queue_imbalance_scalping_guarded,replayable_from_local_l1_l5_book_state_guarded_not_phase52_dense_id,stressed_retail,102,79384,-11638987.984854298,-0.0014661629528436,1.044181058838474e-06,0.0014672071339025,-549309.2676177837,-11551304.748201508,-881.1231451749803,0.0,-20.96469521543594,False,False,False,True,False,1405.1271295177405,rejected_negative_after_cost,gross_edge_smaller_than_cost_drag
phase167_cross_symbol_s08,P167_S08_CROSS_SYMBOL_LEAD_LAG_CONTINUATION,S08,cross_symbol_lead_lag,precommitted_phase167_single_s08_branch,retail_marketable_default,252,272592,-28251117.744746957,-0.0010363883659368,3.5031000687536094e-09,0.0010363918690369,0.0,0.0,-402.85694383052055,0.0,0.0,False,False,False,True,False,295849.91827128833,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase167_cross_symbol_s08,P167_S08_CROSS_SYMBOL_LEAD_LAG_CONTINUATION,S08,cross_symbol_lead_lag,precommitted_phase167_single_s08_branch,stressed_retail,252,272160,-32502523.595086947,-0.0011942432243932,1.952575150549434e-09,0.0011942451769684,0.0,0.0,-418.6673937720669,0.0,0.0,False,False,False,True,False,611625.7172648909,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,retail_marketable_default,240,222626,-33529465.208967146,-0.0015060893700181,-1.0064275464377585e-06,0.0015050829424717,-2084759.4293292996,-33523507.319736604,-896.8463978849745,0.0,-7.706364173596339,False,False,False,True,False,1495.4707348769693,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S03_LIQUIDITY_VACUUM,S03,liquidity_vacuum_breakout,replayable_from_local_l1_l5_book_state,retail_marketable_default,55,271703,-33707319.35006407,-0.0012405943015006,0.0,0.0012405943015006,-1818018.915144566,-32793532.52418033,-242.2374479363228,0.0,-16.472378599642152,False,False,False,True,False,,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S03_LIQUIDITY_VACUUM,S03,liquidity_vacuum_breakout,replayable_from_local_l1_l5_book_state,stressed_retail,55,271703,-44372247.19437343,-0.0016331158358344,0.0,0.0016331158358344,-2538695.6396409427,-43190079.91896722,-360.274946560538,0.0,-16.289751258323683,False,False,False,True,False,,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,stressed_retail,240,222610,-46188739.37768893,-0.0020748726192753,-1.0064998829938117e-06,0.0020738661193923,-2934671.2058637827,-46180982.26897133,-965.2566419698022,0.0,-7.541742038863167,False,False,False,True,False,2060.473284133557,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S02_MULTI_LEVEL_OFI,S02,multi_level_order_flow_imbalance,replayable_from_local_l1_l5_book_state,retail_marketable_default,218,844099,-104826412.43330368,-0.0012418734346718,-1.1659918871320626e-06,0.0012407074427846,-3497574.49646878,-104406544.10116898,-1896.156753661216,0.0,-11.663709169673044,False,False,False,True,False,1064.0789669954838,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S07_IMBALANCE_MEAN_REVERSION,S07,imbalance_mean_reversion,replayable_from_local_l1_l5_book_state,retail_marketable_default,217,1026340,-124628331.94950308,-0.001214298691949,6.886353212673037e-07,0.0012149873272703,-3717067.609163419,-124327537.87369576,-3361.8544152783475,0.0,-15.018170641661785,False,False,False,True,False,1764.3407036315602,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S02_MULTI_LEVEL_OFI,S02,multi_level_order_flow_imbalance,replayable_from_local_l1_l5_book_state,stressed_retail,218,844075,-137964194.736991,-0.0016345016110771,-1.1660250403533893e-06,0.0016333355860367,-4575320.749138646,-137410488.1697225,-1926.5857868587127,0.0,-11.703687057725135,False,False,False,True,False,1400.7723072067836,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase164_full_year_synthetic,P164_S07_IMBALANCE_MEAN_REVERSION,S07,imbalance_mean_reversion,replayable_from_local_l1_l5_book_state,stressed_retail,217,1026316,-163161986.83421844,-0.0015897831353522,6.886514247361284e-07,0.0015904717867769,-4902387.57478453,-162771843.83531848,-3399.589361049818,0.0,-14.934704006228111,False,False,False,True,False,2309.545482152053,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase52_dense_partial,DENSE_S01_L1_IMBALANCE,DENSE_S01_L1_IMBALANCE,DENSE_S01_L1_IMBALANCE,legacy_dense_replay,zero_latency_spread_only_control,84,90068501,-1546766171.0846543,-0.0001717321987055,-3.3813938284470346e-07,0.0001713940593227,-154939931.56399688,-1541537573.9993515,-21812.888978116847,0.0,-9.682021932332674,False,False,False,False,True,506.8739934425674,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase52_dense_partial,DENSE_S03_1T_MOMENTUM,DENSE_S03_1T_MOMENTUM,DENSE_S03_1T_MOMENTUM,legacy_dense_replay,zero_latency_spread_only_control,86,88584746,-2071472217.9809637,-0.000233840735738,1.0067150142238509e-08,0.0002338508028882,-293234631.2000821,-2071345862.042981,-21812.888978116847,0.0,-6.086762117663695,False,False,False,False,True,23229.09657491226,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase52_dense_partial,DENSE_S02_MICROPRICE,DENSE_S02_MICROPRICE,DENSE_S02_MICROPRICE,legacy_dense_replay,zero_latency_spread_only_control,33,89084762,-2203270237.307283,-0.0002473229077389,-1.406540823759971e-07,0.0002471822536565,-433462538.7236071,-2026254911.5497048,-21812.888978116847,0.0,-9.214466242589069,False,False,False,False,True,1757.3770308047751,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase52_dense_partial,DENSE_S01_L1_IMBALANCE,DENSE_S01_L1_IMBALANCE,DENSE_S01_L1_IMBALANCE,legacy_dense_replay,retail_marketable_default,85,89100465,-12394755228.791576,-0.0013910988263406,-3.306774528336131e-07,0.0013907681488878,-1017401486.0792236,-12337276151.521387,-21960.79904782173,0.0,-11.636677208139965,False,False,False,True,False,4205.81487177353,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase52_dense_partial,DENSE_S03_1T_MOMENTUM,DENSE_S03_1T_MOMENTUM,DENSE_S03_1T_MOMENTUM,legacy_dense_replay,retail_marketable_default,86,87500212,-13810649253.642817,-0.0015783560905704,2.4069245648170103e-08,0.0015783801598161,-1836901264.853156,-13809253190.72015,-21960.79904782173,0.0,-6.263091811834687,False,False,False,True,False,65576.63596474609,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase52_dense_partial,DENSE_S02_MICROPRICE,DENSE_S02_MICROPRICE,DENSE_S02_MICROPRICE,legacy_dense_replay,retail_marketable_default,43,88045262,-14251396619.83268,-0.0016186443536089,-1.3960189003519724e-07,0.0016185047517189,-2718817354.508942,-13018379838.65486,-21960.79904782173,0.0,-7.925120844540598,False,False,False,True,False,11593.716613083341,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase52_dense_partial,DENSE_S01_L1_IMBALANCE,DENSE_S01_L1_IMBALANCE,DENSE_S01_L1_IMBALANCE,legacy_dense_replay,stressed_retail,85,89100367,-16784152074.385622,-0.0018837354591798,-3.306778165402001e-07,0.0018834047813633,-1419098256.02187,-16709125936.374298,-22036.027917526608,0.0,-11.33512203307976,False,False,False,True,False,5695.588537111127,rejected_negative_after_cost,turnover_too_high_costs_dominate
phase52_dense_partial,DENSE_S03_1T_MOMENTUM,DENSE_S03_1T_MOMENTUM,DENSE_S03_1T_MOMENTUM,legacy_dense_replay,stressed_retail,86,87500146,-19215592511.41863,-0.0021960640513009,2.402210121530833e-08,0.0021960880734021,-2581542182.902591,-19213771154.90564,-22036.027917526608,0.0,-6.236383034844286,False,False,False,True,False,91419.48298854975,rejected_negative_after_cost,turnover_too_high_costs_dominate
