rule_id,signal_id,feature,side_mode,bar_events,feature_quantile,abs_threshold,discovery_trades,discovery_net_pnl_inr,discovery_gross_pnl_proxy_inr,discovery_cost_pnl_drag_proxy_inr,discovery_mean_net_return,discovery_precision_cost_clear,discovery_symbols,discovery_shards,discovery_positive_symbol_fraction,discovery_positive_shard_fraction,discovery_positive_after_costs,validation_trades,validation_net_pnl_inr,validation_gross_pnl_proxy_inr,validation_cost_pnl_drag_proxy_inr,validation_mean_net_return,validation_precision_cost_clear,validation_symbols,validation_shards,validation_positive_symbol_fraction,validation_positive_shard_fraction,validation_positive_after_costs,phase60_scale_candidate
P60_BAR_MOMENTUM_B5000_Q70,BAR_MOMENTUM,prev_bar_return,sign,5000,0.7,0.003452977243062682,115,903.2637305386421,14984.723870501626,14081.460139962986,7.854467222075149e-05,0.3826086956521739,8,8,0.5,0.5,True,119,180.94238034350104,13864.142279997372,13683.199899653871,1.5205242045672357e-05,0.4117647058823529,8,8,0.625,0.625,True,True
P60_BAR_MOMENTUM_B10000_Q50,BAR_MOMENTUM,prev_bar_return,sign,10000,0.5,0.003713867531443482,92,-7536.67201111464,3749.320337652229,11285.992348766868,-0.0008192034794689825,0.3695652173913043,8,8,0.25,0.25,False,93,4938.997877421615,15651.513369671722,10712.515492250108,0.0005310750405829694,0.45161290322580644,8,8,0.625,0.625,True,False
P60_BAR_CONTRARIAN_B10000_Q90,BAR_CONTRARIAN,prev_bar_return,opposite,10000,0.9,0.008244478628713742,19,-1516.3815956747615,775.4320172052021,2291.813612879964,-0.000798095576670927,0.42105263157894735,8,8,0.5,0.5,False,20,467.7182654717166,2749.1337391803318,2281.415473708615,0.0002338591327358583,0.55,7,7,0.2857142857142857,0.2857142857142857,True,False
P60_BAR_MOMENTUM_B10000_Q70,BAR_MOMENTUM,prev_bar_return,sign,10000,0.7,0.005445625041611079,55,-6008.294169160973,731.723161079767,6740.01733024074,-0.0010924171216656314,0.36363636363636365,8,8,0.375,0.375,False,55,417.035545417043,6756.389391673479,6339.3538462564375,7.582464462128055e-05,0.4,8,8,0.375,0.375,True,False
P60_BAR_MOMENTUM_B5000_Q50,BAR_MOMENTUM,prev_bar_return,sign,5000,0.5,0.00212317460386241,192,-2074.86251013607,21694.12652100148,23768.989031137546,-0.00010806575573625364,0.3958333333333333,8,8,0.375,0.375,False,198,-1703.8998441027288,21201.38536763779,22905.285211740524,-8.6055547681956e-05,0.4090909090909091,8,8,0.625,0.625,False,False
P60_BAR_CONTRARIAN_B1000_Q90,BAR_CONTRARIAN,prev_bar_return,opposite,1000,0.9,0.0027977745438829693,197,-1476.648808907694,22696.409991892775,24173.05880080047,-7.49567923303398e-05,0.4010152284263959,8,8,0.5,0.5,False,181,-1869.7602092566106,19017.657643228013,20887.417852484625,-0.00010330166901970223,0.40331491712707185,8,8,0.5,0.5,False,False
P60_BAR_MICROPRICE_B10000_Q90,BAR_MICROPRICE,avg_microprice_dev,sign,10000,0.9,7.752733552648354e-05,19,-365.7010596138528,2084.449696561852,2450.1507561757053,-0.0001924742419020278,0.5263157894736842,1,1,0.0,0.0,False,23,-2727.589771615893,354.4954419497204,3082.0852135656132,-0.001185908596354736,0.34782608695652173,1,1,0.0,0.0,False,False
P60_BAR_CONTRARIAN_B5000_Q90,BAR_CONTRARIAN,prev_bar_return,opposite,5000,0.9,0.005808534262312736,39,-10151.909815420053,-5422.483074217088,4729.426741202964,-0.0026030537988256546,0.15384615384615385,8,8,0.125,0.125,False,43,-4300.70123547845,660.3149783994234,4961.016213877873,-0.001000163078018244,0.23255813953488372,8,8,0.375,0.375,False,False
P60_BAR_MOMENTUM_B10000_Q90,BAR_MOMENTUM,prev_bar_return,sign,10000,0.9,0.008244478628713742,19,-3067.245630085166,-775.4320172052021,2291.813612879964,-0.001614339805307982,0.3684210526315789,8,8,0.125,0.125,False,20,-5030.549212888947,-2749.1337391803318,2281.415473708615,-0.0025152746064444737,0.3,7,7,0.14285714285714285,0.14285714285714285,False,False
P60_BAR_MOMENTUM_B5000_Q90,BAR_MOMENTUM,prev_bar_return,sign,5000,0.9,0.005808534262312736,39,693.0563330141248,5422.483074217088,4729.426741202964,0.0001777067520549038,0.38461538461538464,8,8,0.25,0.25,True,43,-5621.331192277296,-660.3149783994234,4961.016213877873,-0.0013072863237854177,0.3953488372093023,8,8,0.25,0.25,False,False
