work_order_id,source_scenario_id,lane_id,horizon_seconds,side_policy,execution_policy,cost_profile,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,official_source_id,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,no_lookahead_rule_applied,replay_execution_allowed_in_phase341
P341_2026-07-08_CIPLA_106690396,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,CIPLA,08-Jul-2026 13:37:12,regular_session,2026-07-08,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,0
P341_2026-07-08_LT_106690276,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,LT,08-Jul-2026 12:29:03,regular_session,2026-07-08,first_real_tick_after_announcement,Press Release,1,0
P341_2026-07-08_SBIN_106690529,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,08-Jul-2026 15:25:29,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,1,0
P341_2026-07-09_BHARTIARTL_106691845,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,09-Jul-2026 13:38:41,regular_session,2026-07-09,first_real_tick_after_announcement,Copy of Newspaper Publication,1,0
P341_2026-07-09_DRREDDY_106691390,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,DRREDDY,09-Jul-2026 09:18:50,regular_session,2026-07-09,first_real_tick_after_announcement,General Updates,1,0
P341_2026-07-09_DRREDDY_106691463,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,DRREDDY,09-Jul-2026 09:38:43,regular_session,2026-07-09,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,0
P341_2026-07-09_RELIANCE_106691045,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,RELIANCE,08-Jul-2026 19:08:15,post_close,2026-07-09,market_open_next_available_real_l2_day,Other Restructuring,1,0
P341_2026-07-09_SBIN_106691111,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,08-Jul-2026 20:27:40,post_close,2026-07-09,market_open_next_available_real_l2_day,General Updates,1,0
P341_2026-07-09_SBIN_106691289,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,08-Jul-2026 23:59:50,post_close,2026-07-09,market_open_next_available_real_l2_day,General Updates,1,0
P341_2026-07-10_ADANIPORTS_106692702,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,ADANIPORTS,09-Jul-2026 21:51:40,post_close,2026-07-10,market_open_next_available_real_l2_day,Updates,1,0
P341_2026-07-10_BAJAJ-AUTO_106693161,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,BAJAJ-AUTO,10-Jul-2026 11:05:02,regular_session,2026-07-10,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,0
P341_2026-07-10_BHARTIARTL_106693009,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,10-Jul-2026 10:02:55,regular_session,2026-07-10,first_real_tick_after_announcement,Record Date,1,0
P341_2026-07-10_DRREDDY_106692956,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,DRREDDY,10-Jul-2026 08:51:29,pre_open_or_overnight,2026-07-10,market_open_same_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,0
P341_2026-07-10_HCLTECH_106692256,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,HCLTECH,09-Jul-2026 17:02:22,post_close,2026-07-10,market_open_next_available_real_l2_day,Updates,1,0
P341_2026-07-10_HDFCBANK_106692277,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,HDFCBANK,09-Jul-2026 17:09:34,post_close,2026-07-10,market_open_next_available_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,0
P341_2026-07-10_ICICIBANK_106693061,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,ICICIBANK,10-Jul-2026 10:32:30,regular_session,2026-07-10,first_real_tick_after_announcement,ESOP/ESOS/ESPS,1,0
P341_2026-07-10_KOTAKBANK_106692598,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,KOTAKBANK,09-Jul-2026 19:37:41,post_close,2026-07-10,market_open_next_available_real_l2_day,General Updates,1,0
P341_2026-07-10_KOTAKBANK_106692658,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,KOTAKBANK,09-Jul-2026 20:20:33,post_close,2026-07-10,market_open_next_available_real_l2_day,General Updates,1,0
P341_2026-07-10_M&M_106692090,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,M&M,09-Jul-2026 16:05:27,post_close,2026-07-10,market_open_next_available_real_l2_day,General Updates,1,0
P341_2026-07-10_M&M_106693381,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,M&M,10-Jul-2026 13:21:18,regular_session,2026-07-10,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,0
P341_2026-07-10_ONGC_106692689,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,ONGC,09-Jul-2026 21:22:07,post_close,2026-07-10,market_open_next_available_real_l2_day,Outcome of Board Meeting,1,0
P341_2026-07-10_SBIN_106692841,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,09-Jul-2026 23:03:55,post_close,2026-07-10,market_open_next_available_real_l2_day,General Updates,1,0
P341_2026-07-10_TCS_106692052,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,TCS,09-Jul-2026 15:52:21,post_close,2026-07-10,market_open_next_available_real_l2_day,Outcome of Board Meeting,1,0
P341_2026-07-10_TCS_106692059,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,TCS,09-Jul-2026 15:54:18,post_close,2026-07-10,market_open_next_available_real_l2_day,Dividend,1,0
P341_2026-07-10_TCS_106692063,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,TCS,09-Jul-2026 15:56:06,post_close,2026-07-10,market_open_next_available_real_l2_day,Press Release,1,0
P341_2026-07-10_TCS_106692067,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,TCS,09-Jul-2026 15:57:25,post_close,2026-07-10,market_open_next_available_real_l2_day,General Updates,1,0
P341_2026-07-10_TCS_106692731,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,TCS,09-Jul-2026 22:27:13,post_close,2026-07-10,market_open_next_available_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,0
P341_2026-07-13_DRREDDY_106695517,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,DRREDDY,13-Jul-2026 14:35:09,regular_session,2026-07-13,first_real_tick_after_announcement,Press Release,1,0
P341_2026-07-13_HDFCBANK_106694495,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,HDFCBANK,10-Jul-2026 23:50:18,post_close,2026-07-13,market_open_next_available_real_l2_day,Shareholders meeting,1,0
P341_2026-07-13_INFY_106695528,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,INFY,13-Jul-2026 14:47:47,regular_session,2026-07-13,first_real_tick_after_announcement,General Updates,1,0
P341_2026-07-13_KOTAKBANK_106693798,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,KOTAKBANK,10-Jul-2026 17:20:48,post_close,2026-07-13,market_open_next_available_real_l2_day,Shareholders meeting,1,0
P341_2026-07-13_KOTAKBANK_106693806,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,NSE_CORPORATE_ANNOUNCEMENTS,KOTAKBANK,10-Jul-2026 17:24:32,post_close,2026-07-13,market_open_next_available_real_l2_day,General Updates,1,0
