candidate_id,family_id,horizon_event_bars,residual_quantile,top5_abs_quantile,depth_beyond_l1_quantile,spread_quantile,intensity_quantile,rank_bucket,basket_mode,training_trades,training_leg_rows,training_net_pnl_inr,training_gross_pnl_inr,training_cost_pnl_drag_inr,cost150_net_pnl_inr,cost200_net_pnl_inr,training_dates,training_symbols,training_signal_symbols,training_peer_groups,training_positive_dates,training_min_date_net_pnl_inr,training_max_date_contribution_abs,training_max_symbol_contribution_abs,training_precision_cost_clear,cost_stress_pass,market_neutral_notional,costs_applied_per_leg,top5_feature_active,full_top_five_depth_active,depth_beyond_l1_active
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H10_RQ0_95_TQ0_8_DQ0_5_SP0_75_IQ0_5_RB1,P250_SECTOR_PAIR_RESIDUAL_REVERSION,10,0.95,0.8,0.5,0.75,0.5,1,residual_reversion_against_peers,17,34,-1681.1779513204742,1758.2771745488221,3439.4551258692964,-3400.905514255123,-5120.63307718977,6,11,11,7,2,-1259.706111095815,0.7492996860364389,0.38022355355923504,0.35294117647058826,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H10_RQ0_95_TQ0_8_DQ0_5_SP0_75_IQ0_5_RB2,P250_SECTOR_PAIR_RESIDUAL_REVERSION,10,0.95,0.8,0.5,0.75,0.5,2,residual_reversion_against_peers,17,34,-1681.1779513204742,1758.2771745488221,3439.4551258692964,-3400.905514255123,-5120.63307718977,6,11,11,7,2,-1259.706111095815,0.7492996860364389,0.38022355355923504,0.35294117647058826,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H12_RQ0_95_TQ0_8_DQ0_5_SP0_75_IQ0_5_RB1,P250_SECTOR_PAIR_RESIDUAL_REVERSION,12,0.95,0.8,0.5,0.75,0.5,1,residual_reversion_against_peers,17,34,-1698.7538733975166,1740.7012524717798,3439.4551258692964,-3418.4814363321652,-5138.208999266813,6,11,11,7,3,-1531.6400287089857,0.9016256284647626,0.461615836067498,0.35294117647058826,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H12_RQ0_95_TQ0_8_DQ0_5_SP0_75_IQ0_5_RB2,P250_SECTOR_PAIR_RESIDUAL_REVERSION,12,0.95,0.8,0.5,0.75,0.5,2,residual_reversion_against_peers,17,34,-1698.7538733975166,1740.7012524717798,3439.4551258692964,-3418.4814363321652,-5138.208999266813,6,11,11,7,3,-1531.6400287089857,0.9016256284647626,0.461615836067498,0.35294117647058826,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H8_RQ0_95_TQ0_8_DQ0_5_SP0_75_IQ0_5_RB1,P250_SECTOR_PAIR_RESIDUAL_REVERSION,8,0.95,0.8,0.5,0.75,0.5,1,residual_reversion_against_peers,18,36,-2719.959287428009,932.8732916057359,3652.8325790337444,-4546.375576944881,-6372.791866461753,6,12,12,7,1,-978.7256566797643,0.3598309949724455,0.27578584915120646,0.16666666666666666,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H8_RQ0_95_TQ0_8_DQ0_5_SP0_75_IQ0_5_RB2,P250_SECTOR_PAIR_RESIDUAL_REVERSION,8,0.95,0.8,0.5,0.75,0.5,2,residual_reversion_against_peers,18,36,-2719.959287428009,932.8732916057359,3652.8325790337444,-4546.375576944881,-6372.791866461753,6,12,12,7,1,-978.7256566797643,0.3598309949724455,0.27578584915120646,0.16666666666666666,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H4_RQ0_95_TQ0_8_DQ0_5_SP0_75_IQ0_5_RB1,P250_SECTOR_PAIR_RESIDUAL_REVERSION,4,0.95,0.8,0.5,0.75,0.5,1,residual_reversion_against_peers,18,36,-3035.3616429991375,617.4709360346069,3652.8325790337444,-4861.77793251601,-6688.194222032882,6,12,12,7,0,-983.0785981135222,0.32387527871050503,0.18068704521340725,0.1111111111111111,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H4_RQ0_95_TQ0_8_DQ0_5_SP0_75_IQ0_5_RB2,P250_SECTOR_PAIR_RESIDUAL_REVERSION,4,0.95,0.8,0.5,0.75,0.5,2,residual_reversion_against_peers,18,36,-3035.3616429991375,617.4709360346069,3652.8325790337444,-4861.77793251601,-6688.194222032882,6,12,12,7,0,-983.0785981135222,0.32387527871050503,0.18068704521340725,0.1111111111111111,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H12_RQ0_95_TQ0_8_DQ0_5_SP0_9_IQ0_5_RB1,P250_SECTOR_PAIR_RESIDUAL_REVERSION,12,0.95,0.8,0.5,0.9,0.5,1,residual_reversion_against_peers,23,46,-2789.9259581854267,1887.6737887841236,4677.59974696955,-5128.725831670202,-7467.525705154977,7,16,16,7,1,-1383.8328225231146,0.49601059069795606,0.2810725808835881,0.30434782608695654,False,1,1,1,1,1
P251_SECTOR_PAIR_RESIDUAL_REVERSION_H12_RQ0_95_TQ0_8_DQ0_5_SP0_9_IQ0_5_RB2,P250_SECTOR_PAIR_RESIDUAL_REVERSION,12,0.95,0.8,0.5,0.9,0.5,2,residual_reversion_against_peers,23,46,-2789.9259581854267,1887.6737887841236,4677.59974696955,-5128.725831670202,-7467.525705154977,7,16,16,7,1,-1383.8328225231146,0.49601059069795606,0.2810725808835881,0.30434782608695654,False,1,1,1,1,1
