strategy_id,transition_type,side,spread_bucket,spread_change_bucket,recent_return_bucket,shard_symbol_label_rows,symbols,trade_dates,signal_rows,mean_gross_bps,median_gross_bps,mean_after_cost_bps,mean_cost_clearing_rate,mean_adverse_direction_rate,worst_gross_bps,best_gross_bps,mean_spread_bps,mean_spread_change_bps,mean_abs_recent_return_bps,mean_cost_bps,label_candidate
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S01_le_1bp,C01_lt_1bp,R04_ge_10bp,3,1,3,5100,0.0,0.0,-10.038242330183849,0.0,1.0,0.0,0.0,0.8467482201225777,-0.0021329700076896264,25.183921270560877,10.038242330183849,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S01_le_1bp,C01_lt_1bp,R04_ge_10bp,3,1,3,5100,0.0,-0.0,-10.038242330183875,0.0,1.0,-0.0,-0.0,0.846748220122579,-0.0021329700076896207,25.1839212705609,10.038242330183875,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S01_le_1bp,C01_lt_1bp,R04_ge_10bp,3,1,3,4050,0.0,0.0,-10.039897632162274,0.0,1.0,0.0,0.0,0.8478517547748571,0.002324715535299402,27.37198719525344,10.039897632162274,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S01_le_1bp,C01_lt_1bp,R04_ge_10bp,3,1,3,4050,0.0,-0.0,-10.03989763216228,0.0,1.0,-0.0,-0.0,0.8478517547748569,0.0023247155352994022,27.371987195253507,10.03989763216228,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,60,20,3,29650,0.0,0.0,-11.418512505312858,0.0,1.0,0.0,0.0,1.7669283368752386,0.0014181413141558811,8.133811309024628,11.418512505312858,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,60,20,3,29650,0.0,-0.0,-11.418512505312858,0.0,1.0,-0.0,-0.0,1.7669283368752382,0.0014181413141558811,8.133811309024626,11.418512505312858,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,60,20,3,108400,0.0,0.0,-11.419296149152606,0.0,1.0,0.0,0.0,1.767450766101738,0.0051834883928050385,29.32054186896579,11.419296149152606,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,60,20,3,108400,0.0,-0.0,-11.419296149152606,0.0,1.0,-0.0,-0.0,1.7674507661017382,0.005183488392805038,29.320541868965787,11.419296149152606,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,59,20,3,23900,0.0,0.0,-11.430513156214381,0.0,1.0,0.0,0.0,1.7749287708095889,-0.0014133069379491526,8.050488001751178,11.430513156214381,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,59,20,3,23900,0.0,-0.0,-11.430513156214383,0.0,1.0,-0.0,-0.0,1.7749287708095889,-0.0014133069379491526,8.050488001751177,11.430513156214383,False
