metric,value,description
phase330_expanded_feature_materialization_complete,1,Phase330 expanded feature materialization completed
phase330_feature_matrix_rows,1600,Compact event-symbol feature matrix rows
phase330_event_rows,50,Distinct events
phase330_symbol_rows,32,Distinct symbols
phase330_source_tick_rows,141708530,Joined ticks represented
phase330_min_source_tick_rows_per_event_symbol,78007,Minimum raw tick support per event-symbol row
phase330_live_feature_columns,38,Live feature columns
phase330_depth_feature_columns,23,Depth-aware live feature columns
phase330_target_columns,5,Separated target columns
phase330_live_feature_null_cells,0,Live feature null cells
phase330_target_null_cells,0,Target null cells
phase330_target_columns_used_as_live_features,0,Target columns used as live features
phase330_matrix_parquet_written,1,Feature matrix parquet written
phase330_matrix_parquet_bytes,440746,Feature matrix parquet bytes
phase330_full_depth_required,1,Depth levels 1-5 required
phase330_depth_beyond_l1_required,1,Depth levels 2-5 materiality required
phase330_l1_only_variant_rows_allowed,0,No L1-only variants allowed
phase330_net_edge_live_mask_rows_allowed,0,No net-edge live lookahead mask allowed
phase330_strategy_search_allowed_now,0,No strategy search in Phase330
phase330_strategy_replay_allowed,0,No replay
phase330_strategy_promotion_allowed,0,No promotion
phase330_paper_or_live_acceptance_allowed,0,No paper/live
phase330_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase330_hard_gate_pass_rows,12,Passed hard gates
phase330_hard_gate_rows,12,Hard gates
phase330_next_best_action,run_phase331_event_catalyst_expanded_strategy_search_precommit_no_replay,Recommended next action
