execution_rank,gate_id,strategy_id,strategy_support_level,strategy_role,hardening_requirement,action_class,dependency_status,strategy_support_closure_status,real_multiday_acceptance_status,observed_real_multiday_metric,real_sample_days_available,real_sample_symbols,real_sample_rows,symbols_with_15s_gaps,dense_1s_full_session_symbols,holdout_profiles,holdout_acceptance_eligible_profiles,real_multiday_data_required,economic_real_validation_required,predictive_real_holdout_required,robustness_real_rerun_required,realism_real_validation_required,acceptance_requirement_met_after_contract,blocking_gap_after_contract,required_real_multiday_action,required_next_evidence
373,G02_economic,S01,runnable_proxy,priority,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_economic_validation_missing,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
374,G02_economic,S02,runnable_proxy,priority,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_economic_validation_missing,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
375,G02_economic,S05,runnable_proxy,filter,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_economic_validation_missing,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
376,G02_economic,S07,runnable_proxy,priority,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_economic_validation_missing,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
377,G02_economic,S09,runnable_proxy,benchmark,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_economic_validation_missing,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
378,G02_economic,S03,partial_missing_required_features,priority,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
379,G02_economic,S04,partial_missing_required_features,priority,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
380,G02_economic,S06,partial_missing_required_features,priority,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
381,G02_economic,S08,partial_missing_required_features,research,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
382,G02_economic,S10,not_supported_by_current_product,research_only,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
