panel,metric,count,p05,p25,median,p75,p95
synthetic,impulse_bps,840,-56.43400594193654,-0.06375780893713712,25.722860845693862,81.05678672502059,113.15582550270308
synthetic,top5_imbalance,840,-0.5752278348972389,-0.20464049642519896,0.01680672268907563,0.058503610153022044,0.45434173669467787
synthetic,l2_l5_imbalance,840,-0.5752904348434371,-0.20470876012842074,0.017006802721088437,0.05847081139092021,0.4542857142857143
synthetic,level_weighted_imbalance,840,-0.57530726409529,-0.20450758157729898,0.016983069246715617,0.05854711261832047,0.4544852210402327
synthetic,l2_l5_replenishment_pressure,840,0.0,0.0,0.0,0.01660696841419733,0.08131609870740306
synthetic,depth_withdrawal_pressure,840,0.0,0.0,0.013598673300165837,0.03739593285109868,0.07554928322628857
synthetic,spread_bps,840,1.2141816415738556,1.5060240963841725,1.8014772113136868,1.9331142470524405,3.8343558282217307
real_anchor,impulse_bps,10,-815.1330202182937,-2.986472226234327,5.234012391212017,3632.1030738613913,5013.734785144272
real_anchor,top5_imbalance,10,-0.5970801901390074,-0.3938384198237286,-0.14661095454027695,-0.032224750546511735,0.4478468759733464
real_anchor,l2_l5_imbalance,10,-0.5713890762263678,-0.46287102737252767,-0.09547325369996301,0.043693065951713204,0.3554819450549604
real_anchor,level_weighted_imbalance,10,-0.6906663566255454,-0.29593626020222125,-0.2605151595580049,-0.21936501150585788,0.592530616584643
real_anchor,l2_l5_replenishment_pressure,10,0.0,0.0,0.016216216216216217,0.058012565953256795,0.25100196221040816
real_anchor,depth_withdrawal_pressure,10,0.0,0.0,0.06347680986137158,0.3197978437457108,0.6892278069613195
real_anchor,spread_bps,10,0.8279814609292876,1.3724496161874205,1.8293445640885144,3.6669501069355253,4.421167167624622
