metric,value,description
phase343_official_catalyst_real_day_diagnostic_interpretation_complete,1,Phase343 interpretation completed
phase343_phase342_complete,1,Phase342 complete
phase343_capacity_capped_net_pnl_inr,-2644.9927940519356,Capacity-capped real diagnostic net PnL
phase343_capacity_capped_annualized_return_pct,-38.087896234347866,Capacity-capped real diagnostic annualized return
phase343_current_survivor_route_closed,1,Current Phase338/339 survivor route closed for acceptance
phase343_diagnostic_clue_rows,28,Diagnostic clue rows preserved
phase343_positive_capacity_clue_rows,2,Positive capacity-selected clue rows
phase343_selected_next_route,P344_OFFICIAL_CATALYST_NATIVE_FULL_DEPTH_STRATEGY_SEARCH_PRECOMMIT,Selected next route
phase343_strategy_promotion_allowed,0,No promotion
phase343_paper_or_live_acceptance_allowed,0,No paper/live
phase343_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase343_hard_gate_pass_rows,7,Passed hard gates
phase343_hard_gate_rows,7,Hard gates
phase343_next_best_action,run_phase344_official_catalyst_native_full_depth_strategy_search_precommit_no_paper_live,Recommended next action
