feed_profile,quarter_profile,scenario_day,trade_date,bar_index,symbol,source_sequence,drop_reason
good_retail,Q-A,1,2026-07-14,1,CIPLA,526,random_profile_drop
good_retail,Q-A,2,2026-07-15,20,ADANIPORTS,2420,shock_day_drop
good_retail,Q-A,2,2026-07-15,34,HCLTECH,3184,shock_day_drop
good_retail,Q-A,2,2026-07-15,17,HDFCBANK,3242,shock_day_drop
good_retail,Q-A,2,2026-07-15,39,HDFCBANK,3264,shock_day_drop
good_retail,Q-A,2,2026-07-15,20,HINDUNILVR,3320,shock_day_drop
good_retail,Q-A,3,2026-07-16,70,BANKBEES,5095,random_profile_drop
good_retail,Q-A,3,2026-07-16,35,DRREDDY,5435,random_profile_drop
good_retail,Q-A,3,2026-07-16,50,HINDUNILVR,5750,random_profile_drop
good_retail,Q-A,3,2026-07-16,1,ONGC,6601,random_profile_drop
good_retail,Q-A,4,2026-07-17,30,AXISBANK,7305,random_profile_drop
good_retail,Q-A,4,2026-07-17,59,BANKBEES,7484,random_profile_drop
good_retail,Q-A,4,2026-07-17,39,HINDUNILVR,8139,random_profile_drop
good_retail,Q-A,4,2026-07-17,66,ICICIBANK,8241,random_profile_drop
good_retail,Q-A,5,2026-07-20,28,DRREDDY,10228,shock_day_drop
good_retail,Q-A,5,2026-07-20,69,KOTAKBANK,11019,shock_day_drop
good_retail,Q-A,5,2026-07-20,24,M&M,11124,shock_day_drop
good_retail,Q-A,5,2026-07-20,21,TECHM,11796,shock_day_drop
good_retail,Q-A,6,2026-07-21,16,ADANIPORTS,12016,random_profile_drop
good_retail,Q-A,6,2026-07-21,39,ULTRACEMCO,14289,random_profile_drop
good_retail,Q-A,7,2026-07-22,60,RELIANCE,16335,random_profile_drop
good_retail,Q-A,8,2026-07-23,72,ULTRACEMCO,19122,random_profile_drop
good_retail,Q-A,9,2026-07-24,37,SBIN,21187,random_profile_drop
good_retail,Q-A,10,2026-07-27,4,CIPLA,22129,random_profile_drop
good_retail,Q-A,10,2026-07-27,23,KOTAKBANK,22973,random_profile_drop
good_retail,Q-A,11,2026-07-28,29,BHARTIARTL,24329,random_profile_drop
good_retail,Q-A,11,2026-07-28,36,DRREDDY,24636,random_profile_drop
good_retail,Q-A,11,2026-07-28,38,SUNPHARMA,26063,random_profile_drop
good_retail,Q-A,12,2026-07-29,60,MARUTI,28035,random_profile_drop
good_retail,Q-A,12,2026-07-29,5,RELIANCE,28280,random_profile_drop
good_retail,Q-A,15,2026-08-03,48,LT,35073,random_profile_drop
good_retail,Q-A,16,2026-08-04,58,HDFCBANK,36883,random_profile_drop
good_retail,Q-A,16,2026-08-04,53,M&M,37553,random_profile_drop
good_retail,Q-A,16,2026-08-04,29,RELIANCE,37904,random_profile_drop
good_retail,Q-A,16,2026-08-04,29,ULTRACEMCO,38279,random_profile_drop
good_retail,Q-A,18,2026-08-06,26,AXISBANK,40901,shock_day_drop
good_retail,Q-A,18,2026-08-06,0,ULTRACEMCO,43050,shock_day_drop
good_retail,Q-A,19,2026-08-07,47,BAJAJ-AUTO,43397,random_profile_drop
good_retail,Q-A,19,2026-08-07,65,HDFCBANK,44090,random_profile_drop
good_retail,Q-A,20,2026-08-10,14,NIFTYBEES,47339,random_profile_drop
good_retail,Q-A,20,2026-08-10,40,TECHM,47815,random_profile_drop
good_retail,Q-A,21,2026-08-11,64,BANKBEES,48289,random_profile_drop
