symbol,rows,trade_dates,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction
ADANIPORTS,526144,22,1000.0,4500.0,5500.0,0.5319925796678336
AXISBANK,526400,22,501.0,2001.0,4381.0,0.7511104187485039
BAJAJ-AUTO,526144,22,1000.0,4910.0,5939.0,0.5162813948095689
BANKBEES,525824,22,999.0,1255.0,4450.0,0.7512352558567674
BHARTIARTL,526656,22,749.0,3250.0,4762.0,0.688369911551476
BPCL,526592,22,5239.0,5239.0,6082.0,0.37558539225554055
BRITANNIA,526592,22,5923.0,5923.0,7001.0,0.32865715859239986
CIPLA,525824,22,5000.0,5000.0,5954.0,0.4224651104408123
DRREDDY,525952,22,4792.0,4792.0,5750.0,0.4538550757705398
GOLDBEES,526208,22,750.0,3999.0,5250.0,0.6570319240724762
HCLTECH,525952,22,1000.0,4500.0,5325.0,0.500766261669804
HDFCBANK,526080,22,500.0,500.0,1250.0,0.9372768782149496
HINDUNILVR,525248,22,1000.0,4750.0,5859.0,0.5632261159957809
ICICIBANK,526016,22,500.0,1001.0,3403.0,0.8763807191717016
INFY,526400,22,500.0,2001.0,3922.0,0.8137897100562713
ITBEES,526400,22,5829.0,5829.0,6911.0,0.29741554548252397
ITC,526528,22,749.0,3753.0,4815.0,0.7195435569585152
JUNIORBEES,525376,22,999.0,3348.0,4511.0,0.7509945674725994
KOTAKBANK,525952,22,500.0,3000.0,4051.0,0.8136215846215276
LT,525952,22,500.0,1001.0,3367.0,0.8763903941589185
M&M,526528,22,501.0,1750.0,4285.0,0.8137039274006375
MARUTI,526656,22,683.0,2502.0,4212.0,0.7667905984042048
NESTLEIND,525824,22,5210.0,5210.0,6232.0,0.4224594048710351
NIFTYBEES,526784,22,749.0,2752.0,4467.0,0.7822735884517107
ONGC,526016,22,750.0,4001.0,5002.0,0.6414103582930604
RELIANCE,525696,22,500.0,1001.0,2999.0,0.8763891689526209
SBIN,525760,22,500.0,2000.0,4258.0,0.8136961756616413
SUNPHARMA,526080,22,982.0,4577.0,5484.0,0.5789114508286158
TCS,526592,22,500.0,2000.0,4251.0,0.7981180090016522
TECHM,525888,22,4764.0,4764.0,5806.0,0.45385326299855855
ULTRACEMCO,527168,22,5569.0,5569.0,6773.0,0.29741475796079264
WIPRO,527296,22,751.0,4227.0,5142.0,0.5945333925056043
