symbol,target_median_p95_gap_ms,phase106_synthetic_p95_gap_ms,p95_gap_ms,phase106_to_target_p95_ratio,phase156_to_target_p95_ratio,p95_gap_improved_vs_phase106,p95_contract_band_pass,phase106_synthetic_gap_le_1s_fraction,gap_le_1s_fraction,gap_le_1s_fraction_delta
ADANIPORTS,5500.0,792.0,5500.0,0.144,1.0,1,1,0.991883134130146,0.5319925796678336,-0.4598905544623123
AXISBANK,4380.75,792.0,4381.0,0.1807909604519774,1.000057067853678,1,1,0.9921439344854324,0.7511104187485039,-0.24103351573692844
BAJAJ-AUTO,5939.25,792.0,5939.0,0.1333501704760702,0.9999579071431578,1,1,0.9922228476750856,0.5162813948095689,-0.4759414528655167
BANKBEES,4450.0,792.0,4450.0,0.17797752808988765,1.0,1,1,0.9921269148235494,0.7512352558567674,-0.240891658966782
BHARTIARTL,4762.399999999994,792.0,4762.0,0.16630270451873025,0.9999160087350928,1,1,0.9922602179981108,0.688369911551476,-0.30389030644663484
BPCL,6081.699999999999,792.0,6082.0,0.13022674581120414,1.0000493283128074,1,1,0.9920451649891706,0.37558539225554055,-0.6164597727336301
BRITANNIA,7000.799999999999,792.0,7001.0,0.11312992800822765,1.0000285681636385,1,1,0.9919369833613124,0.32865715859239986,-0.6632798247689126
CIPLA,5953.9,792.0,5954.0,0.13302205277213255,1.0000167957137338,1,1,0.992041422318545,0.4224651104408123,-0.5695763118777326
DRREDDY,5750.0,792.0,5750.0,0.13773913043478261,1.0,1,1,0.9921130952380952,0.4538550757705398,-0.5382580194675555
GOLDBEES,5250.0,792.0,5250.0,0.15085714285714286,1.0,1,1,0.99214027726138,0.6570319240724762,-0.33510835318890375
HCLTECH,5324.849999999999,792.0,5325.0,0.1487365841291304,1.0000281698076003,1,1,0.9920779324266892,0.500766261669804,-0.4913116707568852
HDFCBANK,1250.0,792.0,1250.0,0.6336,1.0,1,1,0.9919482520454788,0.9372768782149496,-0.05467137383052911
HINDUNILVR,5859.449999999999,792.0,5859.0,0.13516626987174565,0.9999232009830276,1,1,0.9920834617551094,0.5632261159957809,-0.42885734575932855
ICICIBANK,3403.0,792.0,3403.0,0.23273582133411697,1.0,1,1,0.992150906522501,0.8763807191717016,-0.11577018735079947
INFY,3922.15,792.0,3922.0,0.20193006386803156,0.9999617556697219,1,1,0.992097098107554,0.8137897100562713,-0.17830738805128266
ITBEES,6911.049999999997,792.0,6911.0,0.11459908407550232,0.999992765209339,1,1,0.9920574022939675,0.29741554548252397,-0.6946418568114436
ITC,4815.399999999987,792.0,4815.0,0.1644723179798152,0.9999169331727402,1,1,0.9920466131396164,0.7195435569585152,-0.27250305618110116
JUNIORBEES,4511.0,792.0,4511.0,0.17557082686765685,1.0,1,1,0.992121101053884,0.7509945674725994,-0.24112653358128455
KOTAKBANK,4051.2999999999993,792.0,4051.0,0.19549280477871303,0.9999259496951598,1,1,0.9921637588456552,0.8136215846215276,-0.17854217422412766
LT,3367.0,792.0,3367.0,0.23522423522423522,1.0,1,1,0.9920056440126698,0.8763903941589185,-0.11561524985375127
M&M,4285.449999999993,792.0,4285.0,0.18481139670279695,0.9998949935246022,1,1,0.9920272955226418,0.8137039274006375,-0.17832336812200433
MARUTI,4212.0,792.0,4212.0,0.18803418803418803,1.0,1,1,0.9922718729093438,0.7667905984042048,-0.225481274505139
NESTLEIND,6232.4,792.0,6232.0,0.12707785122906104,0.9999358192670561,1,1,0.9921826855649292,0.4224594048710351,-0.5697232806938941
NIFTYBEES,4467.049999999999,792.0,4467.0,0.17729821694406825,0.9999888069307487,1,1,0.9921361440025488,0.7822735884517107,-0.2098625555508381
ONGC,5002.0,792.0,5002.0,0.15833666533386645,1.0,1,1,0.9922236094140148,0.6414103582930604,-0.3508132511209544
RELIANCE,2999.0,792.0,2999.0,0.26408802934311437,1.0,1,1,0.992320506280686,0.8763891689526209,-0.11593133732806515
SBIN,4257.699999999999,792.0,4258.0,0.18601592409047144,1.0000704605773072,1,1,0.9920775115550124,0.8136961756616413,-0.17838133589337113
SUNPHARMA,5483.999999999993,792.0,5484.0,0.14442013129102863,1.0000000000000013,1,1,0.9921039496182072,0.5789114508286158,-0.4131924987895914
TCS,4250.699999999999,792.0,4251.0,0.18632225280542034,1.0000705766109115,1,1,0.9922382757741812,0.7981180090016522,-0.19412026677252903
TECHM,5806.099999999999,792.0,5806.0,0.1364082602779835,0.9999827767348135,1,1,0.9920110134266,0.45385326299855855,-0.5381577504280415
ULTRACEMCO,6772.599999999999,792.0,6773.0,0.11694179487936687,1.0000590615125655,1,1,0.9922167832910372,0.29741475796079264,-0.6948020253302446
WIPRO,5142.199999999997,792.0,5142.0,0.1540196802924819,0.9999611061413408,1,1,0.9920477955230854,0.5945333925056043,-0.3975144030174811
