phase277_variant_id,redesign_family,feature_rule,scenario_rows,selected_event_rows,cost200_above12_scenario_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,min_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_scheduled_event_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,near_miss_under_12,material_clue,close_for_acceptance
P277_REPLENISH_WITHDRAW_GE_Q90,depth_replenishment_withdrawal,depth_replenish_withdraw_ratio >= 12.933958,6,128,0,3.597798748104333,4.141519867592942,9.370481974163102,297.47561822740005,114.21583327315344,P271_P277_REPLENISH_WITHDRAW_GE_Q90_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2,0,1,0,1,1,1
P277_SPREAD_LE_Q80,spread_regime,avg_spread_bps <= 2.559387,6,276,0,3.597798748104333,4.141519867592942,9.370481974163102,297.47561822740005,114.21583327315344,P271_P277_SPREAD_LE_Q80_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2,0,0,0,1,1,1
P277_REPLENISH_CHURN_Q70,replenishment_churn_filter,depth_replenish_withdraw_ratio >= 8.417774 and top5_churn_pressure <= 342736.393969,6,234,0,3.0353905371278778,6.895706299232592,7.720631524209429,245.099413466966,96.36160435326596,P271_P277_REPLENISH_CHURN_Q70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,3,1,1,0,1,1,1
P277_CHURN_LE_Q60,event_sparsity,top5_churn_pressure <= 445889.435425,6,512,0,1.2705099203628936,4.726383815501002,6.911747790276217,219.4205647706736,40.33364826548869,P271_P277_CHURN_LE_Q60_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,1,0,0,1,1,1
P277_CHURN_LE_Q80,event_sparsity,top5_churn_pressure <= 71224.830695,6,256,0,3.0353905371278778,6.079533589565381,6.088286104875007,193.27892396428595,96.36160435326596,P271_P277_CHURN_LE_Q80_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,1,0,0,1,1,1
P277_REPLENISH_CHURN_Q80,replenishment_churn_filter,depth_replenish_withdraw_ratio >= 10.699868 and top5_churn_pressure <= 71224.830695,6,138,0,3.0353905371278778,6.079533589565381,6.088286104875007,193.27892396428595,96.36160435326596,P271_P277_REPLENISH_CHURN_Q80_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,1,1,0,1,1,1
P277_SPARSITY_PRESSURE_LE_Q80,spread_and_churn_sparsity,event_sparsity_pressure <= 250903.160053,6,256,0,3.0353905371278778,6.079533589565381,6.088286104875007,193.27892396428595,96.36160435326596,P271_P277_SPARSITY_PRESSURE_LE_Q80_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,1,0,0,1,1,1
P277_SPARSITY_PRESSURE_LE_Q90,spread_and_churn_sparsity,event_sparsity_pressure <= 166225.822836,6,128,0,2.740576127999057,3.7521240447694297,5.481152255998114,174.00483352374965,87.00241676187483,P271_P277_SPARSITY_PRESSURE_LE_Q90_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3,1,0,0,1,1,1
P277_REPLENISH_CHURN_Q60,replenishment_churn_filter,depth_replenish_withdraw_ratio >= 5.629741 and top5_churn_pressure <= 445889.435425,6,367,0,2.119383929256625,4.814955400909315,5.391142943305379,171.1473950255676,67.28202950021033,P271_P277_REPLENISH_CHURN_Q60_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,3,1,1,0,1,1,1
P277_WEIGHTED_DEPTH_GE_Q90,levels_2_to_5_depth,avg_level_weighted_depth_imbalance >= 0.670035,6,128,0,-1.0454976358812331,0.6755878385115338,4.793346625808602,152.16973415265403,-33.190401139086774,P271_P277_WEIGHTED_DEPTH_GE_Q90_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3,0,1,0,1,1,1
