metric,value,description
phase278_interpretation_complete,1,Phase278 cost-robust redesign interpretation completed
phase278_selected_next_route,P278_MATERIAL_NEW_TARGET_CONSTRUCTION_PRECOMMIT,Selected next route
phase278_phase277_variant_rows,47,Phase277 variants interpreted
phase278_phase277_scenario_rows,282,Phase277 scenarios interpreted
phase278_phase277_cost200_above12_scenario_rows,0,Phase277 cost200 above-12 rows
phase278_phase277_best_cost200_annualized_pct,9.370481974163102,Best Phase277 cost200 annualized diagnostic
phase278_material_clue_variant_rows,25,Full-depth material clue rows
phase278_close_filter_redesign_for_acceptance,1,Close Phase277 filter redesign for acceptance
phase278_best_preserved_clue_variant,P277_REPLENISH_WITHDRAW_GE_Q90,Best preserved clue variant
phase278_best_preserved_clue_family,depth_replenishment_withdrawal,Best preserved clue family
phase278_do_not_relax_cost_threshold,1,Keep cost200 threshold
phase278_strategy_replay_allowed,0,No strategy replay unlocked
phase278_strategy_promotion_allowed,0,No strategy promotion unlocked
phase278_paper_or_live_acceptance_allowed,0,No paper/live acceptance
phase278_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase278_hard_gate_pass_rows,7,Hard gates passed
phase278_hard_gate_rows,7,Hard gates evaluated
phase278_next_best_action,run_phase279_material_new_target_construction_precommit_no_paper_live,Recommended next milestone
