execution_rank,gate_id,strategy_id,name,strategy_support_level,strategy_role,hardening_requirement,action_class,dependency_status,support_decision_policy,support_contract_status,alpha_promotion_scope,classification_required,feature_engineering_required,acceptance_upgrade_required,proxy_feature_count,proxy_features_present,proxy_features_absent,present_proxy_features,plan_missing_features,module_type,implementation_status,signal_status,registered_for_phase13_proxy,planned_registry_rows,initial_engineering_seeds_run,required_full_validation_seeds,walk_forward_windows_run,walk_forward_windows_planned,acceptance_requirement_met_after_contract,blocking_gap_after_contract,required_support_action,required_next_evidence
45,G01_predictive,S01,Momentum/breakout filtered by MLOFI,runnable_proxy,priority,strategy_support_ready,strategy_feature_support_closure,proxy_to_upgrade,proxy_support_available_acceptance_upgrade_required,proxy_supported_acceptance_upgrade_required,eligible_for_future_alpha_support_upgrade,False,False,True,5,5,0,momentum_3; mlofi_qty; spread_ticks; future_mid_return_1; regime_code,trade_flow_confirmation; true_1s_lookbacks; market_or_sector_alignment,signal_module_proxy,implemented_proxy_signal_diagnostic,signal_proxy_available,True,,9,30,0,48,False,"Runnable proxy exists, but acceptance feature horizon/module evidence and full validation reruns are still required.",Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S01.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
46,G01_predictive,S02,Pure multi-level OFI directional model,runnable_proxy,priority,strategy_support_ready,strategy_feature_support_closure,proxy_to_upgrade,proxy_support_available_acceptance_upgrade_required,proxy_supported_acceptance_upgrade_required,eligible_for_future_alpha_support_upgrade,False,False,True,4,4,0,l1_imbalance; l5_imbalance; mlofi_qty; future_mid_return_1,true_l1_ofi; next_quote_move_label; multi_horizon_second_labels,signal_module_proxy,implemented_proxy_signal_diagnostic,signal_proxy_available,True,,9,30,0,48,False,"Runnable proxy exists, but acceptance feature horizon/module evidence and full validation reruns are still required.",Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S02.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
47,G01_predictive,S05,Microprice entry/exit filter,runnable_proxy,filter,strategy_support_ready,strategy_feature_support_closure,proxy_to_upgrade,proxy_support_available_acceptance_upgrade_required,proxy_supported_acceptance_upgrade_required,eligible_for_future_alpha_support_upgrade,False,False,True,4,4,0,microprice_l1; mid_price; future_mid_return_1; spread_ticks,next_tick_direction; entry_slippage; parent_strategy_linkage,signal_module_proxy,implemented_proxy_signal_diagnostic,signal_proxy_available,True,,9,30,0,48,False,"Runnable proxy exists, but acceptance feature horizon/module evidence and full validation reruns are still required.",Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S05.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
48,G01_predictive,S07,Mean reversion after imbalance,runnable_proxy,priority,strategy_support_ready,strategy_feature_support_closure,proxy_to_upgrade,proxy_support_available_acceptance_upgrade_required,proxy_supported_acceptance_upgrade_required,eligible_for_future_alpha_support_upgrade,False,False,True,4,4,0,l5_imbalance; event_intensity_proxy; regime_code; future_mid_return_1,explicit_replenishment_rate; trend_suppression_gate,signal_module_proxy,implemented_proxy_signal_diagnostic,signal_proxy_available,True,,9,30,0,48,False,"Runnable proxy exists, but acceptance feature horizon/module evidence and full validation reruns are still required.",Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S07.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
49,G01_predictive,S09,Pure queue-imbalance scalping,runnable_proxy,benchmark,strategy_support_ready,strategy_feature_support_closure,proxy_to_upgrade,proxy_support_available_acceptance_upgrade_required,proxy_supported_acceptance_upgrade_required,eligible_for_future_alpha_support_upgrade,False,False,True,3,3,0,l1_imbalance; future_mid_return_1; spread_ticks,queue_position; 50_100_250_500ms_labels; cost_model,signal_module_proxy,implemented_proxy_signal_diagnostic,signal_proxy_available,True,,9,30,0,48,False,"Runnable proxy exists, but acceptance feature horizon/module evidence and full validation reruns are still required.",Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S09.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
50,G01_predictive,S03,Liquidity-vacuum breakout,partial_missing_required_features,priority,strategy_support_ready,strategy_feature_support_closure,missing_required_evidence,feature_engineering_required_before_acceptance,partial_support_feature_engineering_required,eligible_for_future_alpha_support_upgrade,False,True,False,4,4,0,book_slope_l5; spread_ticks; momentum_3; future_mid_return_1,explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels,partial_signal_module_proxy,implemented_proxy_with_missing_acceptance_features,partial_signal_proxy_available,True,,9,30,0,48,False,"Partial proxy exists, but required plan features are still missing from the current acceptance feature product.",Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
51,G01_predictive,S04,Trade-flow plus depth confirmation,partial_missing_required_features,priority,strategy_support_ready,strategy_feature_support_closure,missing_required_evidence,feature_engineering_required_before_acceptance,partial_support_feature_engineering_required,eligible_for_future_alpha_support_upgrade,False,True,False,4,4,0,mlofi_qty; event_intensity_proxy; future_mid_return_1; regime_code,aggressive_trade_imbalance; absorption_label; exhaustion_label,partial_signal_module_proxy,implemented_proxy_with_missing_acceptance_features,partial_signal_proxy_available,True,,9,30,0,48,False,"Partial proxy exists, but required plan features are still missing from the current acceptance feature product.",Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
52,G01_predictive,S06,Absorption and exhaustion reversal,partial_missing_required_features,priority,strategy_support_ready,strategy_feature_support_closure,missing_required_evidence,feature_engineering_required_before_acceptance,partial_support_feature_engineering_required,eligible_for_future_alpha_support_upgrade,False,True,False,4,4,0,event_intensity_proxy; momentum_3; future_mid_return_1; regime_code,signed_aggressive_flow; flow_reversal; replenishment_rate,partial_signal_module_proxy,implemented_proxy_with_missing_acceptance_features,partial_signal_proxy_available,True,,9,30,0,48,False,"Partial proxy exists, but required plan features are still missing from the current acceptance feature product.",Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
53,G01_predictive,S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,research,strategy_support_ready,strategy_feature_support_closure,missing_required_evidence,feature_engineering_required_before_acceptance,partial_support_feature_engineering_required,eligible_for_future_alpha_support_upgrade,False,True,False,5,5,0,mlofi_qty; future_mid_return_1; symbol; bar_index; trade_date,sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios,partial_signal_module_proxy,implemented_proxy_with_missing_acceptance_features,partial_signal_proxy_available,True,,9,30,0,48,False,"Partial proxy exists, but required plan features are still missing from the current acceptance feature product.",Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
54,G01_predictive,S10,Passive market making,not_supported_by_current_product,research_only,strategy_support_ready,strategy_feature_support_closure,missing_required_evidence,explicit_research_or_risk_only_classification_required,unsupported_requires_explicit_non_alpha_classification,exclude_from_alpha_promotion_or_register_as_control,True,False,False,0,0,0,,queue_position; fill_model; inventory_model; cancellation_latency; order_simulator,execution_risk_module_proxy,implemented_proxy_non_alpha,not_alpha_signal,False,,0,30,0,48,False,Strategy is not supported by the current alpha feature product and must be explicitly excluded or separately registered as non-alpha control.,Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.
