strategy_id,name,strategy_support_level,strategy_role,m02_rows,gates,feature_engineering_required,classification_required,acceptance_upgrade_required,acceptance_met_rows,required_support_action,strategy_support_closure_status
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,priority,2,2,False,False,True,0,Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S01.,proxy_supported_requires_acceptance_upgrade
S02,Pure multi-level OFI directional model,runnable_proxy,priority,2,2,False,False,True,0,Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S02.,proxy_supported_requires_acceptance_upgrade
S05,Microprice entry/exit filter,runnable_proxy,filter,2,2,False,False,True,0,Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S05.,proxy_supported_requires_acceptance_upgrade
S07,Mean reversion after imbalance,runnable_proxy,priority,2,2,False,False,True,0,Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S07.,proxy_supported_requires_acceptance_upgrade
S09,Pure queue-imbalance scalping,runnable_proxy,benchmark,2,2,False,False,True,0,Upgrade proxy module to acceptance-grade feature horizon and rerun validation for S09.,proxy_supported_requires_acceptance_upgrade
S10,Passive market making,not_supported_by_current_product,research_only,3,3,False,True,False,0,Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,requires_explicit_non_alpha_classification
S11,Spoof-like wall filter,not_supported_by_current_product,risk_filter_only,3,3,False,True,False,0,Classify S11 as research-only/risk-filter-only or build a separate non-alpha registry path.,requires_explicit_non_alpha_classification
S03,Liquidity-vacuum breakout,partial_missing_required_features,priority,3,3,True,False,False,0,Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,requires_feature_engineering
S04,Trade-flow plus depth confirmation,partial_missing_required_features,priority,3,3,True,False,False,0,Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,requires_feature_engineering
S06,Absorption and exhaustion reversal,partial_missing_required_features,priority,3,3,True,False,False,0,Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,requires_feature_engineering
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,research,3,3,True,False,False,0,Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,requires_feature_engineering
