strategy_id,strategy_name,redesign_priority,contract_requirement_id,evidence_domain,required_artifact_or_test,current_evidence_status,acceptance_requirement_met,replay_expansion_allowed,blocking_reason,source_phase30_decision,scanner_evidence_status,available_evidence_source,scanner_note,scanner_acceptance_requirement_met,scanner_replay_expansion_allowed
S01,Momentum/breakout filtered by MLOFI,low,S01_01_new_event_signal_thesis,signal_design,A new event-level momentum/breakout thesis that forecasts beyond spread and Zerodha charge hurdle.,missing_or_proxy_only,False,False,No current S01 proxy survived Phase 25/26/27 realistic execution.,reject_current_signal_form_redesign_required,not_started_new_thesis_required,,No new post-Phase-30 cost-aware signal thesis artifact exists for this requirement.,False,False
S01,Momentum/breakout filtered by MLOFI,low,S01_02_sub_second_mlofi_horizon,feature_engineering,"Acceptance-grade sub-second and 1s/5s MLOFI lookbacks from received tick deltas, not 5-minute proxy features.",missing_or_proxy_only,False,False,Current proxy feature horizon is too coarse for breakout execution.,reject_current_signal_form_redesign_required,partial_proxy_available_not_acceptance,outputs/phase1/phase1_feature_summary.csv,"Phase 1 has 620853 received-delta rows with 349538 withdrawal and 344771 replenishment proxy rows, but not acceptance-grade redesigned features.",False,False
S01,Momentum/breakout filtered by MLOFI,low,S01_03_charged_retail_replay_pass,execution_economics,"Retail and stressed profiles must be positive after spread, latency, slippage and Zerodha formula charges.",missing_or_proxy_only,False,False,Phase 25/26/27 realistic charged evidence has zero candidate rows.,reject_current_signal_form_redesign_required,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S01,Momentum/breakout filtered by MLOFI,low,S01_04_multi_day_real_holdout,real_data,At least multi-day Class B real tick holdout with no reuse of the design day.,missing_or_proxy_only,False,False,One-day proxy evidence cannot prove stability.,reject_current_signal_form_redesign_required,one_day_real_sample_available_multiday_missing,outputs/stage_a2/stage_a2_readiness_summary.csv,1 current sample day is available; minimum required complete days is 5.,False,False
S01,Momentum/breakout filtered by MLOFI,low,S01_05_negative_control_falsification,robustness,Breakout signal must beat shuffled-time and inverted-signal controls after costs.,missing_or_proxy_only,False,False,Needed to rule out artifact exploitation.,reject_current_signal_form_redesign_required,proxy_robustness_available_new_control_missing,outputs/phase13; outputs/phase16; outputs/phase31/redesign_evidence_contract_ledger.csv,"Earlier robustness/proxy artifacts exist, but the Phase 31 strategy-specific negative controls have not been generated.",False,False
S02,Pure multi-level OFI directional model,low,S02_01_new_ofi_signal_thesis,signal_design,A redesigned OFI direction model with a quantified fee/spread hurdle before replay.,missing_or_proxy_only,False,False,Current OFI proxy is negative after execution costs.,reject_current_signal_form_redesign_required,not_started_new_thesis_required,,No new post-Phase-30 cost-aware signal thesis artifact exists for this requirement.,False,False
S02,Pure multi-level OFI directional model,low,S02_02_multi_level_ofi_event_features,feature_engineering,Acceptance-grade multi-level OFI features at event and short-horizon clocks.,missing_or_proxy_only,False,False,Static imbalance and coarse MLOFI are insufficient.,reject_current_signal_form_redesign_required,partial_proxy_available_not_acceptance,outputs/phase1/phase1_feature_summary.csv,"Phase 1 has 620853 received-delta rows with 349538 withdrawal and 344771 replenishment proxy rows, but not acceptance-grade redesigned features.",False,False
S02,Pure multi-level OFI directional model,low,S02_03_charged_retail_replay_pass,execution_economics,"Retail and stressed profiles must be positive after spread, latency, slippage and Zerodha formula charges.",missing_or_proxy_only,False,False,Phase 25/26/27 realistic charged evidence has zero candidate rows.,reject_current_signal_form_redesign_required,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S02,Pure multi-level OFI directional model,low,S02_04_multi_day_real_holdout,real_data,Multi-day real tick holdout across at least liquid bank and non-bank symbols.,missing_or_proxy_only,False,False,Single-day evidence cannot prove OFI stability.,reject_current_signal_form_redesign_required,one_day_real_sample_available_multiday_missing,outputs/stage_a2/stage_a2_readiness_summary.csv,1 current sample day is available; minimum required complete days is 5.,False,False
S02,Pure multi-level OFI directional model,low,S02_05_negative_control_falsification,robustness,"OFI direction must beat lagged, shuffled and sign-inverted controls after costs.",missing_or_proxy_only,False,False,Needed to rule out microstructure artifact fit.,reject_current_signal_form_redesign_required,proxy_robustness_available_new_control_missing,outputs/phase13; outputs/phase16; outputs/phase31/redesign_evidence_contract_ledger.csv,"Earlier robustness/proxy artifacts exist, but the Phase 31 strategy-specific negative controls have not been generated.",False,False
S03,Liquidity-vacuum breakout,medium,S03_01_acceptance_grade_withdrawal_label,label_engineering,Explicit depth-withdrawal and replenishment labels from multi-day received ticks.,missing_or_proxy_only,False,False,Phase 28 labels are weak market-by-price proxies.,reject_current_proxy_label_execution_form,proxy_available_not_acceptance,outputs/phase28/strategy_support_upgrade_summary.csv; outputs/phase28/event_label_summary.csv,"Phase 28 has 47449 weak proxy label rows for S03, but acceptance_ready is false.",False,False
S03,Liquidity-vacuum breakout,medium,S03_02_sweep_and_vacuum_event_label,label_engineering,Liquidity-vacuum/sweep labels with common-shock and crossed-book filters.,missing_or_proxy_only,False,False,Current labels cannot prove true vacuum events.,reject_current_proxy_label_execution_form,proxy_available_not_acceptance,outputs/phase28/strategy_support_upgrade_summary.csv; outputs/phase28/event_label_summary.csv,"Phase 28 has 47449 weak proxy label rows for S03, but acceptance_ready is false.",False,False
S03,Liquidity-vacuum breakout,medium,S03_03_timestamp_skew_control,data_quality,Timestamp skew and simultaneous market-shock controls before causal replay.,missing_or_proxy_only,False,False,Needed before treating S03 event labels as causal.,reject_current_proxy_label_execution_form,diagnostics_contract_open,outputs/stage_a2/stage_a2_readiness_summary.csv; outputs/stage_a2/capture_diagnostics_gap_summary.csv,"Stage A2 capture diagnostics exist, but 192 contract rows remain open.",False,False
S03,Liquidity-vacuum breakout,medium,S03_04_broker_fill_cost_reconciliation,broker_evidence,Broker/exchange fill and cost reconciliation for marketable entries.,missing_or_proxy_only,False,False,"Current costs are formula/model evidence, not broker fills.",reject_current_proxy_label_execution_form,external_evidence_missing,outputs/phase20_m01/broker_evidence_import_checklist.csv; outputs/phase16/broker_reconciliation_readiness.csv,4 broker/external evidence files are still missing; formula costs exist but broker fills/contract notes do not.,False,False
S03,Liquidity-vacuum breakout,medium,S03_05_charged_retail_replay_pass,execution_economics,Phase 29-style replay must become positive in retail and stressed profiles.,missing_or_proxy_only,False,False,Current S03 proxy replay is negative after costs.,reject_current_proxy_label_execution_form,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S04,Trade-flow plus depth confirmation,medium,S04_01_aggressive_trade_flow_label,label_engineering,Acceptance-grade signed aggressive trade imbalance labels.,missing_or_proxy_only,False,False,Current trade-side is weakly inferred from market-by-price updates.,reject_current_proxy_label_execution_form,proxy_available_not_acceptance,outputs/phase28/strategy_support_upgrade_summary.csv; outputs/phase28/event_label_summary.csv,"Phase 28 has 38481 weak proxy label rows for S04, but acceptance_ready is false.",False,False
S04,Trade-flow plus depth confirmation,medium,S04_02_depth_confirmation_label,label_engineering,Depth-confirmation/exhaustion labels that distinguish true flow from quote churn.,missing_or_proxy_only,False,False,Current labels cannot verify exhaustion.,reject_current_proxy_label_execution_form,proxy_available_not_acceptance,outputs/phase28/strategy_support_upgrade_summary.csv; outputs/phase28/event_label_summary.csv,"Phase 28 has 38481 weak proxy label rows for S04, but acceptance_ready is false.",False,False
S04,Trade-flow plus depth confirmation,medium,S04_03_common_shock_control,robustness,Common-shock and market-wide move controls before promotion replay.,missing_or_proxy_only,False,False,Needed to avoid labeling broad moves as strategy edge.,reject_current_proxy_label_execution_form,proxy_robustness_available_new_control_missing,outputs/phase13; outputs/phase16; outputs/phase31/redesign_evidence_contract_ledger.csv,"Earlier robustness/proxy artifacts exist, but the Phase 31 strategy-specific negative controls have not been generated.",False,False
S04,Trade-flow plus depth confirmation,medium,S04_04_broker_fill_cost_reconciliation,broker_evidence,Broker/exchange fill and cost reconciliation for marketable entries.,missing_or_proxy_only,False,False,"Current costs are formula/model evidence, not broker fills.",reject_current_proxy_label_execution_form,external_evidence_missing,outputs/phase20_m01/broker_evidence_import_checklist.csv; outputs/phase16/broker_reconciliation_readiness.csv,4 broker/external evidence files are still missing; formula costs exist but broker fills/contract notes do not.,False,False
