trade_month,symbol,source_rows,dense_rows,multiplier,file_path,bytes
2026-01,ADANIPORTS,8221,526144,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,11179445
2026-01,AXISBANK,8225,526400,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,11096622
2026-01,BAJAJ-AUTO,8221,526144,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,11277332
2026-01,BANKBEES,8216,525824,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,11087741
2026-01,BHARTIARTL,8229,526656,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,11168816
2026-01,BPCL,8228,526592,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=BPCL\part-00000.parquet,11394127
2026-01,BRITANNIA,8228,526592,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,11269518
2026-01,CIPLA,8216,525824,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,11042039
2026-01,DRREDDY,8218,525952,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=DRREDDY\part-00000.parquet,11104318
2026-01,GOLDBEES,8222,526208,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=GOLDBEES\part-00000.parquet,11213008
2026-01,HCLTECH,8218,525952,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet,11229206
2026-01,HDFCBANK,8220,526080,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,11278095
2026-01,HINDUNILVR,8207,525248,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=HINDUNILVR\part-00000.parquet,11098010
2026-01,ICICIBANK,8219,526016,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=ICICIBANK\part-00000.parquet,11088317
2026-01,INFY,8225,526400,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=INFY\part-00000.parquet,11196406
2026-01,ITBEES,8225,526400,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=ITBEES\part-00000.parquet,11332171
2026-01,ITC,8227,526528,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=ITC\part-00000.parquet,11215094
2026-01,JUNIORBEES,8209,525376,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=JUNIORBEES\part-00000.parquet,11291758
2026-01,KOTAKBANK,8218,525952,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=KOTAKBANK\part-00000.parquet,10826846
2026-01,LT,8218,525952,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=LT\part-00000.parquet,11180979
2026-01,M&M,8227,526528,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=M&M\part-00000.parquet,11127098
2026-01,MARUTI,8229,526656,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=MARUTI\part-00000.parquet,11037305
2026-01,NESTLEIND,8216,525824,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=NESTLEIND\part-00000.parquet,11268325
2026-01,NIFTYBEES,8231,526784,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=NIFTYBEES\part-00000.parquet,11044395
2026-01,ONGC,8219,526016,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=ONGC\part-00000.parquet,11150101
2026-01,RELIANCE,8214,525696,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet,11252173
2026-01,SBIN,8215,525760,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=SBIN\part-00000.parquet,10947808
2026-01,SUNPHARMA,8220,526080,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=SUNPHARMA\part-00000.parquet,11210454
2026-01,TCS,8228,526592,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=TCS\part-00000.parquet,11127884
2026-01,TECHM,8217,525888,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=TECHM\part-00000.parquet,11335577
2026-01,ULTRACEMCO,8237,527168,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=ULTRACEMCO\part-00000.parquet,11193974
2026-01,WIPRO,8239,527296,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=WIPRO\part-00000.parquet,11350897
2026-02,ADANIPORTS,7475,478400,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=ADANIPORTS\part-00000.parquet,10371622
2026-02,AXISBANK,7473,478272,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=AXISBANK\part-00000.parquet,10301608
2026-02,BAJAJ-AUTO,7480,478720,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=BAJAJ-AUTO\part-00000.parquet,10487055
2026-02,BANKBEES,7465,477760,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=BANKBEES\part-00000.parquet,10366502
2026-02,BHARTIARTL,7484,478976,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=BHARTIARTL\part-00000.parquet,10344144
2026-02,BPCL,7474,478336,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=BPCL\part-00000.parquet,10499363
2026-02,BRITANNIA,7460,477440,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=BRITANNIA\part-00000.parquet,10538430
2026-02,CIPLA,7468,477952,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=CIPLA\part-00000.parquet,10330887
2026-02,DRREDDY,7462,477568,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=DRREDDY\part-00000.parquet,10239306
2026-02,GOLDBEES,7468,477952,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=GOLDBEES\part-00000.parquet,10419191
2026-02,HCLTECH,7465,477760,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=HCLTECH\part-00000.parquet,10357513
2026-02,HDFCBANK,7476,478464,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,10383586
2026-02,HINDUNILVR,7463,477632,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=HINDUNILVR\part-00000.parquet,10322968
2026-02,ICICIBANK,7469,478016,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=ICICIBANK\part-00000.parquet,10344892
2026-02,INFY,7459,477376,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=INFY\part-00000.parquet,10312444
2026-02,ITBEES,7480,478720,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=ITBEES\part-00000.parquet,10612416
2026-02,ITC,7486,479104,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=ITC\part-00000.parquet,10496929
2026-02,JUNIORBEES,7478,478592,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=JUNIORBEES\part-00000.parquet,10463711
2026-02,KOTAKBANK,7467,477888,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=KOTAKBANK\part-00000.parquet,9917312
2026-02,LT,7464,477696,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=LT\part-00000.parquet,10378941
2026-02,M&M,7457,477248,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=M&M\part-00000.parquet,10337347
2026-02,MARUTI,7466,477824,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=MARUTI\part-00000.parquet,10215058
2026-02,NESTLEIND,7466,477824,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=NESTLEIND\part-00000.parquet,10473167
2026-02,NIFTYBEES,7458,477312,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=NIFTYBEES\part-00000.parquet,10193615
2026-02,ONGC,7473,478272,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=ONGC\part-00000.parquet,10358898
2026-02,RELIANCE,7453,476992,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=RELIANCE\part-00000.parquet,10421315
2026-02,SBIN,7472,478208,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=SBIN\part-00000.parquet,10094578
2026-02,SUNPHARMA,7472,478208,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=SUNPHARMA\part-00000.parquet,10367418
2026-02,TCS,7464,477696,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=TCS\part-00000.parquet,10246711
2026-02,TECHM,7443,476352,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=TECHM\part-00000.parquet,10443969
2026-02,ULTRACEMCO,7465,477760,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=ULTRACEMCO\part-00000.parquet,10449372
2026-02,WIPRO,7465,477760,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=WIPRO\part-00000.parquet,10444291
2026-03,ADANIPORTS,8213,525632,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-03\symbol=ADANIPORTS\part-00000.parquet,11126547
2026-03,AXISBANK,8218,525952,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-03\symbol=AXISBANK\part-00000.parquet,11166915
2026-03,BAJAJ-AUTO,8221,526144,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-03\symbol=BAJAJ-AUTO\part-00000.parquet,11213794
2026-03,BANKBEES,8225,526400,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-03\symbol=BANKBEES\part-00000.parquet,11120380
2026-03,BHARTIARTL,8226,526464,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-03\symbol=BHARTIARTL\part-00000.parquet,11245391
2026-03,BPCL,8232,526848,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-03\symbol=BPCL\part-00000.parquet,11405224
2026-03,BRITANNIA,8209,525376,64,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-03\symbol=BRITANNIA\part-00000.parquet,11345367
