symbol,rows,trade_dates,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction,months
ADANIPORTS,6024000,252,1000.0,4500.0,5500.0,0.5320103032198558,12
AXISBANK,6025408,252,501.0,2001.0,4381.0,0.7511423770604446,12
BAJAJ-AUTO,6025856,252,1000.0,4910.0,5939.0,0.5162791979028161,12
BANKBEES,6024576,252,999.0,1255.0,4450.0,0.7512449529606974,12
BHARTIARTL,6030144,252,749.0,3250.0,4762.0,0.6883712013415829,12
BPCL,6028032,252,5239.0,5239.0,6082.0,0.3755820550849566,12
BRITANNIA,6023552,252,5923.0,5923.0,7001.0,0.32867049623960287,12
CIPLA,6024192,252,5000.0,5000.0,5954.0,0.42247797952834854,12
DRREDDY,6021120,252,4792.0,4792.0,5750.0,0.4538589784728714,12
GOLDBEES,6024640,252,750.0,3999.0,5250.0,0.6570343742800099,12
HCLTECH,6023680,252,1000.0,4500.0,5325.0,0.5007661750086495,12
HDFCBANK,6023040,252,500.0,500.0,1250.0,0.9372873493139722,12
HINDUNILVR,6021824,252,1000.0,4750.0,5859.0,0.5632240218999292,12
ICICIBANK,6025664,252,500.0,1001.0,3403.0,0.8763802375671572,12
INFY,6023104,252,500.0,2001.0,3922.0,0.8138287309732997,12
ITBEES,6026240,252,5829.0,5829.0,6911.0,0.29741131246859437,12
ITC,6026112,252,749.0,3753.0,4815.0,0.7195701526421125,12
JUNIORBEES,6024192,252,999.0,3348.0,4511.0,0.7509863976068819,12
KOTAKBANK,6023296,252,500.0,3000.0,4051.0,0.8136349327682149,12
LT,6021248,252,500.0,1001.0,3367.0,0.8763850698455871,12
M&M,6023552,252,501.0,1750.0,4285.0,0.8137173974399415,12
MARUTI,6026816,252,683.0,2502.0,4212.0,0.7667725755505127,12
NESTLEIND,6023552,252,5210.0,5210.0,6232.0,0.42246094333670914,12
NIFTYBEES,6026560,252,749.0,2752.0,4467.0,0.7822573954069391,12
ONGC,6023360,252,750.0,4001.0,5002.0,0.641430138725721,12
RELIANCE,6022272,252,500.0,1001.0,2999.0,0.8763906463279764,12
SBIN,6023360,252,500.0,2000.0,4258.0,0.8136941924335409,12
SUNPHARMA,6026304,252,982.0,4577.0,5484.0,0.5788906235790863,12
TCS,6026496,252,500.0,2000.0,4251.0,0.7980948000114167,12
TECHM,6020288,252,4764.0,4764.0,5806.0,0.4538567543449906,12
ULTRACEMCO,6027328,252,5569.0,5569.0,6773.0,0.29741619319218804,12
WIPRO,6027008,252,751.0,4227.0,5142.0,0.5945329460824363,12
