symbol,rows,trade_dates,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
ADANIPORTS,6024000,252,2.2129860789349505,4.40100893129725,806.0,6851.0,0.21285140562248997,9.111124372586232e-05
AXISBANK,6025408,252,1.5166883110731175,3.764046952721688,808.0,6870.0,0.35,9.27206611434195e-05
BAJAJ-AUTO,6025856,252,3.344931085556668,4.895361644841513,52.0,443.0,0.9512195121951219,7.46560926993091e-05
BANKBEES,6024576,252,3.82299722317458,5.861777609182269,800.0,6800.0,0.32792207792207795,8.51549714537886e-05
BHARTIARTL,6030144,252,1.5769347017619852,3.6575919198571736,806.0,6851.0,0.3502824858757062,8.410435816826472e-05
BPCL,6028032,252,1.6358446274776541,4.889956420707637,810.0,6885.0,0.35,8.280485184950154e-05
BRITANNIA,6023552,252,3.746247898589069,5.630207942346671,42.0,352.0,0.9512195121951219,6.646983113273073e-05
CIPLA,6024192,252,2.8100938571354668,4.922081688977493,802.0,6816.0,0.5685279187817259,6.751679389405176e-05
DRREDDY,6021120,252,2.4386873358962946,4.86512455732545,802.0,6816.0,0.20725388601036268,6.385689277739587e-05
GOLDBEES,6024640,252,0.8562670183062101,2.555975871587869,11235.0,95501.0,0.20235317983568313,7.06842134168935e-05
HCLTECH,6023680,252,2.4614021377273834,4.886984413028159,810.0,6885.0,0.29396325459317585,9.124502936950745e-05
HDFCBANK,6023040,252,1.2229947472378389,3.037187321565245,808.0,6868.0,0.5723684210526315,0.00022484461834411393
HINDUNILVR,6021824,252,1.8845367867474232,4.2064182932462035,802.0,6816.0,0.35,6.879910191475703e-05
ICICIBANK,6025664,252,1.4257708073414228,3.5390337729992956,810.0,6884.0,0.3687707641196013,0.00014415063684123202
INFY,6023104,252,1.8159778813898175,4.5082512268078645,810.0,6885.0,0.75,0.00010591907134024284
ITBEES,6026240,252,3.114294612271914,6.203993510623756,193832.0,1647329.0,0.7403360384043891,6.541040020221199e-05
ITC,6026112,252,1.7860370481312915,5.329117409339602,13371.0,113657.0,0.5099049128367671,7.440294810372251e-05
JUNIORBEES,6024192,252,3.965496597859059,6.039543590404753,798.0,6784.0,0.6977401129943502,7.128626854269509e-05
KOTAKBANK,6023296,252,2.636235371530523,4.033517996749986,808.0,6870.0,0.6022727272727273,9.31038037188541e-05
LT,6021248,252,1.503406154569857,3.5468157511556373,56.0,481.0,0.45714285714285713,0.00013820021739501347
M&M,6023552,252,1.274666794133636,3.4667370519337983,50.0,424.0,0.1891891891891892,9.090938703598263e-05
MARUTI,6026816,252,2.9304888055327627,4.369443751604405,44.0,375.0,0.5,8.541818163165221e-05
NESTLEIND,6023552,252,2.7965378860960577,4.877530436661228,802.0,6817.0,0.4119601328903654,6.194153844941664e-05
NIFTYBEES,6026560,252,1.4588647552141822,3.625647540649523,798.0,6783.0,0.6209150326797386,6.694493267109788e-05
ONGC,6023360,252,2.3810969475528583,4.0281844006151335,810.0,6884.0,0.35,8.501774307934887e-05
RELIANCE,6022272,252,1.5419962683676283,3.0728869580922824,810.0,6885.0,0.44358974358974357,0.00015630038160534338
SBIN,6023360,252,1.928849561789929,3.8302069269279215,808.0,6868.0,0.35,9.333808176005327e-05
SUNPHARMA,6026304,252,2.0816203332667054,4.14542675225222,802.0,6816.0,0.2948717948717949,6.633235009106138e-05
TCS,6026496,252,1.8392622719031582,3.6555135425361587,810.0,6885.0,0.35038363171355497,0.00010046928092519239
TECHM,6020288,252,3.931596768883616,5.3053564204757215,810.0,6886.0,0.5,7.934774170661476e-05
ULTRACEMCO,6027328,252,2.5894213506421764,5.155801888312441,33.0,282.0,0.42105263157894735,7.263320683629e-05
WIPRO,6027008,252,2.2480902473344417,3.909118577527213,810.0,6885.0,0.384180790960452,8.569371121311648e-05
