symbol,category,metric,real_value,synthetic_value,synthetic_to_real_ratio,lower_ratio_gate,upper_ratio_gate,calibration_gap
ADANIPORTS,median spread scale,median_spread_bps,2.207261891623943,2.2129860789349505,1.0025933430612513,0.25,4.0,False
ADANIPORTS,tail spread scale,p90_spread_bps,3.8593258401394497,4.40100893129725,1.1403569207668216,0.25,4.0,False
ADANIPORTS,displayed L1 depth scale,median_l1_depth,131.0,806.0,6.152671755725191,0.1,10.0,False
ADANIPORTS,displayed L5 depth scale,median_l5_depth,1088.0,6851.0,6.296875,0.1,10.0,False
ADANIPORTS,L1 imbalance scale,median_abs_l1_imbalance,0.6296296296296297,0.21285140562248997,0.33805811481218995,0.25,4.0,False
ADANIPORTS,one-tick volatility scale,one_tick_return_std,0.0004411553501896,9.111124372586232e-05,0.20652870624079356,0.1,10.0,False
AXISBANK,median spread scale,median_spread_bps,1.5143484515790528,1.5166883110731175,1.0015451262169053,0.25,4.0,False
AXISBANK,tail spread scale,p90_spread_bps,3.025947499809846,3.764046952721688,1.2439234167011244,0.25,4.0,False
AXISBANK,displayed L1 depth scale,median_l1_depth,249.0,808.0,3.244979919678715,0.1,10.0,False
AXISBANK,displayed L5 depth scale,median_l5_depth,3048.0,6870.0,2.2539370078740157,0.1,10.0,False
AXISBANK,L1 imbalance scale,median_abs_l1_imbalance,0.5495978552278821,0.35,0.6368292682926828,0.25,4.0,False
AXISBANK,one-tick volatility scale,one_tick_return_std,0.0004231706657462,9.27206611434195e-05,0.21910937748938739,0.1,10.0,False
BAJAJ-AUTO,median spread scale,median_spread_bps,2.466273707056009,3.344931085556668,1.3562692072606621,0.25,4.0,False
BAJAJ-AUTO,tail spread scale,p90_spread_bps,4.374433608466025,4.895361644841513,1.1190846822700233,0.25,4.0,False
BAJAJ-AUTO,displayed L1 depth scale,median_l1_depth,61.0,52.0,0.8524590163934426,0.1,10.0,False
BAJAJ-AUTO,displayed L5 depth scale,median_l5_depth,366.0,443.0,1.210382513661202,0.1,10.0,False
