metric_family,category,metric,symbol_metrics,gap_count,gap_fraction,median_synthetic_to_real_ratio,min_synthetic_to_real_ratio,max_synthetic_to_real_ratio,evidence_source,metric_gate_pass
cadence,rewired received tick cadence,median_gap_ms,32,8,0.25,1.0,1.0,4.164668265387689,phase159_distributional_generated_cadence,1
generated_non_cadence,one-tick volatility scale,one_tick_return_std,32,4,0.125,0.19230904936492285,0.07768896531275479,0.8448610866504258,phase160_generated_phase159_parquet,1
cadence,rewired received tick cadence distribution,gap_le_1s_fraction,32,0,0.0,0.9753035221361165,0.9507689109068932,1.0166197667299652,phase159_distributional_generated_cadence,1
generated_non_cadence,L1 imbalance scale,median_abs_l1_imbalance,32,0,0.0,0.6342041078305519,0.2707338428153195,1.7548999106514838,phase160_generated_phase159_parquet,1
generated_non_cadence,displayed L1 depth scale,median_l1_depth,32,0,0.0,1.3589610170444957,0.2713362801768106,7.097345132743363,phase160_generated_phase159_parquet,1
generated_non_cadence,displayed L5 depth scale,median_l5_depth,32,0,0.0,0.9989316183500425,0.13292311310124535,6.9127789046653145,phase160_generated_phase159_parquet,1
generated_non_cadence,median spread scale,median_spread_bps,32,0,0.0,1.0049759052758307,0.7511766666397122,1.9995836610075406,phase160_generated_phase159_parquet,1
cadence,rewired tail received tick cadence,p90_gap_ms,32,0,0.0,1.0,0.5,1.0000896137646738,phase159_distributional_generated_cadence,1
generated_non_cadence,tail spread scale,p90_spread_bps,32,0,0.0,1.1364315052523195,0.9851941694870734,1.3575453629792948,phase160_generated_phase159_parquet,1
cadence,rewired tail received tick cadence,p95_gap_ms,32,0,0.0,1.0,0.9998949935246022,1.0000705766109115,phase159_distributional_generated_cadence,1
