trade_month,symbols,trade_dates,bucket_symbol_rows,source_dense_rows,min_market_symbol_count,avg_market_symbol_count,lag1_feature_coverage,bucket_ms,file_path,bytes
2026-01,32,22,6807643,16838528,1,18.774145030813163,0.9930508988206344,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-01\part-00000.parquet,402411758
2026-02,32,20,6183772,15294080,1,18.985720366145454,0.9932707738901111,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-02\part-00000.parquet,368267614
2026-03,32,22,6804137,16830272,1,18.773699441971846,0.9927458838644784,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-03\part-00000.parquet,402392705
2026-04,32,22,6802779,16824512,1,18.727793891290602,0.9926769633410111,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-04\part-00000.parquet,402639001
2026-05,32,21,6496292,16066432,1,18.873562333712833,0.9932005827324264,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-05\part-00000.parquet,385451406
2026-06,32,22,6803450,16827456,1,18.780227678604238,0.9927915983802336,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-06\part-00000.parquet,406030807
2026-07,32,23,7117635,17603968,1,18.656117516562734,0.9922854993266724,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-07\part-00000.parquet,420699750
2026-08,32,21,6492952,16064192,1,18.932592447934315,0.9930145795009727,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-08\part-00000.parquet,391752989
2026-09,32,22,6804430,16831296,1,18.798293464698734,0.9929503279481161,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-09\part-00000.parquet,406557440
2026-10,32,22,6808479,16838272,1,18.75057277844288,0.9927214286773889,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-10\part-00000.parquet,402174543
2026-11,32,21,6493869,16062272,1,18.883134076157063,0.993163859634372,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-11\part-00000.parquet,388232188
2026-12,32,14,4328777,10705536,1,19.711759926649027,0.9949410653401642,5000,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache\trade_month=2026-12\part-00000.parquet,259092853
