trade_month,symbol,source_rows,dense_rows,multiplier,file_path,bytes
2026-01,ADANIPORTS,8221,65768,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,2768386
2026-01,AXISBANK,8225,65800,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,2767473
2026-01,BAJAJ-AUTO,8221,65768,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,2342861
2026-01,BANKBEES,8216,65728,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,2392107
2026-01,BHARTIARTL,8229,65832,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,2484165
2026-01,BPCL,8228,65824,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=BPCL\part-00000.parquet,2599301
2026-01,BRITANNIA,8228,65824,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,2768814
2026-01,CIPLA,8216,65728,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,2580085
2026-01,DRREDDY,8218,65744,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=DRREDDY\part-00000.parquet,2733018
2026-01,GOLDBEES,8222,65776,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=GOLDBEES\part-00000.parquet,2780820
2026-01,HCLTECH,8218,65744,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet,2390621
2026-01,HDFCBANK,8220,65760,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,2424039
2026-01,HINDUNILVR,8207,65656,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=HINDUNILVR\part-00000.parquet,2744298
2026-01,ICICIBANK,8219,65752,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=ICICIBANK\part-00000.parquet,2417161
2026-01,INFY,8225,65800,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=INFY\part-00000.parquet,2416800
2026-01,ITBEES,8225,65800,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=ITBEES\part-00000.parquet,2710767
2026-01,ITC,8227,65816,8,raw_synthetic_l2_phase108_symbol_aware_generator_overrides\profile=P108_SYMBOL_AWARE_CADENCE_DEPTH_IMBALANCE\trade_month=2026-01\symbol=ITC\part-00000.parquet,2659549
