symbol,rows,months,dates,regimes,feed_profiles,market_shock_row_fraction,symbol_shock_row_fraction,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
ADANIPORTS,753000,12,252,18,5,0.12688446215139443,0.24562018592297477,500.0,439477.0,439577.0,0.875,2.2129860789349505,4.40100893129725,806.0,6851.0,0.21285140562248997,0.00012959971462430747
AXISBANK,753176,12,252,18,5,0.12691854227962654,0.0,500.0,305453.0,305553.0,0.875,1.5166883110731175,3.764046952721688,808.0,6870.0,0.09009009009009009,0.00012102563493712421
BAJAJ-AUTO,753232,12,252,18,5,0.12663296301803428,0.21790895766510185,500.0,692.0,792.0,0.9922228476750855,3.344931085556668,4.895361644841513,52.0,443.0,0.9512195121951219,0.00012123672577868084
BANKBEES,753072,12,252,18,5,0.12660675207682665,0.17024666964114984,500.0,692.0,792.0,0.9921269148235494,3.82299722317458,5.861777609182269,800.0,6800.0,0.32792207792207795,0.0001056741829357451
BHARTIARTL,753768,12,252,18,5,0.1268613154180066,0.1504972352235701,500.0,3949.0,4049.0,0.8763372814977552,1.5769347017619852,3.6575919198571736,806.0,6851.0,0.3190883190883191,0.00012018861265523139
BPCL,753504,12,252,18,5,0.12693761413343527,0.13459251709347264,500.0,448824.0,448924.0,0.875,1.6358446274776541,4.889956420707637,810.0,6885.0,0.21122112211221122,0.00012968616350882449
BRITANNIA,752944,12,252,18,5,0.1267770245861578,0.09897150385686054,500.0,450023.0,450123.0,0.875,3.746247898589069,5.630207942346671,42.0,352.0,0.9512195121951219,0.00010393536364813798
CIPLA,753024,12,252,18,5,0.12665731769505353,0.08306773754886962,500.0,447132.0,447232.0,0.875,2.8100938571354668,4.922081688977493,802.0,6816.0,0.5685279187817259,0.0001038905887669157
DRREDDY,752640,12,252,18,5,0.1267325680272109,0.08319515306122449,500.0,446827.0,446927.0,0.875,2.4386873358962946,4.86512455732545,802.0,6816.0,0.20725388601036268,0.00010033423109760238
GOLDBEES,753080,12,252,18,5,0.12648855367291656,0.07107876985180857,500.0,439314.0,439414.0,0.875,0.8562670183062101,2.5559758715878687,11235.0,95501.0,0.20235317983568313,0.000103334991037727
