candidate_id,feature_id,feature_family,execution_profile,horizon_events,threshold_quantile,trades,mean_gross_return,mean_cost_return,mean_net_return,best_baseline_mean_net_return,net_return_lift_vs_best_baseline,positive_after_costs,beats_best_baseline_proxy,enough_trades_for_edge
F03_l1_imbalance_h3_q50,F03_l1_imbalance,top_of_book_imbalance,zero_latency_spread_only_control,3,0.5,8227,8.551915155650256e-05,0.0003517714225544894,-0.0002662522709979868,-0.0004731718811567,0.00020691961015871318,False,True,True
F03_l1_imbalance_h2_q50,F03_l1_imbalance,top_of_book_imbalance,zero_latency_spread_only_control,2,0.5,8340,7.486339338276041e-05,0.0003518115074694028,-0.0002769481140866424,-0.0004731718811567,0.00019622376707005763,False,True,True
F03_l1_imbalance_h5_q50,F03_l1_imbalance,top_of_book_imbalance,zero_latency_spread_only_control,5,0.5,7992,7.239104485548612e-05,0.00035182508118592685,-0.0002794340363304408,-0.0004731718811567,0.00019373784482625922,False,True,True
F02_mlofi_qty_event_h2_q50,F02_mlofi_qty_event,order_flow_imbalance,zero_latency_spread_only_control,2,0.5,9283,-2.1713324135212208e-05,0.00028002147097688193,-0.0003017347951120941,-0.0004731718811567,0.00017143708604460588,False,True,True
F03_l1_imbalance_h1_q50,F03_l1_imbalance,top_of_book_imbalance,zero_latency_spread_only_control,1,0.5,8453,3.21786423249089e-05,0.00035195052708703533,-0.0003197718847621264,-0.0004731718811567,0.0001533999963945736,False,True,True
F05_microprice_dev_h3_q50,F05_microprice_dev,microprice_pressure,zero_latency_spread_only_control,3,0.5,7103,8.371959370200984e-05,0.0004101170542026026,-0.00032639746050059276,-0.0004731718811567,0.00014677442065610724,False,True,True
F05_microprice_dev_h5_q50,F05_microprice_dev,microprice_pressure,zero_latency_spread_only_control,5,0.5,6891,7.61913487870026e-05,0.0004106417149152611,-0.0003344503661282585,-0.0004731718811567,0.00013872151502844151,False,True,True
F02_mlofi_qty_event_h1_q50,F02_mlofi_qty_event,order_flow_imbalance,zero_latency_spread_only_control,1,0.5,9405,-6.09688725823696e-05,0.0002798988175198785,-0.0003408676901022481,-0.0004731718811567,0.0001323041910544519,False,True,True
F02_mlofi_qty_event_h5_q50,F02_mlofi_qty_event,order_flow_imbalance,zero_latency_spread_only_control,5,0.5,8885,-6.058420823322405e-05,0.0002804474333652385,-0.00034103164159846256,-0.0004731718811567,0.00013214023955823744,False,True,True
F05_microprice_dev_h2_q50,F05_microprice_dev,microprice_pressure,zero_latency_spread_only_control,2,0.5,7204,6.72621955668414e-05,0.00041000887600570846,-0.00034274668043886704,-0.0004731718811567,0.00013042520071783296,False,True,True
F02_mlofi_qty_event_h3_q50,F02_mlofi_qty_event,order_flow_imbalance,zero_latency_spread_only_control,3,0.5,9136,-6.562045474705587e-05,0.0002801409793435183,-0.0003457614340905741,-0.0004731718811567,0.00012741044706612587,False,True,True
F06_l5_mean_reversion_h5_q50,F06_l5_mean_reversion,depth_mean_reversion,zero_latency_spread_only_control,5,0.5,6904,6.364621031623374e-05,0.000410894096758807,-0.0003472478864425733,-0.0004731718811567,0.00012592399471412672,False,True,True
F06_l5_mean_reversion_h1_q50,F06_l5_mean_reversion,depth_mean_reversion,zero_latency_spread_only_control,1,0.5,7304,2.9645204639280054e-05,0.00041097903845672073,-0.0003813338338174407,-0.0004731718811567,9.183804733925931e-05,False,True,True
