candidate_id,feature_id,feature_family,feature_column,polarity,horizon_events,threshold_quantile,threshold_value,candidate_scope
F01_momentum_3_event_h1_q50,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,1,0.5,0.0018435430827534738,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h1_q70,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,1,0.7,0.0030611802670067133,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h1_q85,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,1,0.85,0.004476121385521572,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h1_q95,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,1,0.95,0.006659008509244835,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h2_q50,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,2,0.5,0.0018435430827534738,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h2_q70,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,2,0.7,0.0030611802670067133,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h2_q85,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,2,0.85,0.004476121385521572,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h2_q95,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,2,0.95,0.006659008509244835,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h3_q50,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,3,0.5,0.0018435430827534738,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h3_q70,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,3,0.7,0.0030611802670067133,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h3_q85,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,3,0.85,0.004476121385521572,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h3_q95,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,3,0.95,0.006659008509244835,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h5_q50,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,5,0.5,0.0018435430827534738,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h5_q70,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,5,0.7,0.0030611802670067133,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h5_q85,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,5,0.85,0.004476121385521572,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F01_momentum_3_event_h5_q95,F01_momentum_3_event,short_horizon_momentum,momentum_3_event,1,5,0.95,0.006659008509244835,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h1_q50,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,1,0.5,1.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h1_q70,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,1,0.7,2.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h1_q85,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,1,0.85,4.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h1_q95,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,1,0.95,6.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
