feature_family,execution_profile,candidate_rows,positive_after_cost_rows,realistic_cost_clearing_rows,zero_latency_edge_control_rows,max_mean_net_return,max_cost_hurdle_ratio,median_trades
depth_imbalance,retail_marketable_default,16,0,0,0,-0.0013402228975835958,0.09050544784425066,3006.0
depth_imbalance,stressed_retail,16,0,0,0,-0.0015539391239390856,0.05457930964534836,2918.5
depth_imbalance,zero_latency_spread_only_control,16,0,0,0,-0.0004200720662332096,0.2550763807265563,3162.0
depth_mean_reversion,retail_marketable_default,16,0,0,0,-0.0012632733929256977,0.135285080439872,3006.0
depth_mean_reversion,stressed_retail,16,0,0,0,-0.0014080988207829262,0.1507245775467006,2918.5
depth_mean_reversion,zero_latency_spread_only_control,16,0,0,0,-0.0003472478864425733,0.3042902145764297,3162.0
microprice_pressure,retail_marketable_default,16,0,0,0,-0.0012936804044472287,0.030094872446081392,2985.5
microprice_pressure,stressed_retail,16,0,0,0,-0.001516762668000169,0.01076366635250037,2894.0
microprice_pressure,zero_latency_spread_only_control,16,0,0,0,-0.00032639746050059276,0.20413585059218578,3152.0
order_flow_imbalance,retail_marketable_default,16,0,0,0,-0.0011738925609701756,0.06290813207507168,3624.5
order_flow_imbalance,stressed_retail,16,0,0,0,-0.0013306705246354565,0.07953059266821887,3506.0
order_flow_imbalance,zero_latency_spread_only_control,16,0,0,0,-0.0003017347951120941,-0.07754164014446172,3823.5
short_horizon_momentum,retail_marketable_default,16,0,0,0,-0.0009260385819061243,0.15116341223125526,2949.5
short_horizon_momentum,stressed_retail,16,0,0,0,-0.0012207242617408944,0.0419652255105997,2811.0
short_horizon_momentum,zero_latency_spread_only_control,16,0,0,0,-0.0005015806439325541,-1.447268230591611,3145.0
top_of_book_imbalance,retail_marketable_default,16,0,0,0,-0.001237402740107058,0.08280804364229699,3027.5
top_of_book_imbalance,stressed_retail,16,0,0,0,-0.0014483480360822525,0.020083560610198104,2940.5
top_of_book_imbalance,zero_latency_spread_only_control,16,0,0,0,-0.0002662522709979868,0.2431100028975652,3187.5
top_of_book_mean_reversion,retail_marketable_default,16,0,0,0,-0.0012707644923066579,0.12144463305601744,3027.5
top_of_book_mean_reversion,stressed_retail,16,0,0,0,-0.0014364627655709102,0.14700562309108214,2940.5
top_of_book_mean_reversion,zero_latency_spread_only_control,16,0,0,0,-0.00038412916941194425,0.3186131295869564,3187.5
