model_id,model_type,execution_profile,trades,symbols,scenario_days,mean_gross_return,mean_cost_return,mean_zerodha_charge_return,mean_net_return,win_rate_net,total_net_pnl_inr,market_shock_trade_fraction,disconnect_trade_fraction,acceptance_ready,replay_status,feature_id,feature_family,horizon_events,threshold_quantile
F03_l1_imbalance_h3_q50,feature_edge_candidate,zero_latency_spread_only_control,8227,4,8,8.551915155650256e-05,0.0003517714225544894,0.0,-0.0002662522709979868,0.43843442324054943,-219045.74335004378,0.11753980794943479,0.0,False,event_order_replay_not_acceptance,F03_l1_imbalance,top_of_book_imbalance,3,0.5
F03_l1_imbalance_h2_q50,feature_edge_candidate,zero_latency_spread_only_control,8340,4,8,7.486339338276041e-05,0.0003518115074694028,0.0,-0.0002769481140866424,0.43201438848920864,-230974.72714825976,0.11726618705035971,0.0,False,event_order_replay_not_acceptance,F03_l1_imbalance,top_of_book_imbalance,2,0.5
F03_l1_imbalance_h5_q50,feature_edge_candidate,zero_latency_spread_only_control,7992,4,8,7.239104485548612e-05,0.00035182508118592685,0.0,-0.0002794340363304408,0.456956956956957,-223323.68183528827,0.11736736736736737,0.0,False,event_order_replay_not_acceptance,F03_l1_imbalance,top_of_book_imbalance,5,0.5
F02_mlofi_qty_event_h2_q50,feature_edge_candidate,zero_latency_spread_only_control,9283,5,8,-2.1713324135212208e-05,0.00028002147097688193,0.0,-0.0003017347951120941,0.43714316492513194,-280100.410302557,0.1365937735645804,0.0,False,event_order_replay_not_acceptance,F02_mlofi_qty_event,order_flow_imbalance,2,0.5
F03_l1_imbalance_h1_q50,feature_edge_candidate,zero_latency_spread_only_control,8453,4,8,3.21786423249089e-05,0.00035195052708703533,0.0,-0.0003197718847621264,0.4141724831420797,-270303.1741894255,0.11747308647817344,0.0,False,event_order_replay_not_acceptance,F03_l1_imbalance,top_of_book_imbalance,1,0.5
F05_microprice_dev_h3_q50,feature_edge_candidate,zero_latency_spread_only_control,7103,5,8,8.371959370200984e-05,0.0004101170542026026,0.0,-0.00032639746050059276,0.434182739687456,-231840.11619357104,0.2351119245389272,0.0,False,event_order_replay_not_acceptance,F05_microprice_dev,microprice_pressure,3,0.5
F05_microprice_dev_h5_q50,feature_edge_candidate,zero_latency_spread_only_control,6891,5,8,7.61913487870026e-05,0.0004106417149152611,0.0,-0.0003344503661282585,0.4523291249455812,-230469.7472989829,0.23523436366274852,0.0,False,event_order_replay_not_acceptance,F05_microprice_dev,microprice_pressure,5,0.5
F02_mlofi_qty_event_h1_q50,feature_edge_candidate,zero_latency_spread_only_control,9405,5,8,-6.09688725823696e-05,0.0002798988175198785,0.0,-0.0003408676901022481,0.42094630515683146,-320586.06254116434,0.13705475810738968,0.0,False,event_order_replay_not_acceptance,F02_mlofi_qty_event,order_flow_imbalance,1,0.5
F02_mlofi_qty_event_h5_q50,feature_edge_candidate,zero_latency_spread_only_control,8885,5,8,-6.058420823322405e-05,0.0002804474333652385,0.0,-0.00034103164159846256,0.45312324141812044,-303006.61356023396,0.13719752391671355,0.0,False,event_order_replay_not_acceptance,F02_mlofi_qty_event,order_flow_imbalance,5,0.5
F05_microprice_dev_h2_q50,feature_edge_candidate,zero_latency_spread_only_control,7204,5,8,6.72621955668414e-05,0.00041000887600570846,0.0,-0.00034274668043886704,0.42351471404775126,-246914.70858815985,0.2347307051637979,0.0,False,event_order_replay_not_acceptance,F05_microprice_dev,microprice_pressure,2,0.5
