panel,scenario_id,scenario_grid_id,cancel_latency_ms,decide_latency_ms,move_threshold_spread_fraction,quote_side_rows,cancel_attempted_rows,cancel_succeeded_rows,cancel_lost_race_rows,completed_round_trips,trade_dates,symbols,positive_date_fraction,net_pnl_inr,annualized_return_pct,above12,event_floor_met,date_breadth_met,symbol_breadth_met,positive_date_fraction_met,cost200_acceptance_survivor,avg_effective_cancel_latency_ms,avg_lost_race_net_pnl_inr
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,150,10,0.25,36,14,1,13,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,151.14485916910195,-259.61359184150905
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p5_J40720260817,P407_C150_D10_M0p5_J40720260817,150,10,0.5,36,11,1,10,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,141.13493302703435,-294.3307150737618
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p75_J40720260817,P407_C150_D10_M0p75_J40720260817,150,10,0.75,36,9,1,8,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,147.48710894657884,-322.4280395301272
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D20_M0p25_J40720260817,P407_C150_D20_M0p25_J40720260817,150,20,0.25,36,14,1,13,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,147.96565828287717,-259.61359184150905
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D20_M0p5_J40720260817,P407_C150_D20_M0p5_J40720260817,150,20,0.5,36,11,1,10,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,150.3539593561416,-294.3307150737618
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D20_M0p75_J40720260817,P407_C150_D20_M0p75_J40720260817,150,20,0.75,36,9,1,8,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,147.9946666800548,-322.4280395301272
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D50_M0p25_J40720260817,P407_C150_D50_M0p25_J40720260817,150,50,0.25,36,14,1,13,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,149.06238168522023,-259.61359184150905
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D50_M0p5_J40720260817,P407_C150_D50_M0p5_J40720260817,150,50,0.5,36,11,1,10,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,147.39964472108548,-294.3307150737618
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D50_M0p75_J40720260817,P407_C150_D50_M0p75_J40720260817,150,50,0.75,36,9,1,8,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,145.8622290934954,-322.4280395301272
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C250_D10_M0p25_J40720260817,P407_C250_D10_M0p25_J40720260817,250,10,0.25,36,14,1,13,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,243.1343937571998,-259.61359184150905
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C250_D10_M0p5_J40720260817,P407_C250_D10_M0p5_J40720260817,250,10,0.5,36,11,1,10,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,249.28937999345487,-294.3307150737618
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C250_D10_M0p75_J40720260817,P407_C250_D10_M0p75_J40720260817,250,10,0.75,36,9,1,8,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,249.02257187523162,-322.4280395301272
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C250_D20_M0p25_J40720260817,P407_C250_D20_M0p25_J40720260817,250,20,0.25,36,14,1,13,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,247.00241486980252,-259.61359184150905
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C250_D20_M0p5_J40720260817,P407_C250_D20_M0p5_J40720260817,250,20,0.5,36,11,1,10,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,252.4733590890986,-294.3307150737618
real_anchor_reserved,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C250_D20_M0p75_J40720260817,P407_C250_D20_M0p75_J40720260817,250,20,0.75,36,9,1,8,32,1,3,0.0,-6273.615246657831,-158.09510421577735,0,1,0,1,0,0,246.5236012657168,-322.4280395301272
