gate_id,passed,observed_value,required_value,severity
MM_INPUTS_VALIDATED,True,synthetic_scenarios=45;real_scenarios=45,>0,hard
MM_TICK_LOOP_PRESENT,True,per_tick_window_loop,present,hard
MM_CANCEL_RACE_APPLIED,True,cancel_attempted;succeeded;lost_race,logged,hard
MM_LATENCY_HONEST,True,150,>=150,hard
MM_NO_REBATE_ASSUMED,True,maker_rebate=0,0,hard
MM_TWO_SIDED_REQUIRED,True,bid_and_ask_quoted_each_window,required,hard
MM_FULL_DEPTH_L2_L5,True,l2_l5_signal_abs_filter,required,hard
MM_NO_LOOKAHEAD,True,ticks_sorted_exchange_timestamp_and_forward_loop,required,hard
MM_COST200_SCORING,True,cost_multiplier=2.0;capital=1000000.0;notional=100000.0,cost200_fixed_capital,hard
MM_EVENT_FLOOR,True,152,>=30,hard
MM_DATE_BREADTH,True,5,>=5,hard
MM_SYMBOL_BREADTH,True,5,>=3,hard
MM_POSITIVE_DATE_FRACTION,False,0.0,>=0.6,hard
MM_ANNUALIZED_FLOOR,False,-238.90499922900443,>=12.0,hard
MM_NO_RANK_REVERSAL,True,1,1,hard
MM_LATENCY_MONOTONICITY,False,0,1,hard
MM_REAL_ANCHOR_CROSS_CHECK,True,1,1,hard
MM_BOUNDARIES_CLOSED,True,replay=0;promotion=0;paper=0;claim=0,all_zero,hard
