panel,scenario_id,scenario_grid_id,trade_date,symbol,quote_id,side,cancel_latency_ms,decide_latency_ms,move_threshold_spread_fraction,l2_l5_signal,top5_churn,filled,fill_ts,fill_price,cancel_attempted,cancel_succeeded,cancel_lost_race,effective_cancel_latency_ms
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_750,bid,150,10,0.25,0.026899001860937237,0.035303776683087026,1,1784021059.0,1318.3,1,0,1,158.931285310991
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_750,ask,150,10,0.25,0.026899001860937237,0.035303776683087026,1,1784021058.0,1318.5,1,0,1,149.57797211611913
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1000,bid,150,10,0.25,0.034216867469879515,0.03530564263322884,1,1784021142.0,1322.1,1,0,1,157.25208080501105
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1000,ask,150,10,0.25,0.034216867469879515,0.03530564263322884,0,0.0,0.0,0,0,0,0.0
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1500,bid,150,10,0.25,0.026899001860937237,0.035303776683087026,1,1784021309.0,1318.3,1,0,1,177.38223623442482
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1500,ask,150,10,0.25,0.026899001860937237,0.035303776683087026,1,1784021308.0,1318.5,1,0,1,150.97012560896744
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1750,bid,150,10,0.25,0.034216867469879515,0.03530564263322884,1,1784021392.0,1322.1,1,0,1,172.01825370748873
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1750,ask,150,10,0.25,0.034216867469879515,0.03530564263322884,0,0.0,0.0,0,0,0,0.0
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_5000,bid,150,10,0.25,0.03967043027158987,0.03860853986264556,1,1784022046.0,1328.1,1,0,1,164.90027292545594
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_5000,ask,150,10,0.25,0.03967043027158987,0.03860853986264556,1,1784022046.0,1328.3,1,0,1,153.03625384322257
