panel,scenario_id,scenario_grid_id,trade_date,symbol,quote_id,side,cancel_latency_ms,decide_latency_ms,move_threshold_spread_fraction,quote_post_ts,fill_ts,exit_ts,quote_price,exit_bid,exit_ask,quantity,l2_l5_signal,top5_churn,cancel_lost_race,effective_cancel_latency_ms,cost_model_version,buy_value_inr,sell_value_inr,gross_pnl_inr,cost200_inr,net_pnl_inr
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_750,bid,150,10,0.25,1784021058.0,1784021059.0,1784021084.0,1318.3,1322.1,1322.3,75,0.026899001860937237,0.035303776683087026,1,158.931285310991,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,98872.5,99157.5,285.0,165.14737036000002,119.85262963999998
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_750,ask,150,10,0.25,1784021058.0,1784021058.0,1784021084.0,1318.5,1322.1,1322.3,75,0.026899001860937237,0.035303776683087026,1,149.57797211611913,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99172.5,98887.5,-285.0,165.16761472000002,-450.16761472
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1000,bid,150,10,0.25,1784021141.0,1784021142.0,1784021168.0,1322.1,1316.5,1316.7,75,0.034216867469879515,0.03530564263322884,1,157.25208080501105,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99157.5,98737.5,-420.0,165.15437074000002,-585.15437074
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1500,bid,150,10,0.25,1784021308.0,1784021309.0,1784021334.0,1318.3,1322.1,1322.3,75,0.026899001860937237,0.035303776683087026,1,177.38223623442482,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,98872.5,99157.5,285.0,165.14737036000002,119.85262963999998
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1500,ask,150,10,0.25,1784021308.0,1784021308.0,1784021334.0,1318.5,1322.1,1322.3,75,0.026899001860937237,0.035303776683087026,1,150.97012560896744,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99172.5,98887.5,-285.0,165.16761472000002,-450.16761472
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_1750,bid,150,10,0.25,1784021391.0,1784021392.0,1784021418.0,1322.1,1316.5,1316.7,75,0.034216867469879515,0.03530564263322884,1,172.01825370748873,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99157.5,98737.5,-420.0,165.15437074000002,-585.15437074
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_5000,bid,150,10,0.25,1784022046.0,1784022046.0,1784022057.0,1328.1,1327.9,1328.1,75,0.03967043027158987,0.03860853986264556,1,164.90027292545594,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99607.5,99592.5,-15.0,165.27900040000003,-180.27900040000003
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_5000,ask,150,10,0.25,1784022046.0,1784022046.0,1784022057.0,1328.3,1327.9,1328.1,75,0.03967043027158987,0.03860853986264556,1,153.03625384322257,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99607.5,99622.5,15.0,165.28124476,-150.28124476
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_5250,bid,150,10,0.25,1784022082.0,1784022083.0,1784022093.0,1318.3,1328.1,1328.3,75,0.026899001860937237,0.03835286652732159,1,141.78295816069743,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,98872.5,99607.5,735.0,165.18103576000001,569.81896424
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,AXISBANK,synthetic_dense_2026-01-01_AXISBANK_5250,ask,150,10,0.25,1784022082.0,1784022082.0,1784022093.0,1318.5,1328.1,1328.3,75,0.026899001860937237,0.03835286652732159,1,160.20320127069564,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99622.5,98887.5,-735.0,165.22828012,-900.22828012
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,HDFCBANK,synthetic_dense_2026-01-01_HDFCBANK_0,ask,150,10,0.25,1784020424.0,1784020475.0,1784020489.0,815.65,815.55,815.65,122,-0.5782178217821782,0.012128712871287129,1,139.68209187193534,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99509.3,99509.3,0.0,165.25953750320002,-165.25953750320002
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,HDFCBANK,synthetic_dense_2026-01-01_HDFCBANK_250,bid,150,10,0.25,1784020574.0,1784020575.0,1784020614.0,816.45,815.55,815.65,122,-0.5695726495726495,0.03482367758186398,1,141.0399774104573,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99606.90000000001,99497.09999999999,-109.80000000001746,165.271782448,-275.0717824480175
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,HDFCBANK,synthetic_dense_2026-01-01_HDFCBANK_500,bid,150,10,0.25,1784020699.0,1784020700.0,1784020739.0,816.45,815.55,815.65,122,-0.5695726495726495,0.03482367758186398,1,136.80097288452816,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99606.90000000001,99497.09999999999,-109.80000000001746,165.271782448,-275.0717824480175
synthetic_dense,P408_P408_TWO_SIDED_TOP5_L2_L5_CHURN_QUOTER_P407_C150_D10_M0p25_J40720260817,P407_C150_D10_M0p25_J40720260817,2026-01-01,HDFCBANK,synthetic_dense_2026-01-01_HDFCBANK_750,bid,150,10,0.25,1784020824.0,1784020825.0,1784020864.0,816.45,815.55,815.65,122,-0.5695726495726495,0.03482367758186398,1,152.85396387722545,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,99606.90000000001,99497.09999999999,-109.80000000001746,165.271782448,-275.0717824480175
