decision_id,decision_value,evidence,status
selected_verdict,P442_EXTERNAL_CATALYST_REVERSAL_REJECTED_CONTROLS_FAVOR_SIDE_FLIP,External catalyst plus full-depth reversal achieved breadth but failed profitability and controls; side flip was much better.,terminal_for_reversal_form
phase441_next_action_matched,interpret_phase441_external_catalyst_full_depth_confirmation_no_paper_live,Phase442 implements the Phase441 next-action string.,basis
source_event_rows,246,Source event floor was available.,evidence
best_scenario_id,P441_catalyst_reversal_H600_exhaustion_C3,Best frozen reversal scenario.,evidence
best_round_trips,33,Event floor was met.,evidence
best_trade_dates,12,Date breadth was met.,evidence
best_symbols,19,Symbol breadth was met.,evidence
best_net_pnl_inr,-11979.591007769564,Negative after cost200.,failure
best_annualized_return_pct,-25.157141116316083,Failed 12 percent annualized floor.,failure
best_positive_date_fraction,0.0833333333333333,Failed positive-date fraction.,failure
side_flip_annualized_return_pct,-1.827100096946565,Side flip was better than primary.,control_failure
l1_only_annualized_return_pct,-14.578940327140774,L1-only was also better than primary.,control_failure
phase441_failed_hard_gates,P441_L1_ONLY_CONTROL;P441_SIDE_FLIP_CONTROL_NOT_DOMINANT;P441_TIME_SHIFT_CONTROL_NOT_DOMINANT;P441_POSITIVE_DATE_FRACTION;P441_ANNUALIZED_FLOOR,Explicit failed gate basis.,basis
strategy_promotion_allowed,0,No accepted survivor.,closed
paper_or_live_acceptance_allowed,0,No paper/live acceptance.,closed
deployable_profitability_claim_allowed,0,No deployable claim.,closed
same_reversal_rescue_allowed,0,Do not tune this same reversal form after seeing controls.,closed
side_flip_as_new_precommit_allowed,1,Continuation/side-flip may be tested only as a new precommitted source.,next
next_action,precommit_external_catalyst_continuation_or_pause_strategy_search,"Precommit catalyst continuation/side-flip as a new source, or pause.",next
