scenario_id,family_id,direction_mode,early_window_ticks,hold_ticks,entry_delay_ticks,max_trades_per_symbol_date,cost_multiplier,order_notional_inr
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,with_early_full_depth_pressure,120,1200,5,1,2.0,100000.0
P438_depth_regime_carry_E120_H2400_D5,depth_regime_carry,with_early_full_depth_pressure,120,2400,5,1,2.0,100000.0
P438_depth_regime_carry_E120_H3600_D5,depth_regime_carry,with_early_full_depth_pressure,120,3600,5,1,2.0,100000.0
P438_depth_regime_carry_E240_H1200_D5,depth_regime_carry,with_early_full_depth_pressure,240,1200,5,1,2.0,100000.0
P438_depth_regime_carry_E240_H2400_D5,depth_regime_carry,with_early_full_depth_pressure,240,2400,5,1,2.0,100000.0
P438_depth_regime_carry_E240_H3600_D5,depth_regime_carry,with_early_full_depth_pressure,240,3600,5,1,2.0,100000.0
P438_depth_regime_carry_E480_H1200_D5,depth_regime_carry,with_early_full_depth_pressure,480,1200,5,1,2.0,100000.0
P438_depth_regime_carry_E480_H2400_D5,depth_regime_carry,with_early_full_depth_pressure,480,2400,5,1,2.0,100000.0
P438_depth_regime_carry_E480_H3600_D5,depth_regime_carry,with_early_full_depth_pressure,480,3600,5,1,2.0,100000.0
P438_depth_regime_snapback_E120_H1200_D5,depth_regime_snapback,against_early_full_depth_pressure,120,1200,5,1,2.0,100000.0
P438_depth_regime_snapback_E120_H2400_D5,depth_regime_snapback,against_early_full_depth_pressure,120,2400,5,1,2.0,100000.0
P438_depth_regime_snapback_E120_H3600_D5,depth_regime_snapback,against_early_full_depth_pressure,120,3600,5,1,2.0,100000.0
P438_depth_regime_snapback_E240_H1200_D5,depth_regime_snapback,against_early_full_depth_pressure,240,1200,5,1,2.0,100000.0
P438_depth_regime_snapback_E240_H2400_D5,depth_regime_snapback,against_early_full_depth_pressure,240,2400,5,1,2.0,100000.0
P438_depth_regime_snapback_E240_H3600_D5,depth_regime_snapback,against_early_full_depth_pressure,240,3600,5,1,2.0,100000.0
P438_depth_regime_snapback_E480_H1200_D5,depth_regime_snapback,against_early_full_depth_pressure,480,1200,5,1,2.0,100000.0
P438_depth_regime_snapback_E480_H2400_D5,depth_regime_snapback,against_early_full_depth_pressure,480,2400,5,1,2.0,100000.0
P438_depth_regime_snapback_E480_H3600_D5,depth_regime_snapback,against_early_full_depth_pressure,480,3600,5,1,2.0,100000.0
