contract_id,contract_value,description
phase467_thesis_id,P467_RICHER_PAST_ONLY_L1_L5_FEATURE_MATRIX_PRECOMMIT,Precommit thesis
source_phase,phase462_phase463_distributional_label_source,Use same selected replacement source
input_dense_root,raw_synthetic_l2_phase162_distributional_full_year,Dense root
input_profile_id,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,Profile id
selected_file_count,21,Selected files
selected_file_hash,14b16054c17f688680c32b4a378e7f74ee7e7c6b9ccc3cac0f627d9545a19315,Selected files hash
required_schema_column_count,39,Required raw columns
lookback_ticks,20,Past-only lookback
entry_index,20,Entry row
horizon_ticks,240,Forward label horizon retained for labels only
min_abs_forward_move_bps,2.0,Move label floor
allowed_features,recent_mid_return_bps;spread_bps;l1_imbalance;l25_imbalance;volume_delta_lookback;l1_l5_bid_depth_slope;l1_l5_ask_depth_slope;l1_l5_depth_concentration;l25_order_imbalance;ofi_l1_lookback;ofi_l25_lookback;l25_replenishment_events;l25_withdrawal_events;microprice_l1_minus_mid_bps;microprice_l25_minus_mid_bps;spread_change_lookback_bps;spread_mean_lookback_bps;trade_qty_sum_lookback;trade_qty_accel_lookback;minute_of_day,Allowed richer features
l2_l5_feature_count,9,Features using levels 2-5
forbidden_feature_columns,forward_return_bps;abs_forward_return_bps;label_side;move_candidate;exit_price;exit_row,Future/label columns forbidden as predictors
feature_contract_hash,ed5cfad137c17ad74a6c12256000a47fb6cc4c642eeed3d36fc1976a8d151793,Feature contract hash
schema_evidence_hash,803e8f5e7e476aa7a3c7c1543f6a09ea981425d7dd96fd7a74011104bf4d0f41,Schema evidence hash
phase468_allowed_next,1,Allows matrix materialization only
model_fit_allowed,0,No model fit in Phase467/468
strategy_pnl_allowed,0,No strategy P&L
strategy_promotion_allowed,0,No promotion
paper_or_live_acceptance_allowed,0,No paper/live
deployable_profitability_claim_allowed,0,No deployable claim
