feature_name,feature_family,timestamp_rule,description,uses_l2_l5_depth,allowed_as_model_input
recent_mid_return_bps,base,computed only from rows <= entry row inside each candidate window,mid return from lookback start to entry,0,1
spread_bps,base,computed only from rows <= entry row inside each candidate window,entry best ask minus best bid in bps,0,1
l1_imbalance,base,computed only from rows <= entry row inside each candidate window,entry level-1 quantity imbalance,0,1
l25_imbalance,base,computed only from rows <= entry row inside each candidate window,entry levels 2-5 quantity imbalance,1,1
volume_delta_lookback,base,computed only from rows <= entry row inside each candidate window,entry volume minus lookback-start volume,0,1
l1_l5_bid_depth_slope,depth_curve_shape,computed only from rows <= entry row inside each candidate window,entry bid quantity slope over levels 1-5,1,1
l1_l5_ask_depth_slope,depth_curve_shape,computed only from rows <= entry row inside each candidate window,entry ask quantity slope over levels 1-5,1,1
l1_l5_depth_concentration,depth_curve_shape,computed only from rows <= entry row inside each candidate window,entry L1 depth share of total L1-L5 depth,1,1
l25_order_imbalance,depth_curve_shape,computed only from rows <= entry row inside each candidate window,entry levels 2-5 order-count imbalance,1,1
ofi_l1_lookback,ofi_and_depth_churn,computed only from rows <= entry row inside each candidate window,signed L1 quantity change over lookback,0,1
ofi_l25_lookback,ofi_and_depth_churn,computed only from rows <= entry row inside each candidate window,signed levels 2-5 quantity change over lookback,1,1
l25_replenishment_events,ofi_and_depth_churn,computed only from rows <= entry row inside each candidate window,count of positive levels 2-5 depth changes before entry,1,1
l25_withdrawal_events,ofi_and_depth_churn,computed only from rows <= entry row inside each candidate window,count of negative levels 2-5 depth changes before entry,1,1
microprice_l1_minus_mid_bps,microprice_pressure,computed only from rows <= entry row inside each candidate window,L1 microprice displacement from mid at entry,0,1
microprice_l25_minus_mid_bps,microprice_pressure,computed only from rows <= entry row inside each candidate window,levels 2-5 microprice displacement from mid at entry,1,1
spread_change_lookback_bps,spread_regime_context,computed only from rows <= entry row inside each candidate window,entry spread minus lookback-start spread,0,1
spread_mean_lookback_bps,spread_regime_context,computed only from rows <= entry row inside each candidate window,mean spread over past-only lookback,0,1
trade_qty_sum_lookback,volume_acceleration,computed only from rows <= entry row inside each candidate window,sum last_traded_quantity over lookback,0,1
trade_qty_accel_lookback,volume_acceleration,computed only from rows <= entry row inside each candidate window,second-half minus first-half traded quantity over lookback,0,1
minute_of_day,time_of_day_context,computed only from rows <= entry row inside each candidate window,known exchange timestamp minute bucket,0,1
