retest_trade_month,trade_date,global_time_bucket_id,symbols_present,fresh_symbols,total_rows,max_staleness_seconds,median_staleness_seconds,expected_symbols,coverage_fraction,fresh_fraction,coverage_pass
2026-02,2026-02-02,357322,32,32,621156,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-02,357323,32,32,2004614,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-02,357324,32,32,2069016,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-02,357325,32,32,1857362,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-02,357326,32,32,1040848,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357806,32,32,945348,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357807,32,32,2065438,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357808,32,32,2079852,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357809,32,32,1624446,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357810,32,32,986212,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356821,32,32,835996,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356822,32,32,1950978,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356823,32,32,1998978,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356824,32,32,1692152,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356825,32,32,986288,17.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357339,32,32,136400,1.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357340,32,32,1935646,1.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357341,32,32,2034036,1.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357342,32,32,2065408,1.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357343,32,32,1092678,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357875,32,32,702608,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357876,32,32,2011650,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357877,32,32,2064040,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357878,32,32,1823962,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357879,32,32,996624,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356855,32,32,12950,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356856,32,32,1732750,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356857,32,32,2018694,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356858,32,32,2065946,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356859,32,32,1253768,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357426,32,32,1254232,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357427,32,32,2014530,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357428,32,32,2089622,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357429,32,32,1550068,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357430,32,32,868676,517.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357927,32,32,1021406,1.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357928,32,32,2036498,1.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357929,32,32,2055766,1.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357930,32,32,1656482,1.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357931,32,32,981680,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356942,32,32,932352,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356943,32,32,2052958,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356944,32,32,2036522,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356945,32,32,1702704,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356946,32,32,964920,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357460,32,32,190350,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357461,32,32,1965260,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357462,32,32,2046696,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357463,32,32,2034796,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357464,32,32,1054826,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,357996,32,32,769236,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,357997,32,32,2007292,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,357998,32,32,2086104,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,357999,32,32,1757986,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,358000,32,32,1016446,1.0,1.0,32,1.0,1.0,True
