retest_trade_month,rule_id,phase70_reference_rule_id,phase73_reference_rule_id,leader_symbol,alignment,threshold,trades,target_symbols,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,precision_cost_clear,positive_target_fraction,cost_drag_to_abs_gross_ratio
2026-02,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,78,26,-32418.98496631098,-23042.403186936157,9376.581779374817,0.02564102564102564,0.0,0.4069272507431365
2026-03,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,26,26,-16599.306596714017,-13478.904069715625,3120.402526998391,0.0,0.0,0.23150268826449363
2026-04,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,104,26,-57051.80402341605,-41295.12447338437,15756.679550031682,0.5192307692307693,0.07692307692307693,0.38156270869669406
2026-05,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,52,26,18679.71173915333,24910.414722802267,6230.702983648935,1.0,1.0,0.2501244179586272
2026-07,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,78,26,-32936.88839366624,-23547.77646737636,9389.111926289872,0.41025641025641024,0.0,0.3987260512387557
2026-08,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,104,26,4414.425312607559,16896.581721480576,12482.156408873016,0.6538461538461539,0.6538461538461539,0.738738557574902
2026-09,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,26,26,-3386.9399978548176,-380.6634836556744,3006.2765141991435,0.038461538461538464,0.038461538461538464,7.897464934982949
2026-10,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,78,26,11018.03173725909,20378.35516360903,9360.323426349938,0.6794871794871795,0.8846153846153846,0.45932673914061933
2026-11,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,52,26,-12957.710110378755,-6718.39731834093,6239.312792037827,0.019230769230769232,0.0,0.9286906529038967
2026-12,P76_COMMON_OVERLAP_HDFCBANK_MOMENTUM_Q70_RECHECK,P70_MEGA_HDFCBANK_MOMENTUM_Q70,P73_TIMESTAMP_HDFCBANK_MOMENTUM_Q70_RECHECK,HDFCBANK,common_overlap_timestamp_bucket,0.00428699,26,26,-9602.868307512392,-6479.152112984898,3123.7161945274916,0.0,0.0,0.4821180518770717
