contract_id,contract_value,description
input_phase345_summary,outputs/phase345/phase345_acceptance_summary.csv,Use Phase345 as the executed evidence base.
input_phase345_scenarios,outputs/phase345/phase345_strategy_scenario_summary.csv,Use capacity-capped scenario results.
phase345_acceptance_candidates_required,0,Phase347 must not inherit accepted status; there are no accepted candidates.
annualized_threshold_pct,12.0,Keep the user threshold.
minimum_trade_rows_required,30,Do not accept sparse results below the event floor.
fixed_capital_denominator_required,1,Annual return must remain fixed-capital based.
unlimited_capital_return_math_allowed,0,No unlimited-capital annualization.
official_catalyst_calendar_required,1,Use NSE/BSE/SEBI-style official catalyst rows as timestamp authority.
real_l2_event_matched_days_required,1,Expand only with real Zerodha-websocket-like top-five L2 days matched to official catalyst days.
full_top_five_depth_required,1,"Use top-five bid/ask price, quantity, and order-count fields."
levels_2_to_5_materiality_required,1,Keep levels beyond L1 material to features and filters.
l1_only_allowed,0,No L1-only variants.
zerodha_cost_model_version,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Pinned Zerodha intraday NSE equity charge formula.
cost_stress_required,zerodha_2x_all_in_cost_proxy,Keep the 2x all-in cost stress.
carry_forward_family_ids,P344_CATALYST_CATEGORY_CONTINUATION;P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,Families eligible for event-count expansion.
carry_forward_scenario_ids,P345_0065_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H1800_Q0p75;P345_0062_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H900_Q0p75;P345_0012_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H900_Q0p0;P345_0007_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p5;P345_0026_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H1800_Q0p75;P345_0004_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p5;P345_0015_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H1800_Q0p0;P345_0006_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p0;P345_0008_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p75;P345_0003_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p0,Sparse high-return control-passing scenarios eligible for precommit.
paper_or_live_allowed,0,No paper/live acceptance.
deployable_profitability_claim_allowed,0,No deployable profitability claim.
phase347_precommit_allowed_next,1,Open Phase347 only if sparse control-passing high-return clues exist.
