metric,value,description
phase106_profile_id,P104_HDFCBANK_REAL_ANCHOR_CADENCE_VOL_PRICE_SCALE,Calibrated synthetic profile audited across full symbol set
phase106_max_real_files_per_symbol,50,Bounded real parquet sample per symbol
phase106_symbols_compared,32,Symbols present in real and calibrated synthetic anchors
phase106_anchor_metric_rows,256,Real-vs-calibrated synthetic anchor metrics compared
phase106_calibration_gap_rows,50,Anchor metrics outside ratio gates
phase106_calibration_gap_fraction,0.1953125,Fraction of anchor metrics outside gates
phase106_severe_metric_gap_count,1,Metrics with gap_fraction > 50%
phase106_failed_metrics,median_abs_l1_imbalance;median_l1_depth;median_l5_depth;p90_gap_ms,Metrics with one or more symbols outside gates
phase106_source_rows_densified,3012294,Source compact rows densified
phase106_dense_rows_materialized,24098352,Dense rows materialized for audit
phase106_dense_bytes,879367260,Local dense parquet bytes materialized
phase106_full_symbol_calibrated_realism_pass,0,1 means full-symbol calibrated realism audit passed
phase106_strategy_replay_allowed,0,Strategy replay remains closed until full-symbol and multiday gates pass
phase104_profile_id,P104_HDFCBANK_REAL_ANCHOR_CADENCE_VOL_PRICE_SCALE,Real-anchor cadence calibration profile materialized
phase104_source_rows_densified,3012294,Source compact rows densified
phase104_dense_rows_materialized,24098352,Dense rows materialized for audit
phase104_dense_bytes,879367260,Local dense parquet bytes materialized
phase104_dense_elapsed_seconds,165.42240540000057,Dense materialization elapsed seconds
phase103_profile_id,P104_HDFCBANK_REAL_ANCHOR_CADENCE_VOL_PRICE_SCALE,Calibrated synthetic profile audited
phase103_real_symbols_profiled,32,Real WebSocket symbols profiled
phase103_synthetic_symbols_profiled,32,Synthetic dense symbols profiled
phase103_compared_symbols,32,Symbols present in both real and synthetic profiles
phase103_symbol_metric_anchor_rows,256,Symbol/metric calibration anchors compared
phase103_calibration_gap_rows,50,Anchor rows outside ratio gates
phase103_calibration_gap_fraction,0.1953125,Fraction of compared symbol/metric anchors outside gates
phase103_severe_metric_gap_count,1,Metrics where more than half of symbols fail calibration gates
phase103_calibrated_realism_patch_pass,0,1 means patched calibrated HDFCBANK shard passes one-symbol realism readout
phase103_strategy_replay_allowed,0,Strategy replay remains closed until multiday and broader-symbol realism gates pass
phase103_recommend_next_action,expand_calibrated_realism_rerun_to_32_symbols_or_collect_multiday_real_panel,Recommended next milestone
