symbol,rows,months,dates,regimes,feed_profiles,market_shock_row_fraction,symbol_shock_row_fraction,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
ADANIPORTS,753000,12,252,18,5,0.12688446215139443,0.24562018592297477,500.0,692.0,792.0,0.9918831341301461,2.2129860789349505,4.40100893129725,806.0,6851.0,0.21285140562248997,0.00012959971462430655
AXISBANK,753176,12,252,18,5,0.12691854227962654,0.0,500.0,692.0,792.0,0.9921439344854324,1.5166883110731175,3.764046952721688,808.0,6870.0,0.022408963585434174,0.00012102563493712448
BAJAJ-AUTO,753232,12,252,18,5,0.12663296301803428,0.21790895766510185,500.0,692.0,792.0,0.9922228476750855,3.344931085556668,4.895361644841513,806.0,6852.5,0.0,0.00012123672577868089
BANKBEES,753072,12,252,18,5,0.12660675207682665,0.17024666964114984,500.0,692.0,792.0,0.9921269148235494,3.82299722317458,5.861777609182269,800.0,6800.0,0.32792207792207795,0.00010567418293574533
BHARTIARTL,753768,12,252,18,5,0.1268613154180066,0.1504972352235701,500.0,692.0,792.0,0.9922602179981108,1.5769347017619852,3.6575919198571736,806.0,6851.0,0.07977207977207977,0.00012018861265523077
BPCL,753504,12,252,18,5,0.12693761413343527,0.13459251709347264,500.0,692.0,792.0,0.9920451649891706,1.6358446274776541,4.889956420707637,810.0,6885.0,0.052805280528052806,0.00012968616350882432
BRITANNIA,752944,12,252,18,5,0.1267770245861578,0.09897150385686054,500.0,692.0,792.0,0.9919369833613124,3.746247898589069,5.630207942346671,802.0,6816.0,0.0,0.00010393536364813835
CIPLA,753024,12,252,18,5,0.12665731769505353,0.08306773754886962,500.0,692.0,792.0,0.992041422318545,2.8100938571354668,4.922081688977493,802.0,6816.0,0.5685279187817259,0.0001038905887669159
DRREDDY,752640,12,252,18,5,0.1267325680272109,0.08319515306122449,500.0,692.0,792.0,0.9921130952380952,2.4386873358962946,4.86512455732545,802.0,6816.0,0.20725388601036268,0.0001003342310976029
GOLDBEES,753080,12,252,18,5,0.12648855367291656,0.07107876985180857,500.0,692.0,792.0,0.99214027726138,0.8562670183062101,2.5559758715878687,800.0,6800.0,0.2022792022792023,0.00010333499103772695
HCLTECH,752960,12,252,18,5,0.1267318317042074,0.0,500.0,692.0,792.0,0.9920779324266893,2.4614021377273834,4.886984413028124,810.0,6885.0,0.29396325459317585,0.0001251749096759435
HDFCBANK,752880,12,252,18,5,0.1268090532355754,0.0,500.0,692.0,792.0,0.9919482520454787,1.2229947472378389,3.037187321565245,808.0,6868.0,0.5723684210526315,0.00012154440469128016
HINDUNILVR,752728,12,252,18,5,0.12693031214462594,0.06343858604967531,500.0,692.0,792.0,0.9920834617551094,1.8845367867474232,4.2064182932462035,802.0,6816.0,0.07308970099667775,0.00010566452121244482
ICICIBANK,753208,12,252,18,5,0.1269450138607131,0.0,500.0,692.0,792.0,0.992150906522501,1.4257708073414228,3.5390337729992956,810.0,6884.0,0.3687707641196013,0.00012014139561304037
INFY,752888,12,252,18,5,0.12668019678889822,0.0,500.0,692.0,792.0,0.9920970981075539,1.8159778813898175,4.5082512268078645,810.0,6885.0,0.1875,0.00012418277180921818
ITBEES,753280,12,252,18,5,0.12657179269328803,0.05534197111299915,500.0,692.0,792.0,0.9920574022939677,3.114294612271914,6.203993510623756,802.0,6816.0,0.7403314917127072,0.00010249434766228825
ITC,753264,12,252,18,5,0.12672316744195927,0.05147730410586461,500.0,692.0,792.0,0.9920466131396164,1.7860370481312915,5.329117409339602,800.0,6800.0,0.5098684210526315,0.00010529686627195759
JUNIORBEES,753024,12,252,18,5,0.12696540880503146,0.04356833248342682,500.0,692.0,792.0,0.9921211010538841,3.965496597859059,6.039543590404753,798.0,6784.0,0.6977401129943502,9.60819702351878e-05
KOTAKBANK,752912,12,252,18,5,0.12667615870114968,0.0355738784877914,500.0,692.0,792.0,0.9921637588456552,2.636235371530523,4.033517996749986,808.0,6870.0,0.15056818181818182,0.00012056015152363431
LT,752656,12,252,18,5,0.12647477732191068,0.0,500.0,692.0,792.0,0.9920056440126698,1.503406154569857,3.5468157511556373,806.0,6850.0,0.0903954802259887,0.0001141743641823461
M&M,752944,12,252,18,5,0.1266707749845938,0.0,500.0,692.0,792.0,0.9920272955226418,1.274666794133636,3.4667370519337988,806.0,6850.0,0.1861198738170347,0.00011233597922192691
MARUTI,753352,12,252,18,5,0.12664464951310941,0.0,500.0,692.0,792.0,0.9922718729093438,2.9304888055327627,4.369440569621128,806.0,6851.0,0.1326530612244898,0.00011112515189126662
NESTLEIND,752944,12,252,18,5,0.1268301493869398,0.019847425572154104,500.0,692.0,792.0,0.9921826855649292,2.7965378860960577,4.877530436661228,802.0,6817.0,0.4119601328903654,0.00010029785415425014
NIFTYBEES,753320,12,252,18,5,0.12674560611692243,0.0,500.0,692.0,792.0,0.9921361440025487,1.4588647552141822,3.625647540649523,798.0,6783.0,0.6209150326797386,8.835800929659572e-05
ONGC,752920,12,252,18,5,0.1269510704988578,0.019805557031291506,500.0,692.0,792.0,0.9922236094140148,2.3810969475528583,4.0281844006151335,810.0,6884.0,0.047619047619047616,0.00012229845544236873
RELIANCE,752784,12,252,18,5,0.12665518927076028,0.0,500.0,692.0,792.0,0.9923205062806861,1.5419962683676283,3.0728869580922824,810.0,6885.0,0.44358974358974357,0.00012023252017786221
SBIN,752920,12,252,18,5,0.12662168623492537,0.0,500.0,692.0,792.0,0.9920775115550124,1.928849561789929,3.8302069269279215,808.0,6868.0,0.047619047619047616,0.00012049890049613499
SUNPHARMA,753288,12,252,18,5,0.1266235490277291,0.019827741846411995,500.0,692.0,792.0,0.9921039496182071,2.0816203332667054,4.14542675225222,802.0,6816.0,0.2948717948717949,9.591121528261873e-05
TCS,753312,12,252,18,5,0.12676819166560468,0.0,500.0,692.0,792.0,0.9922382757741812,1.8392622719031582,3.6555135425361587,810.0,6885.0,0.007177033492822967,0.00012317317483342483
TECHM,752536,12,252,18,5,0.12689891247727683,0.0,500.0,692.0,792.0,0.9920110134266001,3.931596768883616,5.3053564204757215,810.0,6886.0,0.125,0.00012406303861786395
ULTRACEMCO,753416,12,252,18,5,0.12686749418647866,0.0,500.0,692.0,792.0,0.9922167832910371,2.5894213506421764,5.155801888312441,808.0,6868.0,0.42761692650334077,0.00011679380082615482
WIPRO,753376,12,252,18,5,0.12660875844199976,0.0,500.0,692.0,792.0,0.9920477955230854,2.2480902473344417,3.909118577527213,810.0,6885.0,0.096045197740113,0.00012120047541358927
