symbol,trade_date,rows,sampled_files,first_ts_ms,last_ts_ms,window_seconds,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
ADANIPORTS,2026-07-13,425,49,1783914093966.0,1783936350711.0,22256.745,1000.0,439477.0,451864.39999999997,0.5411764705882353,2.207261891623943,3.8593258401394497,131.0,1088.0,0.6296296296296297,0.0004411553501896168
AXISBANK,2026-07-13,475,49,1783914093966.0,1783936352460.0,22258.494,750.0,305452.6999999952,450681.35,0.6210526315789474,1.5143484515790528,3.025947499809846,249.0,3048.0,0.5495978552278821,0.0004231706657462332
BAJAJ-AUTO,2026-07-13,817,49,1783914093966.0,1783936351961.0,22257.995,500.0,1250.0,439771.0,0.847001223990208,2.466273707056009,4.374433608466025,61.0,366.0,0.5789473684210527,0.0007120099059319438
BANKBEES,2026-07-13,620,49,1783914311961.0,1783936364212.0,22052.251,1000.0,2351.6000000000226,446694.50000000006,0.7419354838709677,3.3338889814976747,5.6550400307047,403.0,5262.0,0.8080307101727447,0.0002176645338790533
BHARTIARTL,2026-07-13,543,49,1783914093966.0,1783936352210.0,22258.244,750.0,3949.100000000017,449394.95,0.6758747697974218,2.0929259104232467,3.1563664413141352,415.0,3715.0,0.5478260869565217,0.00043747989030047397
BPCL,2026-07-13,307,49,1783914093966.0,1783936351210.0,22257.244,1750.0,448824.0,454185.75,0.3745928338762215,1.639209900828174,4.899959167006198,2059.0,19762.0,0.6534859521331946,0.0006153089784578416
BRITANNIA,2026-07-13,274,49,1783914093966.0,1783936348961.0,22254.995,1750.0,450022.8,455515.39999999997,0.4051094890510949,2.817562808170932,5.5975370836831795,35.0,406.5,0.5420363329108576,0.0004900395431743122
CIPLA,2026-07-13,323,49,1783914093966.0,1783936350460.0,22256.494,1500.0,447131.60000000003,453908.4,0.4179566563467492,2.803869339687814,4.90069113575094,136.0,1594.0,0.6756756756756757,0.0004395412175018055
DRREDDY,2026-07-13,326,49,1783914093966.0,1783936350711.0,22256.745,1749.0,446827.0,453889.8,0.36809815950920244,3.2464897329751126,4.86933939295495,271.5,2642.0,0.6188312886265104,0.0005422428372631224
GOLDBEES,2026-07-13,400,49,1783914310962.0,1783936349211.0,22038.249,1000.0,439314.2,451648.8,0.51,0.8570816370263652,2.56486983285608,11211.5,95705.5,0.7474247686637312,0.0002850981786107784
HCLTECH,2026-07-13,878,49,1783914093966.0,1783936352210.0,22258.244,500.0,1214.7999999999988,437735.8,0.8724373576309795,3.2557382386445024,4.262175318971785,339.5,4819.0,0.6606060606060606,0.0009230660025647796
HDFCBANK,2026-07-13,1114,49,1783914093966.0,1783936350711.0,22256.745,499.0,1000.0,1250.0,0.9192100538599641,1.220479648502139,2.4508455616850657,1010.0,15104.0,0.6221233709952622,0.0002661320563781602
HINDUNILVR,2026-07-13,386,49,1783914093966.0,1783936351961.0,22257.995,1000.0,442440.00000000006,451841.6,0.5155440414507773,1.410304626579205,3.52031676225702,188.5,1287.0,0.6277653381101658,0.00044918707262581214
ICICIBANK,2026-07-13,798,49,1783914093966.0,1783936351961.0,22257.995,500.0,2000.0,439902.2,0.818295739348371,1.4178363816818766,2.8435345134008028,580.0,6394.0,0.6189433235605364,0.0002723495224193186
INFY,2026-07-13,1061,49,1783914093966.0,1783936348961.0,22254.995,500.0,1000.0,1774.9999999999773,0.9095193213949104,1.8142235123371322,3.66367466569052,613.0,9352.0,0.7581573896353166,0.0006784295765149681
ITBEES,2026-07-13,348,49,1783914311211.0,1783936363710.0,22052.499,1250.0,446257.60000000003,452907.8,0.4425287356321839,3.127941694266626,6.297229219143444,134432.0,2152154.5,0.6847403586078421,0.0008419522636051179
