quarter_profile,profile_description,seed,scenario_day,trade_date,weekday,regime_code,regime_family,intraday_template,vol_multiplier,event_rate_multiplier,spread_multiplier,depth_multiplier,correlation_multiplier,is_gap_day,is_market_shock_day,event_cluster,shock_symbol_count,shock_symbols,observed_anchor_regime_code,observed_anchor_evidence,evidence_label,experiment_segment,segment_purpose,shuffle_allowed
Q-A,typical mix,4101,1,2026-07-14,Tuesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,2,2026-07-15,Wednesday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,True,True,4,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,3,2026-07-16,Thursday,D02,Low-volatility sideways,normal_open_lull_close,0.65,0.8,0.85,1.05,0.8,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,4,2026-07-17,Friday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,5,2026-07-20,Monday,D07,Sell-off/panic,shock_liquidity_recovery,2.2,1.55,1.75,0.65,1.7,False,True,False,13,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,6,2026-07-21,Tuesday,D10,Gap-down continuation,gap_open_then_path,1.55,1.3,1.25,0.85,1.3,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,7,2026-07-22,Wednesday,D15,Rotation day,dispersion_rotation,1.15,1.1,1.05,1.0,0.65,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,8,2026-07-23,Thursday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,9,2026-07-24,Friday,D03,High-volatility sideways,normal_open_lull_close,1.45,1.15,1.2,0.95,1.05,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,10,2026-07-27,Monday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
