quarter_profile,seed,seed_set,is_initial_engineering_seed,required_for_target_gate
Q-A,4101,engineering_initial_3,True,True
Q-A,4102,engineering_initial_3,True,True
Q-A,4103,engineering_initial_3,True,True
Q-A,4104,scale_to_target_10,False,True
Q-A,4105,scale_to_target_10,False,True
Q-A,4106,scale_to_target_10,False,True
Q-A,4107,scale_to_target_10,False,True
Q-A,4108,scale_to_target_10,False,True
Q-A,4109,scale_to_target_10,False,True
Q-A,4110,scale_to_target_10,False,True
Q-B,4101,engineering_initial_3,True,True
Q-B,4102,engineering_initial_3,True,True
Q-B,4103,engineering_initial_3,True,True
Q-B,4104,scale_to_target_10,False,True
Q-B,4105,scale_to_target_10,False,True
Q-B,4106,scale_to_target_10,False,True
Q-B,4107,scale_to_target_10,False,True
Q-B,4108,scale_to_target_10,False,True
Q-B,4109,scale_to_target_10,False,True
Q-B,4110,scale_to_target_10,False,True
Q-C,4101,engineering_initial_3,True,True
Q-C,4102,engineering_initial_3,True,True
Q-C,4103,engineering_initial_3,True,True
Q-C,4104,scale_to_target_10,False,True
Q-C,4105,scale_to_target_10,False,True
Q-C,4106,scale_to_target_10,False,True
Q-C,4107,scale_to_target_10,False,True
Q-C,4108,scale_to_target_10,False,True
Q-C,4109,scale_to_target_10,False,True
Q-C,4110,scale_to_target_10,False,True
