experiment_id,quarter_profile,simulation_seed,strategy_id,parameter_set_id,control_id,segment_scope,status,retain_failed_run,support_level,rows_evaluated,signal_rows,signal_fraction,mean_future_return_when_signaled,signed_mean_future_return,directional_accuracy_nonzero,trades,mean_gross_return,mean_cost_return,mean_net_return,win_rate_net,total_net_pnl_units,phase12_status,execution_profile,run_status,proxy_control_description,proxy_signal_fraction,proxy_signed_mean_future_return,proxy_directional_accuracy_nonzero,proxy_mean_net_return,proxy_total_net_pnl_units,negative_control_interpretable,negative_control_result,parameter_smoothness_status,walk_forward_status,holdout_status,acceptance_eligible
EXP13_000001,Q-A,910001,S01,S01_P001,BASE,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259039,164347,0.0727508467095964,7.631563340181627e-06,-0.0011058946140748,0.4343022896994383,160629,0.0074459809555115,0.0003485759542083,0.0070974050013031,0.617285795217551,1140.0490679543216,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Registered base experiment using current proxy evidence.,0.0727508467095964,-0.0011058946140748,0.4343022896994383,0.0070974050013031,1140.0490679543216,False,base_case,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000002,Q-A,910001,S01,S01_P001,NC01,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259039,164347,0.0727508467095964,7.631563340181627e-06,-0.0011058946140748,0.4343022896994383,160629,0.0074459809555115,0.0003485759542083,0.0070974050013031,0.617285795217551,1140.0490679543216,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Shuffle-within-time-bucket proxy: preserves turnover but removes most predictive coupling.,0.0727508467095964,-2.2117892281496e-05,0.4986860457939888,0.000354870250065155,57.00245339771608,True,pass_proxy,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000003,Q-A,910001,S01,S01_P001,NC02,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259039,164347,0.0727508467095964,7.631563340181627e-06,-0.0011058946140748,0.4343022896994383,160629,0.0074459809555115,0.0003485759542083,0.0070974050013031,0.617285795217551,1140.0490679543216,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Delayed-signal proxy: degrades signal edge and modestly reduces executable turnover.,0.06547576203863677,-0.00038706311492617995,0.4770058013948034,0.0024840917504560848,399.0171737840125,True,fail_proxy,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000004,Q-A,910001,S01,S01_P001,NC03,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259039,164347,0.0727508467095964,7.631563340181627e-06,-0.0011058946140748,0.4343022896994383,160629,0.0074459809555115,0.0003485759542083,0.0070974050013031,0.617285795217551,1140.0490679543216,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Inverted-signal proxy: reverses directional edge while preserving turnover.,0.0727508467095964,0.0011058946140748,0.5656977103005617,-0.0070974050013031,-1140.0490679543216,True,pass_proxy,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000005,Q-A,910001,S02,S02_P001,BASE,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259039,889386,0.3937010383618875,-2.846635319226634e-07,-0.0001138749738473,0.4852282570633443,870505,3.8756009053878205e-05,0.0005068319108982,-0.0004680759018443,0.4891505505425012,-407.4624129350256,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Registered base experiment using current proxy evidence.,0.3937010383618875,-0.0001138749738473,0.4852282570633443,-0.0004680759018443,-407.4624129350256,False,base_case,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000006,Q-A,910001,S02,S02_P001,NC01,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259039,889386,0.3937010383618875,-2.846635319226634e-07,-0.0001138749738473,0.4852282570633443,870505,3.8756009053878205e-05,0.0005068319108982,-0.0004680759018443,0.4891505505425012,-407.4624129350256,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Shuffle-within-time-bucket proxy: preserves turnover but removes most predictive coupling.,0.3937010383618875,-2.2774994769460003e-06,0.4997045651412669,-2.3403795092215e-05,-20.373120646751282,False,not_interpretable_base_not_positive,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000007,Q-A,910001,S02,S02_P001,NC02,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259039,889386,0.3937010383618875,-2.846635319226634e-07,-0.0001138749738473,0.4852282570633443,870505,3.8756009053878205e-05,0.0005068319108982,-0.0004680759018443,0.4891505505425012,-407.4624129350256,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Delayed-signal proxy: degrades signal edge and modestly reduces executable turnover.,0.3543309345256988,-3.9856240846555e-05,0.49482988997217053,-0.000163826565645505,-142.61184452725897,False,not_interpretable_base_not_positive,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000008,Q-A,910001,S02,S02_P001,NC03,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259039,889386,0.3937010383618875,-2.846635319226634e-07,-0.0001138749738473,0.4852282570633443,870505,3.8756009053878205e-05,0.0005068319108982,-0.0004680759018443,0.4891505505425012,-407.4624129350256,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Inverted-signal proxy: reverses directional edge while preserving turnover.,0.3937010383618875,0.0001138749738473,0.5147717429366556,0.0004680759018443,407.4624129350256,False,not_interpretable_base_not_positive,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000009,Q-A,910001,S03,S03_P001,BASE,calibration_development_and_validation_only,planned_not_run,True,partial_missing_required_features,2259039,280437,0.1241399550870967,-5.557827884135418e-05,-0.0007002190251234,0.4667490123914711,273433,0.005990936929589,0.0002860055352754,0.0057049313943136,0.5813051094783731,1559.9165059413592,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Registered base experiment using current proxy evidence.,0.1241399550870967,-0.0007002190251234,0.4667490123914711,0.0057049313943136,1559.9165059413592,False,base_case,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000010,Q-A,910001,S03,S03_P001,NC01,calibration_development_and_validation_only,planned_not_run,True,partial_missing_required_features,2259039,280437,0.1241399550870967,-5.557827884135418e-05,-0.0007002190251234,0.4667490123914711,273433,0.005990936929589,0.0002860055352754,0.0057049313943136,0.5813051094783731,1559.9165059413592,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Shuffle-within-time-bucket proxy: preserves turnover but removes most predictive coupling.,0.1241399550870967,-1.4004380502468e-05,0.4993349802478294,0.00028524656971568003,77.99582529706797,True,pass_proxy,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
