strategy_id,robustness_requirement,required_threshold,observed_value,current_evidence_status,acceptance_requirement_met,blocking_gap,evidence_source,required_next_evidence,acceptance_eligible_now
S01,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S01,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
S01,holdout_generator_strategy_rerun,holdout-generator profiles rerun as strategy evidence,2 holdout profiles present as proxy,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,Holdout-generator profiles exist as realism/proxy evidence but strategy reruns are not acceptance-grade.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run strategies on holdout-generator outputs and compare against calibration/development results.,False
S01,negative_control_rejection,all interpretable negative controls rejected or degraded,18/27 negative-control rows passed proxy criterion,proxy_negative_controls_available,False,Negative-control evidence is proxy-only or incomplete.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run mandatory negative controls under full experiment execution and require rejection/degradation before promotion.,False
S01,parameter_neighborhood_smoothness,18 predeclared parameter sets evaluated smoothly,1 parameter set(s) run,design_available_single_parameter_proxy_run,False,Only one/sparse parameter-set proxy evidence exists; parameter-neighborhood smoothness is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute the full predeclared parameter grid and summarize neighborhood smoothness without final-test reuse.,False
S01,real_data_rerun,multi-day real-data rerun evidence available,not_available_one_day_seed_only,not_available_one_day_seed_only,False,Current evidence is one-day seed/synthetic only; multi-day real rerun is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,"Collect and run multiple real market days, then compare stability against synthetic scenarios.",False
S01,registered_for_alpha_parameter_proxy_grid,strategy registered in Phase 13 proxy experiment grid,True,registered_proxy,True,,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Register strategy in the applicable alpha-parameter experiment grid or classify it as non-alpha/risk-only before robustness acceptance.,False
S01,walk_forward_coverage,48 walk-forward windows run,0 walk-forward windows run,design_available_not_run,False,Walk-forward design exists but no walk-forward windows have been executed.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute registered walk-forward windows and preserve train/test leakage checks.,False
S02,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S02,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
S02,holdout_generator_strategy_rerun,holdout-generator profiles rerun as strategy evidence,2 holdout profiles present as proxy,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,Holdout-generator profiles exist as realism/proxy evidence but strategy reruns are not acceptance-grade.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run strategies on holdout-generator outputs and compare against calibration/development results.,False
S02,negative_control_rejection,all interpretable negative controls rejected or degraded,0/27 negative-control rows passed proxy criterion,proxy_negative_controls_available,False,Negative-control evidence is proxy-only or incomplete.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run mandatory negative controls under full experiment execution and require rejection/degradation before promotion.,False
S02,parameter_neighborhood_smoothness,6 predeclared parameter sets evaluated smoothly,1 parameter set(s) run,design_available_single_parameter_proxy_run,False,Only one/sparse parameter-set proxy evidence exists; parameter-neighborhood smoothness is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute the full predeclared parameter grid and summarize neighborhood smoothness without final-test reuse.,False
S02,real_data_rerun,multi-day real-data rerun evidence available,not_available_one_day_seed_only,not_available_one_day_seed_only,False,Current evidence is one-day seed/synthetic only; multi-day real rerun is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,"Collect and run multiple real market days, then compare stability against synthetic scenarios.",False
S02,registered_for_alpha_parameter_proxy_grid,strategy registered in Phase 13 proxy experiment grid,True,registered_proxy,True,,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Register strategy in the applicable alpha-parameter experiment grid or classify it as non-alpha/risk-only before robustness acceptance.,False
