strategy_id,registered_for_phase13_proxy,proxy_run_rows,profile_robustness_rows,initial_engineering_seeds_run,required_full_validation_seeds,seed_scope_status,quarter_profiles_run,execution_profiles_evaluated,all_execution_profiles_positive,stressed_profile_positive,negative_control_rows,interpretable_negative_control_rows,passed_negative_control_rows,parameter_sets_planned,parameter_sets_run,parameter_smoothness_status,walk_forward_windows_planned,walk_forward_windows_run,walk_forward_status,holdout_generator_profiles_available,holdout_generator_profiles_present_in_proxy,holdout_status,real_data_rerun_status,dimension_status,acceptance_eligible,blocker
S01,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,27,18,18,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S02,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,0,0,6,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S03,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,27,18,6,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S04,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,0,0,4,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S05,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,0,0,3,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S06,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,0,0,4,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S07,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,0,0,4,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S08,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,0,0,9,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S09,True,36,108,9,30,initial_engineering_seed_proxy_only,3,3,False,False,27,0,0,9,1,design_available_single_parameter_proxy_run,48,0,design_available_not_run,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,not_available_one_day_seed_only,robustness_proxy_dimensions_available_not_acceptance,False,"Robustness proxy dimensions are now summarized, but acceptance still requires full required-seed execution, walk-forward runs, parameter-neighborhood smoothness, holdout-generator strategy reruns and later multi-day real-data reruns."
S10,False,0,0,0,30,not_run,0,0,False,False,0,0,0,0,0,not_registered_or_not_run,48,0,design_available_not_run,2,0,holdout_proxy_not_present_for_strategy,not_available_one_day_seed_only,not_registered_for_phase13_proxy_run,False,Strategy is not registered in the current Phase 13 alpha-parameter proxy grid; robustness acceptance evidence is missing.
S11,False,0,0,0,30,not_run,0,0,False,False,0,0,0,0,0,not_registered_or_not_run,48,0,design_available_not_run,2,0,holdout_proxy_not_present_for_strategy,not_available_one_day_seed_only,not_registered_for_phase13_proxy_run,False,Strategy is not registered in the current Phase 13 alpha-parameter proxy grid; robustness acceptance evidence is missing.
