experiment_id,quarter_profile,simulation_seed,strategy_id,parameter_set_id,control_id,segment_scope,status,retain_failed_run
EXP13_000001,Q-A,910001,S01,S01_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000002,Q-A,910001,S01,S01_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000003,Q-A,910001,S01,S01_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000004,Q-A,910001,S01,S01_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000005,Q-A,910001,S02,S02_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000006,Q-A,910001,S02,S02_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000007,Q-A,910001,S02,S02_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000008,Q-A,910001,S02,S02_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000009,Q-A,910001,S03,S03_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000010,Q-A,910001,S03,S03_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000011,Q-A,910001,S03,S03_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000012,Q-A,910001,S03,S03_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000013,Q-A,910001,S04,S04_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000014,Q-A,910001,S04,S04_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000015,Q-A,910001,S04,S04_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000016,Q-A,910001,S04,S04_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000017,Q-A,910001,S05,S05_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000018,Q-A,910001,S05,S05_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000019,Q-A,910001,S05,S05_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000020,Q-A,910001,S05,S05_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000021,Q-A,910001,S06,S06_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000022,Q-A,910001,S06,S06_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000023,Q-A,910001,S06,S06_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000024,Q-A,910001,S06,S06_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000025,Q-A,910001,S07,S07_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000026,Q-A,910001,S07,S07_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000027,Q-A,910001,S07,S07_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000028,Q-A,910001,S07,S07_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000029,Q-A,910001,S08,S08_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
