contract_id,contract_value,description
thesis_id,P414_DEEP_BOOK_DIVERGENCE_SNAPBACK_TAKER_ONLY,Material-new less-sparse full-depth L2 thesis after Phase413 attribution.
material_difference,deep_book_divergence_snapback_not_replenishment_breakout_not_market_making_not_passive,"Uses opposing deeper-book pressure, not aligned replenishment breakout or two-sided quoting."
phase413_basis,top5_alignment_and_l2_l5_replenishment_were_sparsity_bottlenecks,Do not require simultaneous top-five alignment and high replenishment.
market_hypothesis,when short_impulse_runs_against_deeper_l2_l5_pressure_and_top5_does_not_confirm_it_price_may_snap_back,"Depth disagreement, not price-bar reversal alone."
entry_side,opposite_impulse_toward_deeper_book_pressure,Taker entry in the deep-book pressure direction.
execution_profile,taker_entry_taker_stop_target_or_horizon_exit,"No passive fill model, no maker rebate."
impulse_lookback_seconds,20,Past-only impulse window.
confirm_seconds,5,Past-only book confirmation window.
horizon_seconds,120,Fixed exit horizon.
min_abs_impulse_bps,3.0,Fixed impulse threshold.
min_opposing_l2_l5_imbalance,0.08,Required levels 2-5 pressure against impulse.
max_top5_alignment_with_impulse,0.08,Top-of-book must not strongly confirm impulse.
min_level_weighted_divergence,0.05,Level-weighted pressure must support snapback side.
max_spread_bps,8.0,Avoid wide-spread execution.
max_withdrawal_pressure,0.25,Reject severe depth pulling.
stop_bps,10.0,Fixed stop.
take_profit_bps,14.0,Fixed target.
full_depth_required,L1_to_L5_book_state_with_levels_2_to_5_directional_pressure,L1-only variants forbidden.
cost_model,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Pinned Zerodha equity intraday NSE formula.
cost_multiplier,2.0,Cost200 acceptance scoring.
capital,initial=1000000.0;notional=100000.0;max_concurrent=2,Fixed capital denominator.
acceptance,round_trips>=30;dates>=5;symbols>=3;positive_date_fraction>=0.6;annualized>=12.0,Must be profitable with breadth.
controls,side_flip;levels_2_to_5_removed;top5_only;spread_gate_removed;real_anchor_sign,Controls must be reported.
forbidden,phase410_threshold_relaxation;market_maker_rescue;passive_fill_rescue;bar_return_reversal_alone;promotion;paper_live;deployable_claim,Closed boundaries.
