gate_id,passed,observed_value,required_value,severity
P414_PHASE298_RAW_DENSE_PRESENT,True,raw_synthetic_l2_dense_full_year,raw_synthetic_l2_dense_full_year,hard
P414_FULL_DEPTH_SCHEMA_PRESENT,True,30,>=30,hard
P414_LEVELS_2_TO_5_REQUIRED,True,1,1,hard
P414_L1_ONLY_FORBIDDEN,True,0,0,hard
P414_NO_LOOKAHEAD_SOURCE,True,0,0,hard
P414_MARKET_MAKER_ROUTE_CLOSED,True,P409_CANCEL_RACE_MARKET_MAKER_FALSIFIED,P409_CANCEL_RACE_MARKET_MAKER_FALSIFIED,hard
P414_REPLENISHMENT_BREAKOUT_CLOSED,True,P412_REPLENISHMENT_BREAKOUT_REJECTED_AS_ZERO_EVENT_FORM,P412_REPLENISHMENT_BREAKOUT_REJECTED_AS_ZERO_EVENT_FORM,hard
P414_PHASE413_ATTRIBUTION_PRESENT,True,scan=840;pass_all=0,scan>0;pass_all=0,hard
P414_MATERIALLY_DIFFERENT_LESS_SPARSE_FORM,True,deep_book_divergence_snapback_not_replenishment_breakout_not_market_making_not_passive,different_closed_families,hard
P414_FULL_DEPTH_DIVERGENCE_REQUIRED,True,opposing_l2_l5_imbalance,present,hard
P414_FIXED_PARAMETERS_FROZEN,True,11,>=11,hard
P414_TAKER_ONLY_PINNED,True,taker_only,present,hard
P414_COST200_FIXED_CAPITAL_PINNED,True,cost=2.0;capital=1000000.0;notional=100000.0,cost200_fixed_capital,hard
P414_EXECUTION_HARD_GATES_PRECOMMITTED,True,19,19,hard
P414_RESULTS_NOT_GENERATED,True,0,0,hard
P414_FORBIDDEN_ROUTES_CLOSED,True,phase410_threshold_relaxation;market_maker_rescue;passive_fill_rescue;bar_return_reversal_alone;promotion;paper_live;deployable_claim,closed_routes_listed,hard
P414_BOUNDARIES_CLOSED,True,promotion=0;paper=0;claim=0,all_zero,hard
