parameter_id,value,status
P410_FIXED_SIGNAL,impulse_rebuild_breakout,single frozen signal form
P410_IMPULSE_LOOKBACK_SECONDS,30,past-only
P410_REBUILD_CONFIRM_SECONDS,20,past-only
P410_BREAKOUT_CONFIRM_SECONDS,10,past-only
P410_HORIZON_SECONDS,180,fixed
P410_STOP_BPS,12.0,fixed
P410_TAKE_PROFIT_BPS,18.0,fixed
P410_MIN_ABS_IMPULSE_BPS,4.0,fixed
P410_MIN_L2_L5_REPLENISHMENT_PRESSURE,0.12,fixed
P410_MIN_TOP5_IMBALANCE_ALIGNMENT,0.15,fixed
P410_MIN_LEVEL_WEIGHTED_IMBALANCE_ALIGNMENT,0.15,fixed
P410_MAX_SPREAD_BPS,8.0,fixed
P410_MAX_DEPTH_WITHDRAWAL_PRESSURE,0.1,fixed
