trade_date,symbol,official_catalyst_rows,real_l2_same_day
2026-07-08,CIPLA,1,1
2026-07-08,LT,1,1
2026-07-08,RELIANCE,1,1
2026-07-08,SBIN,3,1
2026-07-09,ADANIPORTS,1,1
2026-07-09,BHARTIARTL,1,1
2026-07-09,DRREDDY,2,1
2026-07-09,HCLTECH,1,1
2026-07-09,HDFCBANK,1,1
2026-07-09,KOTAKBANK,2,1
2026-07-09,M&M,1,1
2026-07-09,ONGC,1,1
2026-07-09,SBIN,1,1
2026-07-09,TCS,5,1
2026-07-10,BAJAJ-AUTO,1,1
2026-07-10,BHARTIARTL,1,1
2026-07-10,DRREDDY,1,1
2026-07-10,HDFCBANK,1,1
2026-07-10,ICICIBANK,1,1
2026-07-10,KOTAKBANK,3,1
2026-07-10,M&M,1,1
2026-07-10,MARUTI,1,1
2026-07-10,RELIANCE,1,1
2026-07-10,SBIN,1,1
2026-07-10,TCS,1,1
2026-07-10,WIPRO,1,1
2026-07-13,CIPLA,1,1
2026-07-13,DRREDDY,1,1
2026-07-13,HCLTECH,12,1
2026-07-13,INFY,1,1
2026-07-13,M&M,4,1
2026-07-13,SBIN,1,1
2026-07-13,TCS,1,1
2026-07-14,AXISBANK,4,1
2026-07-14,BAJAJ-AUTO,1,1
2026-07-14,BHARTIARTL,2,1
2026-07-14,HCLTECH,1,1
2026-07-14,HINDUNILVR,1,1
2026-07-14,ICICIBANK,3,1
2026-07-14,INFY,1,1
2026-07-14,KOTAKBANK,2,1
2026-07-14,MARUTI,1,1
2026-07-14,SBIN,1,1
2026-07-14,SUNPHARMA,1,1
2026-07-14,TCS,2,1
2026-07-14,ULTRACEMCO,1,1
2026-07-14,WIPRO,1,1
2026-07-15,DRREDDY,1,1
2026-07-15,HCLTECH,1,1
2026-07-15,HDFCBANK,1,1
2026-07-15,HINDUNILVR,1,1
2026-07-15,MARUTI,1,1
2026-07-15,NESTLEIND,1,1
2026-07-15,SBIN,1,1
2026-07-15,SUNPHARMA,1,1
2026-07-15,TCS,2,1
2026-07-15,ULTRACEMCO,2,1
2026-07-15,WIPRO,2,1
2026-07-16,ADANIPORTS,1,1
2026-07-16,BAJAJ-AUTO,2,1
2026-07-16,BRITANNIA,1,1
2026-07-16,HCLTECH,2,1
2026-07-16,HDFCBANK,1,1
2026-07-16,ICICIBANK,1,1
2026-07-16,ONGC,1,1
2026-07-16,SBIN,1,1
2026-07-16,TCS,1,1
2026-07-16,TECHM,6,1
2026-07-16,WIPRO,7,1
