shard_index,shard_path,trade_date,symbol,strategy_id,source_strategy_id,feature_family,feature_status,execution_profile,trades,sum_gross_return,sum_cost_return,sum_net_return,mean_gross_return,mean_cost_return,mean_net_return,net_pnl_inr,worst_trade_pnl_inr,threshold_quantile,total_latency_events,fixed_slippage_ticks,internal_impact_bps,zerodha_charge_bps
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-08,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,15,0.0,0.002111308344438992,-0.002111308344438992,0.0,0.00014075388962926614,-0.00014075388962926614,-211.13083444389926,-14.08115533063257,0.985,0,0.0,0.0,0.0
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-16,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,20,0.0,0.0021861869410005302,-0.0021861869410005302,0.0,0.00010930934705002651,-0.00010930934705002651,-218.61869410005306,-10.940919037201612,0.985,0,0.0,0.0,0.0
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-02,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,24,0.0,0.005275819616573013,-0.005275819616573013,0.0,0.0002198258173572089,-0.0002198258173572089,-527.5819616573013,-22.001474098763367,0.985,0,0.0,0.0,0.0
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-22,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,20,0.0,0.002825153352196835,-0.002825153352196835,0.0,0.00014125766760984175,-0.00014125766760984175,-282.51533521968355,-14.132038461755878,0.985,0,0.0,0.0,0.0
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-01,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,5,0.0,0.0005494377191742651,-0.0005494377191742651,0.0,0.00010988754383485302,-0.00010988754383485302,-54.94377191742651,-10.988754383485302,0.985,0,0.0,0.0,0.0
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-07,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,39,0.0,0.00982388831181331,-0.00982388831181331,0.0,0.0002518945720977772,-0.0002518945720977772,-982.3888311813314,-25.292976983387113,0.985,0,0.0,0.0,0.0
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-02,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,retail_marketable_default,24,0.0,0.03687094684971904,-0.03687094684971904,0.0,0.0015362894520716266,-0.0015362894520716266,-3687.094684971904,-153.6856222962901,0.985,2,1.0,0.5,8.26812
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-22,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,retail_marketable_default,20,0.0,0.026011700056590502,-0.026011700056590502,0.0,0.0013005850028295252,-0.0013005850028295252,-2601.1700056590507,-130.07731538526764,0.985,2,1.0,0.5,8.26812
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-01,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,retail_marketable_default,5,0.0,0.006032373157522796,-0.006032373157522796,0.0,0.001206474631504559,-0.001206474631504559,-603.2373157522795,-120.6474631504559,0.985,2,1.0,0.5,8.26812
1,raw_synthetic_l2_phase162_distributional_full_year/profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE/trade_month=2026-01/symbol=ADANIPORTS/part-00000.parquet,2026-01-08,ADANIPORTS,P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,retail_marketable_default,15,0.0,0.019486105033316978,-0.019486105033316978,0.0,0.0012990736688877984,-0.0012990736688877984,-1948.6105033316976,-129.9246659918977,0.985,2,1.0,0.5,8.26812
