metric,value,description
phase322_best_scenario_id,P321_DEPTH_ACCEL_REVERSAL_H1800_top_10pct_abs_signal_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_base,Best scenario by annualized return
phase322_best_family_id,P321_DEPTH_ACCEL_REVERSAL,Best scenario family
phase322_best_execution_policy,taker_entry_taker_exit,Best scenario execution policy
phase322_best_cost_profile,zerodha_base,Best scenario cost profile
phase322_best_annualized_return_pct,85.08131468912852,Best annualized fixed-capital research metric
phase322_best_net_pnl_inr,2700.994117115191,Best net P&L
phase322_best_scheduled_event_rows,8,Best scheduled event rows
phase322_cost200_above12_scenario_rows,320,2x cost scenarios above 12% annualized
phase322_cost200_acceptance_grade_candidate_rows,0,2x cost scenarios meeting acceptance-grade event/date/symbol floor
phase322_best_cost200_annualized_return_pct,64.23978494555296,Best 2x-cost annualized return
phase322_best_cost200_scheduled_event_rows,8,Best 2x-cost scheduled events
phase322_broadest_scenario_id,P321_MICROPRICE_DEPTH_CONFIRM_H60_all_nonzero_signal_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC2_zerodha_base,Scenario with broadest event support
phase322_broadest_annualized_return_pct,59.136319160013045,Broadest scenario annualized return
phase322_broadest_scheduled_event_rows,10,Broadest scheduled event rows
