metric,value,description
phase322_multievent_strategy_search_training_complete,1,Phase322 training-only strategy search completed
phase322_scenario_rows,138240,Scenario rows evaluated
phase322_family_rows,10,Distinct families evaluated
phase322_cost200_scenario_rows,34560,2x cost-stress scenarios
phase322_passive_aware_scenario_rows,69120,Passive-aware scenarios
phase322_above12_annualized_scenario_rows,3127,Scenarios above 12% annualized research threshold
phase322_cost200_above12_scenario_rows,320,2x cost scenarios above 12% annualized
phase322_cost200_acceptance_grade_candidate_rows,0,2x cost scenarios meeting acceptance-grade breadth
phase322_best_scenario_id,P321_DEPTH_ACCEL_REVERSAL_H1800_top_10pct_abs_signal_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_base,Best scenario id
phase322_best_family_id,P321_DEPTH_ACCEL_REVERSAL,Best scenario family
phase322_best_execution_policy,taker_entry_taker_exit,Best execution policy
phase322_best_cost_profile,zerodha_base,Best cost profile
phase322_best_annualized_return_pct,85.08131468912852,Best annualized fixed-capital research metric
phase322_best_scheduled_event_rows,8,Best scheduled event rows
phase322_best_cost200_annualized_return_pct,64.23978494555296,Best 2x-cost annualized return
phase322_best_cost200_scheduled_event_rows,8,Best 2x-cost scheduled events
phase322_annualized_denominator,fixed_initial_capital,No unlimited capital denominator
phase322_strategy_replay_allowed,0,No replay
phase322_strategy_promotion_allowed,0,No promotion
phase322_paper_or_live_acceptance_allowed,0,No paper/live
phase322_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase322_hard_gate_pass_rows,9,Passed hard gates
phase322_hard_gate_rows,9,Hard gates
phase322_next_best_action,run_phase323_event_catalyst_multievent_strategy_search_interpretation_no_replay,Recommended next action
