metric,value,description
phase342_official_catalyst_real_day_survivor_diagnostic_execution_complete,1,Phase342 execution completed
phase342_phase341_complete,1,Phase341 complete
phase342_work_order_rows,98,Work-order rows
phase342_filled_trade_rows,98,Rows with entry/exit ticks
phase342_capacity_selected_trade_rows,37,Capacity-capped selected rows
phase342_capacity_capped_net_pnl_inr,-2644.9927940519356,Capacity-capped net PnL
phase342_capacity_capped_annualized_return_pct,-38.087896234347866,Capacity-capped fixed-capital annualized return
phase342_capacity_capped_positive_symbol_date_cells,8,Capacity-capped positive symbol-date cells
phase342_isolated_all_events_net_pnl_inr,-8858.826357085392,All isolated-event diagnostic net PnL
phase342_isolated_all_events_annualized_return_pct,-127.56709954202965,All isolated-event diagnostic fixed-capital annualized return
phase342_sbin_filled_rows,8,SBIN filled diagnostic rows
phase342_sbin_capacity_selected_rows,3,SBIN capacity-selected rows
phase342_cost_model_version,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Pinned cost model
phase342_cost_profile,zerodha_2x_all_in_cost_proxy,2x cost profile
phase342_strategy_promotion_allowed,0,No promotion
phase342_paper_or_live_acceptance_allowed,0,No paper/live
phase342_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase342_hard_gate_pass_rows,8,Passed hard gates
phase342_hard_gate_rows,8,Hard gates
phase342_next_best_action,run_phase343_official_catalyst_real_day_diagnostic_interpretation_no_paper_live,Recommended next action
