candidate_id,imbalance_source,min_abs_imbalance,max_spread_bps,min_abs_event_zscore,max_decision_rate,test_replay_allowed_in_phase187
P187_TOP5_I55_S2p5_Z0_R50,top5,0.55,2.5,0.0,0.005,0
P187_TOP5_I55_S2p5_Z0_R100,top5,0.55,2.5,0.0,0.01,0
P187_TOP5_I55_S2p5_Z0_R200,top5,0.55,2.5,0.0,0.02,0
P187_TOP5_I55_S2p5_Z1_R50,top5,0.55,2.5,1.0,0.005,0
P187_TOP5_I55_S2p5_Z1_R100,top5,0.55,2.5,1.0,0.01,0
P187_TOP5_I55_S2p5_Z1_R200,top5,0.55,2.5,1.0,0.02,0
P187_TOP5_I55_S2p5_Z2_R50,top5,0.55,2.5,2.0,0.005,0
P187_TOP5_I55_S2p5_Z2_R100,top5,0.55,2.5,2.0,0.01,0
P187_TOP5_I55_S2p5_Z2_R200,top5,0.55,2.5,2.0,0.02,0
P187_TOP5_I55_S5p0_Z0_R50,top5,0.55,5.0,0.0,0.005,0
P187_TOP5_I55_S5p0_Z0_R100,top5,0.55,5.0,0.0,0.01,0
P187_TOP5_I55_S5p0_Z0_R200,top5,0.55,5.0,0.0,0.02,0
P187_TOP5_I55_S5p0_Z1_R50,top5,0.55,5.0,1.0,0.005,0
P187_TOP5_I55_S5p0_Z1_R100,top5,0.55,5.0,1.0,0.01,0
P187_TOP5_I55_S5p0_Z1_R200,top5,0.55,5.0,1.0,0.02,0
P187_TOP5_I55_S5p0_Z2_R50,top5,0.55,5.0,2.0,0.005,0
P187_TOP5_I55_S5p0_Z2_R100,top5,0.55,5.0,2.0,0.01,0
P187_TOP5_I55_S5p0_Z2_R200,top5,0.55,5.0,2.0,0.02,0
P187_TOP5_I55_S10p0_Z0_R50,top5,0.55,10.0,0.0,0.005,0
P187_TOP5_I55_S10p0_Z0_R100,top5,0.55,10.0,0.0,0.01,0
P187_TOP5_I55_S10p0_Z0_R200,top5,0.55,10.0,0.0,0.02,0
P187_TOP5_I55_S10p0_Z1_R50,top5,0.55,10.0,1.0,0.005,0
P187_TOP5_I55_S10p0_Z1_R100,top5,0.55,10.0,1.0,0.01,0
P187_TOP5_I55_S10p0_Z1_R200,top5,0.55,10.0,1.0,0.02,0
P187_TOP5_I55_S10p0_Z2_R50,top5,0.55,10.0,2.0,0.005,0
P187_TOP5_I55_S10p0_Z2_R100,top5,0.55,10.0,2.0,0.01,0
P187_TOP5_I55_S10p0_Z2_R200,top5,0.55,10.0,2.0,0.02,0
P187_TOP5_I65_S2p5_Z0_R50,top5,0.65,2.5,0.0,0.005,0
P187_TOP5_I65_S2p5_Z0_R100,top5,0.65,2.5,0.0,0.01,0
P187_TOP5_I65_S2p5_Z0_R200,top5,0.65,2.5,0.0,0.02,0
P187_TOP5_I65_S2p5_Z1_R50,top5,0.65,2.5,1.0,0.005,0
P187_TOP5_I65_S2p5_Z1_R100,top5,0.65,2.5,1.0,0.01,0
P187_TOP5_I65_S2p5_Z1_R200,top5,0.65,2.5,1.0,0.02,0
P187_TOP5_I65_S2p5_Z2_R50,top5,0.65,2.5,2.0,0.005,0
P187_TOP5_I65_S2p5_Z2_R100,top5,0.65,2.5,2.0,0.01,0
P187_TOP5_I65_S2p5_Z2_R200,top5,0.65,2.5,2.0,0.02,0
P187_TOP5_I65_S5p0_Z0_R50,top5,0.65,5.0,0.0,0.005,0
P187_TOP5_I65_S5p0_Z0_R100,top5,0.65,5.0,0.0,0.01,0
P187_TOP5_I65_S5p0_Z0_R200,top5,0.65,5.0,0.0,0.02,0
P187_TOP5_I65_S5p0_Z1_R50,top5,0.65,5.0,1.0,0.005,0
P187_TOP5_I65_S5p0_Z1_R100,top5,0.65,5.0,1.0,0.01,0
P187_TOP5_I65_S5p0_Z1_R200,top5,0.65,5.0,1.0,0.02,0
P187_TOP5_I65_S5p0_Z2_R50,top5,0.65,5.0,2.0,0.005,0
P187_TOP5_I65_S5p0_Z2_R100,top5,0.65,5.0,2.0,0.01,0
P187_TOP5_I65_S5p0_Z2_R200,top5,0.65,5.0,2.0,0.02,0
P187_TOP5_I65_S10p0_Z0_R50,top5,0.65,10.0,0.0,0.005,0
P187_TOP5_I65_S10p0_Z0_R100,top5,0.65,10.0,0.0,0.01,0
P187_TOP5_I65_S10p0_Z0_R200,top5,0.65,10.0,0.0,0.02,0
P187_TOP5_I65_S10p0_Z1_R50,top5,0.65,10.0,1.0,0.005,0
P187_TOP5_I65_S10p0_Z1_R100,top5,0.65,10.0,1.0,0.01,0
P187_TOP5_I65_S10p0_Z1_R200,top5,0.65,10.0,1.0,0.02,0
P187_TOP5_I65_S10p0_Z2_R50,top5,0.65,10.0,2.0,0.005,0
P187_TOP5_I65_S10p0_Z2_R100,top5,0.65,10.0,2.0,0.01,0
P187_TOP5_I65_S10p0_Z2_R200,top5,0.65,10.0,2.0,0.02,0
P187_TOP5_I75_S2p5_Z0_R50,top5,0.75,2.5,0.0,0.005,0
P187_TOP5_I75_S2p5_Z0_R100,top5,0.75,2.5,0.0,0.01,0
P187_TOP5_I75_S2p5_Z0_R200,top5,0.75,2.5,0.0,0.02,0
P187_TOP5_I75_S2p5_Z1_R50,top5,0.75,2.5,1.0,0.005,0
P187_TOP5_I75_S2p5_Z1_R100,top5,0.75,2.5,1.0,0.01,0
P187_TOP5_I75_S2p5_Z1_R200,top5,0.75,2.5,1.0,0.02,0
P187_TOP5_I75_S2p5_Z2_R50,top5,0.75,2.5,2.0,0.005,0
P187_TOP5_I75_S2p5_Z2_R100,top5,0.75,2.5,2.0,0.01,0
P187_TOP5_I75_S2p5_Z2_R200,top5,0.75,2.5,2.0,0.02,0
P187_TOP5_I75_S5p0_Z0_R50,top5,0.75,5.0,0.0,0.005,0
P187_TOP5_I75_S5p0_Z0_R100,top5,0.75,5.0,0.0,0.01,0
P187_TOP5_I75_S5p0_Z0_R200,top5,0.75,5.0,0.0,0.02,0
P187_TOP5_I75_S5p0_Z1_R50,top5,0.75,5.0,1.0,0.005,0
P187_TOP5_I75_S5p0_Z1_R100,top5,0.75,5.0,1.0,0.01,0
P187_TOP5_I75_S5p0_Z1_R200,top5,0.75,5.0,1.0,0.02,0
P187_TOP5_I75_S5p0_Z2_R50,top5,0.75,5.0,2.0,0.005,0
P187_TOP5_I75_S5p0_Z2_R100,top5,0.75,5.0,2.0,0.01,0
P187_TOP5_I75_S5p0_Z2_R200,top5,0.75,5.0,2.0,0.02,0
P187_TOP5_I75_S10p0_Z0_R50,top5,0.75,10.0,0.0,0.005,0
P187_TOP5_I75_S10p0_Z0_R100,top5,0.75,10.0,0.0,0.01,0
P187_TOP5_I75_S10p0_Z0_R200,top5,0.75,10.0,0.0,0.02,0
P187_TOP5_I75_S10p0_Z1_R50,top5,0.75,10.0,1.0,0.005,0
P187_TOP5_I75_S10p0_Z1_R100,top5,0.75,10.0,1.0,0.01,0
P187_TOP5_I75_S10p0_Z1_R200,top5,0.75,10.0,1.0,0.02,0
P187_TOP5_I75_S10p0_Z2_R50,top5,0.75,10.0,2.0,0.005,0
P187_TOP5_I75_S10p0_Z2_R100,top5,0.75,10.0,2.0,0.01,0
P187_TOP5_I75_S10p0_Z2_R200,top5,0.75,10.0,2.0,0.02,0
P187_TOP5_I85_S2p5_Z0_R50,top5,0.85,2.5,0.0,0.005,0
P187_TOP5_I85_S2p5_Z0_R100,top5,0.85,2.5,0.0,0.01,0
P187_TOP5_I85_S2p5_Z0_R200,top5,0.85,2.5,0.0,0.02,0
P187_TOP5_I85_S2p5_Z1_R50,top5,0.85,2.5,1.0,0.005,0
P187_TOP5_I85_S2p5_Z1_R100,top5,0.85,2.5,1.0,0.01,0
