candidate_id,latency_profile_id,split_role,decision_events,decision_rate,gross_return_bps_proxy_mean,cost_bound_bps_mean,net_return_bps_after_cost_proxy_mean,net_positive_event_fraction,shuffled_time_net_bps_proxy_mean,net_edge_over_shuffled_time_bps,test_rows_used,promotion_allowed
P187_TOP5_I55_S2p5_Z0_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,187374,0.17355631405639974,2.7666857735776738,12.118026893089157,-9.35134111951148,0.0016597820401976794,-11.474554145576176,2.123213026064697,0,0
P187_TOP5_I55_S2p5_Z0_R50,P180_STRESSED_RETAIL,train,187374,0.17355631405639974,2.7666857735776738,14.192918764793644,-11.426232991215974,0.0012755238186728148,-12.902760946392368,1.476527955176394,0,0
P187_TOP5_I55_S2p5_Z0_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,187374,0.17355631405639974,2.7666857735776738,12.118026893089157,-9.35134111951148,0.0016597820401976794,-11.902359821619696,2.551018702108216,0,0
P187_TOP5_I55_S2p5_Z0_R100,P180_STRESSED_RETAIL,train,187374,0.17355631405639974,2.7666857735776738,14.192918764793644,-11.426232991215974,0.0012755238186728148,-13.442044908923481,2.0158119177075076,0,0
P187_TOP5_I55_S2p5_Z0_R200,P180_RETAIL_MARKETABLE_DEFAULT,train,187374,0.17355631405639974,2.7666857735776738,12.118026893089157,-9.35134111951148,0.0016597820401976794,-12.00900446325991,2.65766334374843,0,0
P187_TOP5_I55_S2p5_Z0_R200,P180_STRESSED_RETAIL,train,187374,0.17355631405639974,2.7666857735776738,14.192918764793644,-11.426232991215974,0.0012755238186728148,-14.39950375143016,2.973270760214186,0,0
P187_TOP5_I55_S2p5_Z1_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,12845,0.011897759849576006,3.287336280586591,12.136394320357507,-8.849058039770915,0.0012456208641494744,-12.124701710561927,3.2756436707910126,0,0
P187_TOP5_I55_S2p5_Z1_R50,P180_STRESSED_RETAIL,train,12845,0.011897759849576006,3.287336280586591,14.208565311044325,-10.921229030457733,0.0009342156481121058,-12.655207810594522,1.7339787801367894,0,0
P187_TOP5_I55_S2p5_Z1_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,12845,0.011897759849576006,3.287336280586591,12.136394320357507,-8.849058039770915,0.0012456208641494744,-12.124198240745281,3.2751402009743664,0,0
P187_TOP5_I55_S2p5_Z1_R100,P180_STRESSED_RETAIL,train,12845,0.011897759849576006,3.287336280586591,14.208565311044325,-10.921229030457733,0.0009342156481121058,-15.764963775829015,4.8437347453712825,0,0
P187_TOP5_I55_S2p5_Z1_R200,P180_RETAIL_MARKETABLE_DEFAULT,train,12845,0.011897759849576006,3.287336280586591,12.136394320357507,-8.849058039770915,0.0012456208641494744,-12.139359936880988,3.290301897110073,0,0
P187_TOP5_I55_S2p5_Z1_R200,P180_STRESSED_RETAIL,train,12845,0.011897759849576006,3.287336280586591,14.208565311044325,-10.921229030457733,0.0009342156481121058,-15.759216878505622,4.83798784804789,0,0
P187_TOP5_I55_S2p5_Z2_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,7352,0.006809834987472386,0.14424641495438736,11.929323290482436,-11.785076875528048,0.00040805223068552776,-11.927017384767623,0.1419405092395749,0,0
P187_TOP5_I55_S2p5_Z2_R50,P180_STRESSED_RETAIL,train,7352,0.006809834987472386,0.14424641495438736,13.815452312164624,-13.671205897210235,0.0002720348204570185,-13.798916988529392,0.12771109131915637,0,0
P187_TOP5_I55_S2p5_Z2_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,7352,0.006809834987472386,0.14424641495438736,11.929323290482436,-11.785076875528048,0.00040805223068552776,-11.922134000085338,0.13705712455728936,0,0
P187_TOP5_I55_S2p5_Z2_R100,P180_STRESSED_RETAIL,train,7352,0.006809834987472386,0.14424641495438736,13.815452312164624,-13.671205897210235,0.0002720348204570185,-13.809344161948161,0.13813826473792545,0,0
P187_TOP5_I55_S2p5_Z2_R200,P180_RETAIL_MARKETABLE_DEFAULT,train,7352,0.006809834987472386,0.14424641495438736,11.929323290482436,-11.785076875528048,0.00040805223068552776,-11.937021684548064,0.15194480902001573,0,0
P187_TOP5_I55_S2p5_Z2_R200,P180_STRESSED_RETAIL,train,7352,0.006809834987472386,0.14424641495438736,13.815452312164624,-13.671205897210235,0.0002720348204570185,-13.805597396949436,0.13439149973920017,0,0
P187_TOP5_I55_S5p0_Z0_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,276098,0.2557374619656081,2.0553774710243555,14.963268755364036,-12.907891284339676,0.0015067113850879036,-14.374841865506102,1.4669505811664258,0,0
P187_TOP5_I55_S5p0_Z0_R50,P180_STRESSED_RETAIL,train,276098,0.2557374619656081,2.0553774710243555,18.793557948730356,-16.738180477706006,0.0011843620743359241,-17.633501833926815,0.8953213562208084,0,0
P187_TOP5_I55_S5p0_Z0_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,276098,0.2557374619656081,2.0553774710243555,14.963268755364036,-12.907891284339676,0.0015067113850879036,-14.810688726590056,1.90279744225038,0,0
P187_TOP5_I55_S5p0_Z0_R100,P180_STRESSED_RETAIL,train,276098,0.2557374619656081,2.0553774710243555,18.793557948730356,-16.738180477706006,0.0011843620743359241,-18.50863510948813,1.7704546317821226,0,0
P187_TOP5_I55_S5p0_Z0_R200,P180_RETAIL_MARKETABLE_DEFAULT,train,276098,0.2557374619656081,2.0553774710243555,14.963268755364036,-12.907891284339676,0.0015067113850879036,-14.674014109972461,1.7661228256327846,0,0
P187_TOP5_I55_S5p0_Z0_R200,P180_STRESSED_RETAIL,train,276098,0.2557374619656081,2.0553774710243555,18.793557948730356,-16.738180477706006,0.0011843620743359241,-18.134059846936793,1.3958793692307871,0,0
P187_TOP5_I55_S5p0_Z1_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,20343,0.018842828230433997,0.14049263110672214,16.167079589352316,-16.026586958245595,0.0011306100378508579,-20.080343841121856,4.053756882876261,0,0
P187_TOP5_I55_S5p0_Z1_R50,P180_STRESSED_RETAIL,train,20343,0.018842828230433997,0.14049263110672214,21.01903831974341,-20.87854568863669,0.0008848252470137148,-22.001315997151853,1.122770308515161,0,0
P187_TOP5_I55_S5p0_Z1_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,20343,0.018842828230433997,0.14049263110672214,16.167079589352316,-16.026586958245595,0.0011306100378508579,-12.228116041826604,-3.7984709164189905,0,0
P187_TOP5_I55_S5p0_Z1_R100,P180_STRESSED_RETAIL,train,20343,0.018842828230433997,0.14049263110672214,21.01903831974341,-20.87854568863669,0.0008848252470137148,-19.049826528769692,-1.8287191598669992,0,0
P187_TOP5_I55_S5p0_Z1_R200,P180_RETAIL_MARKETABLE_DEFAULT,train,20343,0.018842828230433997,0.14049263110672214,16.167079589352316,-16.026586958245595,0.0011306100378508579,-17.154741128828558,1.1281541705829632,0,0
P187_TOP5_I55_S5p0_Z1_R200,P180_STRESSED_RETAIL,train,20343,0.018842828230433997,0.14049263110672214,21.01903831974341,-20.87854568863669,0.0008848252470137148,-21.04306852579108,0.1645228371543901,0,0
