term,coefficient,train_mean,train_std,uses_l2_l5_depth
intercept,0.017017604941892354,0.0,1.0,0
spread_bps,-0.12876623180745658,2.0977803791764638,0.8623944638790797,0
l1_imbalance,0.05631680692315312,-0.17939597293741122,0.45824909505888667,0
l25_imbalance,0.010078743632633462,-0.14510403815240305,0.3063447027476141,1
volume_delta_lookback,0.027831825929854222,329.3290734824281,67.43021728169013,0
l1_l5_bid_depth_slope,0.003835059133036723,131.48961661341852,54.532017480778585,1
l1_l5_ask_depth_slope,0.059833765234327645,169.50607028753996,58.04577538313125,1
l1_l5_depth_concentration,-0.15646230501011751,0.11764715434365629,1.3230600363090485e-05,1
l25_order_imbalance,0.012176583669270734,-0.12401088741035682,0.26541760365210787,1
microprice_l1_minus_mid_bps,0.13096510791289148,-0.19715944868424357,0.5205873039646427,0
microprice_l25_minus_mid_bps,-0.0541316322566331,-0.42835361991825666,0.8946336631308096,1
spread_mean_lookback_bps,-0.12876887601026504,2.0977803791764638,0.8623944638790797,0
trade_qty_sum_lookback,0.027829553857390405,345.7955271565495,70.80172814577463,0
trade_qty_accel_lookback,0.02782779625929358,16.466453674121407,3.371510864084507,0
minute_of_day,0.012514962785270912,774.6613418530352,411.58289124424573,0
source_event_mid_return_1,-0.1443042878899148,0.018439565906253497,2.1440275565575138,0
source_event_mid_return_3,0.16420530694313207,-0.127833731115721,5.119071877186678,0
source_event_mid_return_5,-0.1869510636356095,0.1639131484112409,10.93599839493732,0
source_event_l1_ofi_1,-0.045206980861683066,33.94888178913738,228.60020755658934,0
source_event_l1_ofi_3,-0.045382434601647266,29.059105431309906,229.94827454584626,0
source_event_l25_ofi_1,0.08383510598886351,2.6741214057507987,217.96082803369833,1
source_event_l25_ofi_3,0.029791877730454226,-11.39776357827476,196.3821824719404,1
source_event_l25_replenishment_count_5,-0.280155490360015,1.7843450479233227,1.3351278680609289,1
source_event_l25_withdrawal_count_5,0.056225083873310766,1.6661341853035143,1.267196122919884,1
source_event_spread_change_3_bps,0.21351788505881053,5.2576337288093843e-05,0.001610280638651311,0
source_event_spread_vol_5_bps,0.26166551377147096,0.0003865798013173357,0.00070878772541743,0
