gate_id,passed,observed_value,required_value,severity
P471_PHASE470_MATRIX_USED,True,1,1,hard
P471_TRAIN_ROWS_PRESENT,True,626,>0,hard
P471_HOLDOUT_ROWS_PRESENT,True,309,>0,hard
P471_BOTH_CLASSES_TRAIN,True,2,2,hard
P471_BOTH_CLASSES_HOLDOUT,True,2,2,hard
P471_FULL_DEPTH_FEATURES_USED,True,10,>=10,hard
P471_SOURCE_EVENT_FEATURES_USED,True,11,>=11,hard
P471_HOLDOUT_AUC_GE_053,True,0.5455780003395009,>=0.53,hard
P471_AUC_LIFT_VS_SHUFFLED_GE_002,True,0.11869801391953821,>=0.02,hard
P471_BALANCED_ACCURACY_GE_052,True,0.5520497368867765,>=0.52,hard
P471_PRIMARY_NOT_WORSE_THAN_L25_THRESHOLD,True,primary=0.5455780003395009;threshold=0.4789933797317943,primary>=threshold,hard
P471_NO_STRATEGY_PNL,True,model_fit_only,no_pnl,hard
P471_NO_PAPER_LIVE_OR_CLAIM,True,promotion=0;paper=0;claim=0,all_zero,hard
