metric,value,description
phase405_liquidity_vacuum_continuation_execution_complete,1,Phase405 execution completed
phase405_thesis_id,P404_CATALYST_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,Executed thesis
phase405_event_feature_rows,273,Input event feature rows
phase405_ready_event_feature_rows,270,Ready rows
phase405_primary_raw_candidate_rows,75,Primary raw candidate rows
phase405_primary_capacity_selected_trade_rows,28,Primary selected trades
phase405_primary_diagnostic_dates,16,Primary diagnostic dates
phase405_primary_symbols,14,Primary symbols
phase405_primary_positive_symbols,4,Primary positive symbols
phase405_primary_net_pnl_inr,-11542.91920749659,Primary net PnL
phase405_primary_annualized_return_pct,-72.72039100722851,Primary annualized return
phase405_primary_above12,0,Primary above 12%
phase405_primary_event_floor_met,0,Primary event floor
phase405_primary_breadth_met,1,Primary breadth
phase405_primary_acceptance_candidate,0,Primary acceptance
phase405_side_flip_annualized_return_pct,5.122935689810689,Side-flip annualized return
phase405_depth_removed_annualized_return_pct,-71.18638508991357,Depth-removed control annualized return
phase405_strategy_promotion_allowed,0,No promotion
phase405_paper_or_live_acceptance_allowed,0,No paper/live
phase405_deployable_profitability_claim_allowed,0,No deployable claim
phase405_hard_gate_pass_rows,6,Passed hard gates
phase405_hard_gate_rows,6,Hard gates
phase405_next_best_action,interpret_phase405_liquidity_vacuum_continuation_no_paper_live,Recommended next action
